design_mode,p1,t_burn_s,drift_rate_per_s2,success_rate,med_t_first_fail_s
p0,6,4,0.5000,1.0000,NaN
p0,6,2,1.0000,1.0000,NaN
p0,6,1,2.0000,1.0000,NaN
p0,6,0.5,4.0000,1.0000,NaN
p0,6,0.25,8.0000,1.0000,NaN
p0,6,0.12,16.6667,1.0000,NaN
p0,8,4,1.0000,1.0000,NaN
p0,8,2,2.0000,1.0000,NaN
p0,8,1,4.0000,1.0000,NaN
p0,8,0.5,8.0000,1.0000,NaN
p0,8,0.25,16.0000,1.0000,NaN
p0,8,0.12,33.3333,1.0000,NaN
p0,10,4,1.5000,1.0000,NaN
p0,10,2,3.0000,1.0000,NaN
p0,10,1,6.0000,1.0000,NaN
p0,10,0.5,12.0000,1.0000,NaN
p0,10,0.25,24.0000,1.0000,NaN
p0,10,0.12,50.0000,1.0000,NaN
p0,12,4,2.0000,1.0000,NaN
p0,12,2,4.0000,1.0000,NaN
p0,12,1,8.0000,1.0000,NaN
p0,12,0.5,16.0000,1.0000,NaN
p0,12,0.25,32.0000,1.0000,NaN
p0,12,0.12,66.6667,1.0000,NaN
p0,14,4,2.5000,1.0000,NaN
p0,14,2,5.0000,1.0000,NaN
p0,14,1,10.0000,1.0000,NaN
p0,14,0.5,20.0000,1.0000,NaN
p0,14,0.25,40.0000,1.0000,NaN
p0,14,0.12,83.3333,1.0000,NaN
p0,16,4,3.0000,0.5417,4.6350
p0,16,2,6.0000,0.6667,2.7550
p0,16,1,12.0000,0.8333,1.7875
p0,16,0.5,24.0000,0.9583,NaN
p0,16,0.25,48.0000,0.9167,0.9600
p0,16,0.12,100.0000,0.8750,0.7600
mid,6,4,0.5000,1.0000,NaN
mid,6,2,1.0000,1.0000,NaN
mid,6,1,2.0000,1.0000,NaN
mid,6,0.5,4.0000,1.0000,NaN
mid,6,0.25,8.0000,1.0000,NaN
mid,6,0.12,16.6667,1.0000,NaN
mid,8,4,1.0000,1.0000,NaN
mid,8,2,2.0000,1.0000,NaN
mid,8,1,4.0000,1.0000,NaN
mid,8,0.5,8.0000,1.0000,NaN
mid,8,0.25,16.0000,1.0000,NaN
mid,8,0.12,33.3333,1.0000,NaN
mid,10,4,1.5000,1.0000,NaN
mid,10,2,3.0000,1.0000,NaN
mid,10,1,6.0000,1.0000,NaN
mid,10,0.5,12.0000,1.0000,NaN
mid,10,0.25,24.0000,1.0000,NaN
mid,10,0.12,50.0000,1.0000,NaN
mid,12,4,2.0000,1.0000,NaN
mid,12,2,4.0000,1.0000,NaN
mid,12,1,8.0000,1.0000,NaN
mid,12,0.5,16.0000,1.0000,NaN
mid,12,0.25,32.0000,1.0000,NaN
mid,12,0.12,66.6667,1.0000,NaN
mid,14,4,2.5000,1.0000,NaN
mid,14,2,5.0000,1.0000,NaN
mid,14,1,10.0000,1.0000,NaN
mid,14,0.5,20.0000,1.0000,NaN
mid,14,0.25,40.0000,1.0000,NaN
mid,14,0.12,83.3333,1.0000,NaN
mid,16,4,3.0000,1.0000,NaN
mid,16,2,6.0000,1.0000,NaN
mid,16,1,12.0000,1.0000,NaN
mid,16,0.5,24.0000,1.0000,NaN
mid,16,0.25,48.0000,1.0000,NaN
mid,16,0.12,100.0000,1.0000,NaN
p1,6,4,0.5000,1.0000,NaN
p1,6,2,1.0000,1.0000,NaN
p1,6,1,2.0000,1.0000,NaN
p1,6,0.5,4.0000,1.0000,NaN
p1,6,0.25,8.0000,1.0000,NaN
p1,6,0.12,16.6667,1.0000,NaN
p1,8,4,1.0000,1.0000,NaN
p1,8,2,2.0000,1.0000,NaN
p1,8,1,4.0000,1.0000,NaN
p1,8,0.5,8.0000,1.0000,NaN
p1,8,0.25,16.0000,1.0000,NaN
p1,8,0.12,33.3333,1.0000,NaN
p1,10,4,1.5000,1.0000,NaN
p1,10,2,3.0000,1.0000,NaN
p1,10,1,6.0000,1.0000,NaN
p1,10,0.5,12.0000,1.0000,NaN
p1,10,0.25,24.0000,1.0000,NaN
p1,10,0.12,50.0000,1.0000,NaN
p1,12,4,2.0000,1.0000,NaN
p1,12,2,4.0000,1.0000,NaN
p1,12,1,8.0000,1.0000,NaN
p1,12,0.5,16.0000,1.0000,NaN
p1,12,0.25,32.0000,1.0000,NaN
p1,12,0.12,66.6667,1.0000,NaN
p1,14,4,2.5000,0.9583,1.7100
p1,14,2,5.0000,1.0000,NaN
p1,14,1,10.0000,0.9583,0.9150
p1,14,0.5,20.0000,1.0000,NaN
p1,14,0.25,40.0000,1.0000,NaN
p1,14,0.12,83.3333,1.0000,NaN
p1,16,4,3.0000,0.6250,1.0200
p1,16,2,6.0000,0.6250,1.0100
p1,16,1,12.0000,0.7083,0.8300
p1,16,0.5,24.0000,0.6667,0.7875
p1,16,0.25,48.0000,0.7500,0.7175
p1,16,0.12,100.0000,1.0000,NaN
