design,p1,t_burn,success
p0,8,4,0.9167
p0,8,2,0.9167
p0,8,1,0.9722
p0,8,0.5,0.9444
p0,8,0.25,1.0000
p0,10,4,0.9444
p0,10,2,0.9722
p0,10,1,0.9722
p0,10,0.5,0.9722
p0,10,0.25,1.0000
p0,12,4,0.9722
p0,12,2,0.8611
p0,12,1,1.0000
p0,12,0.5,0.9722
p0,12,0.25,1.0000
p0,14,4,0.7778
p0,14,2,0.8889
p0,14,1,0.9444
p0,14,0.5,0.9444
p0,14,0.25,0.9722
p0,16,4,0.2222
p0,16,2,0.3333
p0,16,1,0.3333
p0,16,0.5,0.3333
p0,16,0.25,0.4167
mid,8,4,0.8611
mid,8,2,0.8333
mid,8,1,0.7778
mid,8,0.5,0.8333
mid,8,0.25,0.9167
mid,10,4,0.8056
mid,10,2,0.7222
mid,10,1,0.6944
mid,10,0.5,0.8056
mid,10,0.25,0.9722
mid,12,4,0.6389
mid,12,2,0.6389
mid,12,1,0.6667
mid,12,0.5,0.7500
mid,12,0.25,0.8333
mid,14,4,0.5556
mid,14,2,0.6944
mid,14,1,0.5000
mid,14,0.5,0.6667
mid,14,0.25,0.6667
mid,16,4,0.4444
mid,16,2,0.5833
mid,16,1,0.5278
mid,16,0.5,0.6111
mid,16,0.25,0.6667
p1,8,4,0.6944
p1,8,2,0.6111
p1,8,1,0.7778
p1,8,0.5,0.7500
p1,8,0.25,0.7778
p1,10,4,0.5000
p1,10,2,0.5278
p1,10,1,0.5000
p1,10,0.5,0.5556
p1,10,0.25,0.6111
p1,12,4,0.3333
p1,12,2,0.3333
p1,12,1,0.3333
p1,12,0.5,0.4444
p1,12,0.25,0.3889
p1,14,4,0.3056
p1,14,2,0.2778
p1,14,1,0.3056
p1,14,0.5,0.2500
p1,14,0.25,0.3333
p1,16,4,0.0833
p1,16,2,0.1667
p1,16,1,0.1111
p1,16,0.5,0.1389
p1,16,0.25,0.2778
