rocket_id,td,original_label,original_nom_sr,original_under_sr,original_over_sr,new_label,new_nom_sr_15seed,new_under_sr_15seed,new_over_sr_15seed,new_robustness_15seed,label_flipped,best_Kp,best_Kd
R0207,176.22556504181404,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.8666666666666667,1.0,1.0,1.0,1,36.97,1.0
R0303,217.51296059556316,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,FRAGILE,0.6,0.7333333333333333,0.4666666666666667,0.3333333333333333,0,50.74,1.0
R0333,150.66632825684047,FRAGILE,0.6666666666666666,1.0,0.3333333333333333,EASY,0.9333333333333333,1.0,0.8666666666666667,1.0,1,88.81,1.0
R0350,330.55956133823173,FRAGILE,0.6666666666666666,0.6666666666666666,0.6666666666666666,FRAGILE,0.6666666666666666,0.9333333333333333,0.26666666666666666,0.6666666666666666,0,36.97,1.0
R0400,214.6999063287188,FRAGILE,1.0,1.0,0.0,FRAGILE,0.7333333333333333,1.0,0.7333333333333333,0.6666666666666666,0,19.32,1.0
R0422,171.33188585238068,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,EASY,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1,133.21,1.0
R0475,192.77585584700762,FRAGILE,0.6666666666666666,0.6666666666666666,0.0,INFEASIBLE,0.3333333333333333,0.9333333333333333,0.4,0.3333333333333333,1,155.45,1.0
R0540,143.03955295219828,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,EASY,0.8666666666666667,1.0,0.8,1.0,1,50.74,1.0
R0612,111.77360439794599,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,FRAGILE,0.9333333333333333,1.0,0.7333333333333333,0.6666666666666666,0,46.78,1.0
R0623,238.0175313711176,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,1.0,1.0,1,70.18,1.0
R0689,176.01368924148704,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,0.9333333333333333,1.0,1,132.17,1.0
R0815,143.24327127054778,FRAGILE,1.0,1.0,0.3333333333333333,FRAGILE,0.8,0.8666666666666667,0.6666666666666666,0.6666666666666666,0,59.67,1.0
R0835,104.43180129467024,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,0.9333333333333333,1.0,1,70.18,1.0
R0969,115.84897376423487,FRAGILE,1.0,1.0,0.6666666666666666,FRAGILE,0.8,0.9333333333333333,0.5333333333333333,0.6666666666666666,0,112.39,1.0
R1217,143.54577869065147,FRAGILE,1.0,1.0,0.0,INFEASIBLE,0.3333333333333333,1.0,0.4,0.3333333333333333,1,113.27,1.0
R1300,174.62530282827237,FRAGILE,1.0,1.0,0.6666666666666666,FRAGILE,0.8,0.8,0.5333333333333333,0.6666666666666666,0,132.17,4.0
R1513,283.50681934531883,FRAGILE,1.0,0.6666666666666666,0.6666666666666666,FRAGILE,0.7333333333333333,1.0,0.6666666666666666,0.6666666666666666,0,12.98,1.0
R1641,209.91106234246683,FRAGILE,1.0,1.0,0.6666666666666666,FRAGILE,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.6666666666666666,0,96.31,1.0
R1707,166.3271113441963,FRAGILE,1.0,0.6666666666666666,1.0,EASY,1.0,1.0,0.8666666666666667,1.0,1,59.67,1.0
R1713,122.16500398486026,FRAGILE,1.0,0.6666666666666666,1.0,EASY,0.8,0.8666666666666667,0.8,1.0,1,12.98,1.0
R2058,192.85039565479354,FRAGILE,1.0,0.6666666666666666,1.0,EASY,0.9333333333333333,1.0,0.8666666666666667,1.0,1,88.81,1.0
R2083,177.62159173197742,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.8,1.0,0.8666666666666667,1.0,1,31.43,1.0
R2258,128.366289768419,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,EASY,0.8,0.9333333333333333,0.8,1.0,1,88.81,1.0
R2304,157.55939141312967,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,1.0,0,252.87,1.0
R1288,202.15331443325053,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,1.0,0,252.87,1.0
R0714,106.75440589186653,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,1.0,0,215.01,1.0
R1701,173.3475551633541,EASY,1.0,1.0,1.0,FRAGILE,0.8,1.0,0.26666666666666666,0.6666666666666666,1,88.81,1.0
R1673,183.8781509787116,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,1.0,0,50.74,1.0
