Iyy,wind_strength,nom_sr,robust,best_Kp,best_Kd,regime
0.006,0.05,1.0,1.0,80.0,1.0,EASY
0.006,0.1,1.0,1.0,80.0,1.0,EASY
0.006,0.15,1.0,1.0,80.0,1.0,EASY
0.006,0.2,1.0,1.0,40.0,2.0,EASY
0.006,0.25,1.0,1.0,80.0,1.0,EASY
0.006,0.3,1.0,1.0,80.0,1.0,EASY
0.006,0.4,1.0,1.0,15.0,1.0,EASY
0.006,0.55,1.0,1.0,80.0,1.0,EASY
0.009,0.05,1.0,1.0,80.0,2.0,EASY
0.009,0.1,1.0,1.0,80.0,2.0,EASY
0.009,0.15,1.0,1.0,40.0,1.0,EASY
0.009,0.2,1.0,1.0,80.0,1.0,EASY
0.009,0.25,1.0,1.0,15.0,1.0,EASY
0.009,0.3,1.0,1.0,15.0,1.0,EASY
0.009,0.4,1.0,1.0,15.0,1.0,EASY
0.009,0.55,1.0,1.0,15.0,1.0,EASY
0.013,0.05,1.0,1.0,15.0,1.0,EASY
0.013,0.1,1.0,1.0,15.0,1.0,EASY
0.013,0.15,1.0,1.0,15.0,1.0,EASY
0.013,0.2,1.0,1.0,15.0,1.0,EASY
0.013,0.25,1.0,1.0,15.0,1.0,EASY
0.013,0.3,1.0,1.0,15.0,1.0,EASY
0.013,0.4,1.0,1.0,15.0,1.0,EASY
0.013,0.55,1.0,1.0,15.0,1.0,EASY
0.018,0.05,1.0,1.0,15.0,1.0,EASY
0.018,0.1,1.0,1.0,15.0,1.0,EASY
0.018,0.15,1.0,1.0,15.0,1.0,EASY
0.018,0.2,1.0,1.0,15.0,1.0,EASY
0.018,0.25,1.0,1.0,15.0,1.0,EASY
0.018,0.3,1.0,1.0,15.0,1.0,EASY
0.018,0.4,1.0,1.0,15.0,1.0,EASY
0.018,0.55,1.0,1.0,80.0,2.0,EASY
0.025,0.05,1.0,1.0,15.0,1.0,EASY
0.025,0.1,1.0,1.0,15.0,1.0,EASY
0.025,0.15,1.0,1.0,15.0,1.0,EASY
0.025,0.2,1.0,1.0,15.0,1.0,EASY
0.025,0.25,1.0,1.0,15.0,1.0,EASY
0.025,0.3,1.0,1.0,15.0,1.0,EASY
0.025,0.4,1.0,1.0,15.0,1.0,EASY
0.025,0.55,1.0,1.0,40.0,2.0,EASY
0.035,0.05,1.0,1.0,15.0,1.0,EASY
0.035,0.1,1.0,1.0,15.0,1.0,EASY
0.035,0.15,1.0,1.0,15.0,1.0,EASY
0.035,0.2,1.0,1.0,15.0,1.0,EASY
0.035,0.25,1.0,1.0,15.0,1.0,EASY
0.035,0.3,1.0,1.0,15.0,1.0,EASY
0.035,0.4,1.0,1.0,15.0,1.0,EASY
0.035,0.55,1.0,1.0,40.0,1.0,EASY
0.05,0.05,1.0,1.0,15.0,1.0,EASY
0.05,0.1,1.0,1.0,15.0,1.0,EASY
0.05,0.15,1.0,1.0,15.0,1.0,EASY
0.05,0.2,1.0,1.0,15.0,1.0,EASY
0.05,0.25,1.0,1.0,15.0,1.0,EASY
0.05,0.3,1.0,1.0,15.0,1.0,EASY
0.05,0.4,1.0,1.0,40.0,1.0,EASY
0.05,0.55,1.0,1.0,40.0,2.0,EASY
0.07,0.05,1.0,1.0,80.0,1.0,EASY
0.07,0.1,1.0,1.0,15.0,1.0,EASY
0.07,0.15,1.0,1.0,80.0,1.0,EASY
0.07,0.2,1.0,1.0,80.0,1.0,EASY
0.07,0.25,1.0,1.0,80.0,1.0,EASY
0.07,0.3,1.0,1.0,80.0,1.0,EASY
0.07,0.4,1.0,1.0,40.0,1.0,EASY
0.07,0.55,1.0,1.0,40.0,1.0,EASY
