Iyy,wind_strength,motor_scale,nom_sr,robust,regime
0.008,0.08,1.5,1.0,1.0,EASY
0.008,0.08,2.4,1.0,1.0,EASY
0.008,0.12,1.5,1.0,1.0,EASY
0.008,0.12,2.4,1.0,1.0,EASY
0.008,0.18,1.5,1.0,1.0,EASY
0.008,0.18,2.4,1.0,1.0,EASY
0.008,0.24,1.5,1.0,1.0,EASY
0.008,0.24,2.4,1.0,1.0,EASY
0.008,0.3,1.5,1.0,1.0,EASY
0.008,0.3,2.4,1.0,1.0,EASY
0.008,0.38,1.5,1.0,1.0,EASY
0.008,0.38,2.4,1.0,1.0,EASY
0.008,0.46,1.5,1.0,1.0,EASY
0.008,0.46,2.4,1.0,1.0,EASY
0.008,0.56,1.5,1.0,1.0,EASY
0.008,0.56,2.4,1.0,1.0,EASY
0.011,0.08,1.5,1.0,1.0,EASY
0.011,0.08,2.4,1.0,1.0,EASY
0.011,0.12,1.5,1.0,1.0,EASY
0.011,0.12,2.4,1.0,1.0,EASY
0.011,0.18,1.5,1.0,1.0,EASY
0.011,0.18,2.4,1.0,1.0,EASY
0.011,0.24,1.5,1.0,1.0,EASY
0.011,0.24,2.4,1.0,1.0,EASY
0.011,0.3,1.5,1.0,1.0,EASY
0.011,0.3,2.4,1.0,1.0,EASY
0.011,0.38,1.5,1.0,1.0,EASY
0.011,0.38,2.4,1.0,1.0,EASY
0.011,0.46,1.5,1.0,1.0,EASY
0.011,0.46,2.4,1.0,1.0,EASY
0.011,0.56,1.5,1.0,1.0,EASY
0.011,0.56,2.4,1.0,1.0,EASY
0.014,0.08,1.5,1.0,1.0,EASY
0.014,0.08,2.4,1.0,1.0,EASY
0.014,0.12,1.5,1.0,1.0,EASY
0.014,0.12,2.4,1.0,1.0,EASY
0.014,0.18,1.5,1.0,1.0,EASY
0.014,0.18,2.4,1.0,1.0,EASY
0.014,0.24,1.5,1.0,1.0,EASY
0.014,0.24,2.4,1.0,1.0,EASY
0.014,0.3,1.5,1.0,1.0,EASY
0.014,0.3,2.4,1.0,1.0,EASY
0.014,0.38,1.5,1.0,1.0,EASY
0.014,0.38,2.4,1.0,1.0,EASY
0.014,0.46,1.5,1.0,1.0,EASY
0.014,0.46,2.4,1.0,1.0,EASY
0.014,0.56,1.5,1.0,1.0,EASY
0.014,0.56,2.4,1.0,1.0,EASY
0.018,0.08,1.5,1.0,1.0,EASY
0.018,0.08,2.4,1.0,1.0,EASY
0.018,0.12,1.5,1.0,1.0,EASY
0.018,0.12,2.4,1.0,1.0,EASY
0.018,0.18,1.5,1.0,1.0,EASY
0.018,0.18,2.4,1.0,1.0,EASY
0.018,0.24,1.5,1.0,1.0,EASY
0.018,0.24,2.4,1.0,1.0,EASY
0.018,0.3,1.5,1.0,1.0,EASY
0.018,0.3,2.4,1.0,1.0,EASY
0.018,0.38,1.5,1.0,1.0,EASY
0.018,0.38,2.4,1.0,1.0,EASY
0.018,0.46,1.5,1.0,1.0,EASY
0.018,0.46,2.4,1.0,1.0,EASY
0.018,0.56,1.5,1.0,1.0,EASY
0.018,0.56,2.4,1.0,1.0,EASY
0.022,0.08,1.5,1.0,1.0,EASY
0.022,0.08,2.4,1.0,1.0,EASY
0.022,0.12,1.5,1.0,1.0,EASY
0.022,0.12,2.4,1.0,1.0,EASY
0.022,0.18,1.5,1.0,1.0,EASY
0.022,0.18,2.4,1.0,1.0,EASY
0.022,0.24,1.5,1.0,1.0,EASY
0.022,0.24,2.4,1.0,1.0,EASY
0.022,0.3,1.5,1.0,1.0,EASY
0.022,0.3,2.4,1.0,1.0,EASY
0.022,0.38,1.5,1.0,1.0,EASY
0.022,0.38,2.4,1.0,1.0,EASY
0.022,0.46,1.5,1.0,1.0,EASY
0.022,0.46,2.4,1.0,1.0,EASY
0.022,0.56,1.5,1.0,1.0,EASY
0.022,0.56,2.4,1.0,1.0,EASY
0.028,0.08,1.5,1.0,1.0,EASY
0.028,0.08,2.4,1.0,1.0,EASY
0.028,0.12,1.5,1.0,1.0,EASY
0.028,0.12,2.4,1.0,1.0,EASY
0.028,0.18,1.5,1.0,1.0,EASY
0.028,0.18,2.4,1.0,1.0,EASY
0.028,0.24,1.5,1.0,1.0,EASY
0.028,0.24,2.4,1.0,1.0,EASY
0.028,0.3,1.5,1.0,1.0,EASY
0.028,0.3,2.4,1.0,1.0,EASY
0.028,0.38,1.5,1.0,1.0,EASY
0.028,0.38,2.4,1.0,1.0,EASY
0.028,0.46,1.5,1.0,1.0,EASY
0.028,0.46,2.4,1.0,1.0,EASY
0.028,0.56,1.5,1.0,1.0,EASY
0.028,0.56,2.4,1.0,1.0,EASY
0.036,0.08,1.5,1.0,1.0,EASY
0.036,0.08,2.4,1.0,1.0,EASY
0.036,0.12,1.5,1.0,1.0,EASY
0.036,0.12,2.4,1.0,1.0,EASY
0.036,0.18,1.5,1.0,1.0,EASY
0.036,0.18,2.4,1.0,1.0,EASY
0.036,0.24,1.5,1.0,1.0,EASY
0.036,0.24,2.4,1.0,1.0,EASY
0.036,0.3,1.5,1.0,1.0,EASY
0.036,0.3,2.4,1.0,1.0,EASY
0.036,0.38,1.5,1.0,1.0,EASY
0.036,0.38,2.4,1.0,1.0,EASY
0.036,0.46,1.5,1.0,1.0,EASY
0.036,0.46,2.4,1.0,1.0,EASY
0.036,0.56,1.5,1.0,1.0,EASY
0.036,0.56,2.4,1.0,1.0,EASY
0.048,0.08,1.5,1.0,1.0,EASY
0.048,0.08,2.4,1.0,1.0,EASY
0.048,0.12,1.5,1.0,1.0,EASY
0.048,0.12,2.4,1.0,1.0,EASY
0.048,0.18,1.5,1.0,1.0,EASY
0.048,0.18,2.4,1.0,1.0,EASY
0.048,0.24,1.5,1.0,1.0,EASY
0.048,0.24,2.4,1.0,1.0,EASY
0.048,0.3,1.5,1.0,1.0,EASY
0.048,0.3,2.4,1.0,1.0,EASY
0.048,0.38,1.5,1.0,1.0,EASY
0.048,0.38,2.4,1.0,1.0,EASY
0.048,0.46,1.5,1.0,1.0,EASY
0.048,0.46,2.4,1.0,1.0,EASY
0.048,0.56,1.5,1.0,1.0,EASY
0.048,0.56,2.4,1.0,1.0,EASY
