keff_target,wind_strength,Kp,sr,rms
2.0,0.0,1,0.5,9.413611082840816
2.0,0.0,2,0.625,9.365732867529882
2.0,0.0,5,0.5,7.307884890529684
2.0,0.0,10,0.875,5.669315208348213
2.0,0.0,20,0.875,4.823070205244624
2.0,0.0,40,0.875,4.125520267371591
2.0,0.0,80,1.0,3.5481763066780583
2.0,0.0,160,1.0,2.22478099132017
2.0,0.05,1,0.375,12.102979063267624
2.0,0.05,2,0.375,11.121960009108955
2.0,0.05,5,0.625,9.454975574361608
2.0,0.05,10,0.75,7.80053747974754
2.0,0.05,20,1.0,5.674812336915282
2.0,0.05,40,1.0,4.168070838968813
2.0,0.05,80,1.0,3.5807821898081644
2.0,0.05,160,1.0,3.149908226135327
2.0,0.1,1,0.375,10.723215836220119
2.0,0.1,2,0.375,10.723044477112731
2.0,0.1,5,0.375,10.235061145985565
2.0,0.1,10,0.75,8.049938883924153
2.0,0.1,20,1.0,5.524675833065413
2.0,0.1,40,1.0,3.9091405624608355
2.0,0.1,80,1.0,3.3137793306485492
2.0,0.1,160,1.0,3.2825175919655547
2.0,0.15,1,0.375,12.09474000487018
2.0,0.15,2,0.375,10.870574658425864
2.0,0.15,5,0.5,9.806331775813458
2.0,0.15,10,0.75,7.30089463426508
2.0,0.15,20,1.0,5.771392624591068
2.0,0.15,40,1.0,3.969212528173153
2.0,0.15,80,1.0,3.367069143294289
2.0,0.15,160,1.0,3.3390252546812063
2.0,0.2,1,0.5,9.96982880391575
2.0,0.2,2,0.375,9.822803971425763
2.0,0.2,5,0.5,7.9787366005280855
2.0,0.2,10,0.875,6.700843507325263
2.0,0.2,20,1.0,4.9152242079679915
2.0,0.2,40,1.0,3.801345955159727
2.0,0.2,80,1.0,3.6747065220419013
2.0,0.2,160,1.0,3.53917585883558
2.0,0.25,1,0.625,9.542794547117781
2.0,0.25,2,0.375,11.029600527042662
2.0,0.25,5,0.375,10.493413579000505
2.0,0.25,10,0.875,8.147768777445814
2.0,0.25,20,1.0,5.71552071936357
2.0,0.25,40,1.0,4.391523968068161
2.0,0.25,80,1.0,3.56613590360375
2.0,0.25,160,1.0,3.520962623633223
2.0,0.3,1,0.375,10.295346549509958
2.0,0.3,2,0.375,10.723715083121098
2.0,0.3,5,0.375,9.869798961578075
2.0,0.3,10,0.625,8.715045875901883
2.0,0.3,20,1.0,5.9386449212131875
2.0,0.3,40,1.0,4.1790167006930785
2.0,0.3,80,1.0,3.4731577655869112
2.0,0.3,160,1.0,3.047937634211022
2.0,0.35,1,0.375,10.699279699666032
2.0,0.35,2,0.375,10.662493178945343
2.0,0.35,5,0.5,8.9902924576367
2.0,0.35,10,0.75,7.620286917002348
2.0,0.35,20,1.0,5.028925293418859
2.0,0.35,40,1.0,4.1873728138672615
2.0,0.35,80,1.0,3.489073032064147
2.0,0.35,160,1.0,3.0263981482579654
2.0,0.4,1,0.375,10.17459938985928
2.0,0.4,2,0.5,10.17553038622099
2.0,0.4,5,0.625,10.411829233086412
2.0,0.4,10,0.75,7.128195880094063
2.0,0.4,20,1.0,6.196910393236644
2.0,0.4,40,1.0,4.127294949509492
2.0,0.4,80,1.0,3.279589344569578
2.0,0.4,160,1.0,3.1556722727501936
4.0,0.0,1,0.25,12.358998931078734
4.0,0.0,2,0.5,9.878962485546134
4.0,0.0,5,0.375,10.786926816268336
4.0,0.0,10,0.875,7.302776071635273
4.0,0.0,20,0.75,5.811376681893869
4.0,0.0,40,1.0,4.7940745159583775
4.0,0.0,80,1.0,3.762696453940906
4.0,0.0,160,1.0,2.2490109293218996
4.0,0.05,1,0.5,6.280214758634705
4.0,0.05,2,0.25,11.796428958820583
