rocket_id,regime,theta_ddot,Iyy,keff_full,best_Kd,Kp,sr,rms_deg,slew_sat
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,1,0.7142857142857143,7.491401951124528,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,2,0.8571428571428571,5.883286648928857,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,3,1.0,4.850068819327047,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,4,1.0,4.0464174596528695,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,5,1.0,3.631621041746368,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,6,1.0,3.329014598863773,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,8,1.0,2.9492116816743987,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,10,1.0,2.7058722297374698,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,13,1.0,2.430854816861635,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,16,1.0,2.163190718383646,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,20,1.0,1.9302841132412216,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,25,1.0,1.674394910689416,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,32,1.0,1.3354466523467077,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,40,1.0,1.2165365175529477,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,51,1.0,1.0273119719067194,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,64,1.0,0.910990965150553,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,80,1.0,0.9105821998165428,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,101,1.0,1.0600804796912213,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,127,1.0,1.3766950640017364,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,160,1.0,1.8254775222025663,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,202,1.0,1.6645170869680446,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,254,1.0,3.0640856640815466,0.0
R0349,EASY,3.9368978547895996,0.0384541479190392,2.0461691364977113,1.0,320,1.0,3.257153918409688,0.0
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,1,0.8571428571428571,4.412620163611942,0.5383333333333333
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,2,1.0,3.517955253981931,0.5397619047619048
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,3,1.0,3.1412861469334366,0.54
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,4,1.0,2.7555617060248925,0.5411904761904761
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,5,1.0,2.4040372084916433,0.5407142857142857
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,6,1.0,2.26278865423977,0.5402380952380953
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,8,1.0,1.8622916211781855,0.5388095238095238
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,10,1.0,1.6390873911528203,0.5397619047619048
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,13,1.0,1.486356080219057,0.5404761904761904
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,16,1.0,1.399061472023734,0.5371428571428571
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,20,1.0,1.3448183614033733,0.5411904761904761
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,25,1.0,1.3605708650747328,0.5388095238095238
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,32,1.0,1.3239767054052098,0.5388095238095237
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,40,1.0,1.273596493627707,0.5404761904761904
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,51,1.0,1.2297779868637568,0.5385714285714286
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,64,1.0,1.0999645272037142,0.536904761904762
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,80,1.0,1.233283128595558,0.5392857142857143
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,101,1.0,2.071578968714727,0.5326190476190477
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,127,0.7142857142857143,3.135123812369563,0.5102380952380952
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,160,0.5714285714285714,5.7025851485492,0.48309523809523813
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,202,0.14285714285714285,12.21780166266804,0.4588095238095238
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,254,0.2857142857142857,15.525293801256664,0.43690476190476185
R0523,FRAGILE,12.07696213667357,0.0315892004537939,2.0395862880953386,1.0,320,0.0,22.88496820334256,0.4064285714285715
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,1,1.0,2.2313885515805354,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,2,1.0,1.8082399706413048,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,3,1.0,1.4249543142910572,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,4,1.0,1.2035022000208815,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,5,1.0,1.0910942508031842,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,6,1.0,1.0740335222015773,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,8,1.0,0.9766329411508653,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,10,1.0,0.874368536764713,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,13,1.0,0.7902313484892876,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,16,1.0,0.680148257034567,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,20,1.0,0.639594673871218,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,25,1.0,0.6526525407890463,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,32,1.0,0.6615105049190042,0.0
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,40,1.0,0.6575845243080206,0.00023809523809523812
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,51,1.0,0.5779948647615782,0.00023809523809523812
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,64,1.0,0.5701472253431887,0.00023809523809523812
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,80,1.0,0.5249064669175741,0.00023809523809523812
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,101,1.0,0.4515346772118384,0.0016666666666666668
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,127,1.0,0.4804292556995496,0.0016666666666666668
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,160,1.0,0.5617189498998097,0.001904761904761905
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,202,1.0,0.5862921387378899,0.0033333333333333335
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,254,1.0,0.6382003631516121,0.006904761904761905
R1041,EASY,27.33651477149098,0.0377912428067354,4.603473120187358,1.0,320,1.0,0.7444448833344129,0.010952380952380951
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,1,1.0,4.075862134595701,0.33214285714285713
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,2,1.0,3.1790589550605213,0.33523809523809517
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,3,1.0,2.8586468921300088,0.3335714285714286
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,4,1.0,2.4194811604922326,0.3380952380952381
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,5,1.0,2.391298532856045,0.33285714285714285
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,6,1.0,2.16587121023291,0.33642857142857135
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,8,1.0,1.9440782853642868,0.3369047619047619
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,10,1.0,1.8252144744143521,0.3383333333333333
R0847,EASY,50.00209824405526,0.0217798280839112,8.385144812886248,1.0,13,1.0,1.635567854661345,0.33452380952380956
