regime,metric,threshold,false_alarm_rate,detection_rate_failed,median_lead_s,auc_early,n_stable,n_failed
LOW_DEMAND,CMD_GAP,1.48964232950244,0.0833333333333333,NaN,NaN,NaN,12,0
LOW_DEMAND,LESO_DHAT_O12,113.68283462573,0.0833333333333333,NaN,NaN,NaN,12,0
LOW_DEMAND,LESO_DHAT_O16,222.375648979326,0.0833333333333333,NaN,NaN,NaN,12,0
LOW_DEMAND,LESO_DHAT_O4,22.2806497216406,0.333333333333333,NaN,NaN,NaN,12,0
LOW_DEMAND,LESO_DHAT_O8,40.5850762924148,0.25,NaN,NaN,NaN,12,0
LOW_DEMAND,Q_ABS,13.1289848403107,0.0833333333333333,NaN,NaN,NaN,12,0
LOW_DEMAND,RATE_GAP,10.6710449380633,0.0833333333333333,NaN,NaN,NaN,12,0
LOW_DEMAND,THETA_ABS,3.33033854304802,0.0833333333333333,NaN,NaN,NaN,12,0
BOUNDARY,CMD_GAP,1.48964232950244,0,0,NaN,0.75,10,2
BOUNDARY,LESO_DHAT_O12,113.68283462573,0.4,1,NaN,0.85,10,2
BOUNDARY,LESO_DHAT_O16,222.375648979326,0,1,NaN,0.85,10,2
BOUNDARY,LESO_DHAT_O4,22.2806497216406,1,1,NaN,0.95,10,2
BOUNDARY,LESO_DHAT_O8,40.5850762924148,0.9,1,NaN,0.9,10,2
BOUNDARY,Q_ABS,13.1289848403107,0,0,NaN,0.85,10,2
BOUNDARY,RATE_GAP,10.6710449380633,0,0,NaN,0.6,10,2
BOUNDARY,THETA_ABS,3.33033854304802,0.6,1,NaN,0.85,10,2
ACTUATOR_LIMITED,CMD_GAP,1.48964232950244,0.75,1,0.1225,0.625,4,8
ACTUATOR_LIMITED,LESO_DHAT_O12,113.68283462573,1,1,0.1225,1,4,8
ACTUATOR_LIMITED,LESO_DHAT_O16,222.375648979326,0.75,1,0.1225,1,4,8
ACTUATOR_LIMITED,LESO_DHAT_O4,22.2806497216406,1,1,0.1225,0.84375,4,8
ACTUATOR_LIMITED,LESO_DHAT_O8,40.5850762924148,1,1,0.1225,1,4,8
ACTUATOR_LIMITED,Q_ABS,13.1289848403107,0.75,1,0.1225,1,4,8
ACTUATOR_LIMITED,RATE_GAP,10.6710449380633,1,1,0.1225,0.625,4,8
ACTUATOR_LIMITED,THETA_ABS,3.33033854304802,0,1,0.1225,1,4,8
POOLED_STRESSED,CMD_GAP,1.48964232950244,0.214285714285714,0.8,0.1225,0.821428571428571,14,10
POOLED_STRESSED,LESO_DHAT_O12,113.68283462573,0.571428571428571,1,0.1225,0.928571428571429,14,10
POOLED_STRESSED,LESO_DHAT_O16,222.375648979326,0.214285714285714,1,0.1225,0.935714285714286,14,10
POOLED_STRESSED,LESO_DHAT_O4,22.2806497216406,1,1,0.1225,0.9,14,10
POOLED_STRESSED,LESO_DHAT_O8,40.5850762924148,0.928571428571429,1,0.1225,0.935714285714286,14,10
POOLED_STRESSED,Q_ABS,13.1289848403107,0.214285714285714,0.8,0.1225,0.935714285714286,14,10
POOLED_STRESSED,RATE_GAP,10.6710449380633,0.285714285714286,0.8,0.1225,0.8,14,10
POOLED_STRESSED,THETA_ABS,3.33033854304802,0.428571428571429,1,0.1225,0.978571428571429,14,10
