rocket_id,keff,lat,Pi_keff,td,kp,sr_pd,sr_h1,sr_h5,sr_adrc
R0878,2.539,3,19.2,5.3,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,1.72,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,2.97,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,5.12,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,8.82,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,15.2,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,26.19,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,45.14,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,77.79,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,134.05,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,231.01,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,398.11,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,1.72,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,2.97,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,5.12,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,8.82,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,15.2,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,26.19,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,45.14,1.0,0.9,1.0,1.0
R0169,2.921,3,23.4,26.1,77.79,1.0,0.0,1.0,1.0
R0169,2.921,3,23.4,26.1,134.05,1.0,0.0,1.0,1.0
R0169,2.921,3,23.4,26.1,231.01,1.0,0.0,1.0,1.0
R0169,2.921,3,23.4,26.1,398.11,0.0,0.0,1.0,1.0
R0193,2.029,2,7.3,7.6,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,1.72,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,2.97,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,5.12,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,8.82,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,15.2,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,26.19,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,45.14,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,77.79,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,134.05,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,231.01,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,398.11,1.0,0.5,1.0,1.0
R0506,4.422,3,33.6,14.1,1.0,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,1.72,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,2.97,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,5.12,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,8.82,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,15.2,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,26.19,1.0,1.0,0.3,1.0
R0506,4.422,3,33.6,14.1,45.14,1.0,0.0,0.3,1.0
R0506,4.422,3,33.6,14.1,77.79,1.0,0.0,0.3,1.0
R0506,4.422,3,33.6,14.1,134.05,1.0,0.0,0.4,1.0
R0506,4.422,3,33.6,14.1,231.01,0.2,0.0,0.9,1.0
R0506,4.422,3,33.6,14.1,398.11,0.0,0.0,1.0,1.0
R1972,1.591,2,5.3,14.7,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,1.72,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,2.97,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,5.12,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,8.82,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,15.2,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,26.19,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,45.14,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,77.79,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,134.05,1.0,0.2,1.0,1.0
R1972,1.591,2,5.3,14.7,231.01,1.0,0.0,1.0,1.0
R1972,1.591,2,5.3,14.7,398.11,0.0,0.0,1.0,1.0
R2040,0.758,2,3.0,5.7,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,1.72,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,2.97,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,5.12,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,8.82,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,15.2,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,26.19,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,45.14,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,77.79,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,134.05,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,231.01,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,398.11,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,1.72,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,2.97,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,5.12,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,8.82,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,15.2,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,26.19,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,45.14,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,77.79,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,134.05,1.0,0.8,1.0,1.0
R0951,0.939,3,9.5,12.0,231.01,1.0,0.0,1.0,1.0
R0951,0.939,3,9.5,12.0,398.11,0.1,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,1.72,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,2.97,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,5.12,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,8.82,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,15.2,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,26.19,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,45.14,1.0,0.2,1.0,1.0
R2385,2.533,5,53.6,18.2,77.79,1.0,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,134.05,1.0,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,231.01,0.2,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,398.11,0.0,0.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.72,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,2.97,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,5.12,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,8.82,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,15.2,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,26.19,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,45.14,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,77.79,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,134.05,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,231.01,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,398.11,1.0,1.0,1.0,1.0
R1082,1.985,3,23.9,28.7,1.0,0.9,0.9,0.1,1.0
R1082,1.985,3,23.9,28.7,1.72,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,2.97,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,5.12,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,8.82,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,15.2,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,26.19,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,45.14,1.0,0.5,0.1,1.0
R1082,1.985,3,23.9,28.7,77.79,1.0,0.0,0.1,1.0
R1082,1.985,3,23.9,28.7,134.05,0.2,0.0,0.1,1.0
R1082,1.985,3,23.9,28.7,231.01,0.1,0.0,0.1,1.0
R1082,1.985,3,23.9,28.7,398.11,0.0,0.0,0.1,1.0
R1539,3.366,2,24.0,43.9,1.0,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,1.72,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,2.97,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,5.12,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,8.82,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,15.2,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,26.19,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,45.14,1.0,0.1,1.0,1.0
R1539,3.366,2,24.0,43.9,77.79,1.0,0.0,1.0,1.0
R1539,3.366,2,24.0,43.9,134.05,1.0,0.0,1.0,1.0
R1539,3.366,2,24.0,43.9,231.01,1.0,0.0,1.0,1.0
R1539,3.366,2,24.0,43.9,398.11,0.0,0.0,1.0,1.0
R0322,2.873,6,180.2,32.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,1.72,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,2.97,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,5.12,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,8.82,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,15.2,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,26.19,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,45.14,1.0,0.0,1.0,1.0
