rocket_id,keff,lat,Pi_keff,td,frac_pass_pd,frac_pass_h1,frac_pass_h5,frac_pass_adrc,best_sr_pd,best_sr_h1,best_sr_h5,best_sr_adrc
R0024,16.669,4,288.5,156.3,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,0.9167,0.6667,1.0,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,0.8333,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,1.0,0.9167,1.0,1.0,1.0,1.0,1.0,1.0
R0197,7.18,2,22.8,61.6,0.9167,0.5,1.0,1.0,1.0,1.0,1.0,1.0
R0269,8.461,5,182.4,67.5,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,0.8333,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
R0333,17.651,4,298.8,150.7,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0386,21.102,4,319.7,77.2,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0487,19.16,4,278.9,204.4,0.6667,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0506,4.422,3,33.6,14.1,0.8333,0.5833,0.1667,1.0,1.0,1.0,1.0,1.0
R0522,32.826,1,41.4,216.9,1.0,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0574,2.906,4,48.0,34.8,0.8333,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
R0592,16.203,2,56.7,151.4,1.0,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0689,18.752,3,149.3,176.0,0.8333,0.4167,0.5,1.0,1.0,1.0,1.0,1.0
R0864,14.151,4,477.5,297.6,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,0.9167,0.8333,1.0,1.0,1.0,1.0,1.0,1.0
R0969,11.428,5,366.0,115.8,0.75,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1082,1.985,3,23.9,28.7,0.75,0.5833,0.0,1.0,1.0,1.0,0.1,1.0
R1098,5.243,4,85.1,45.8,0.9167,0.5,0.0833,1.0,1.0,1.0,1.0,1.0
R1203,39.6,2,125.0,317.8,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1290,41.373,3,302.4,255.1,0.5,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1326,6.788,1,5.9,32.3,1.0,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
R1437,3.752,4,70.1,46.1,0.4167,0.25,0.0,1.0,1.0,1.0,0.0,1.0
R1441,23.138,3,168.6,168.8,0.6667,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,0.9167,0.6667,1.0,1.0,1.0,1.0,1.0,1.0
R1474,3.544,6,253.2,69.1,0.5,0.1667,0.0,1.0,1.0,1.0,0.0,1.0
R1513,12.234,6,866.7,283.5,0.75,0.4167,0.3333,1.0,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,0.9167,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,0.9167,0.5,1.0,1.0,1.0,1.0,1.0,1.0
R1672,8.907,6,263.4,76.1,0.75,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1673,22.991,4,281.7,183.9,0.6667,0.4167,0.4167,1.0,1.0,1.0,1.0,1.0
R1679,23.533,4,403.3,240.0,0.75,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1794,11.781,2,36.1,88.1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
R1808,39.034,3,309.4,376.6,0.75,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1811,30.47,4,482.8,117.4,0.5833,0.3333,1.0,1.0,1.0,1.0,1.0,1.0
R1884,32.906,2,122.2,310.7,0.9167,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R1951,7.302,4,165.0,112.7,0.8333,0.5,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,0.9167,0.75,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2055,16.293,5,395.1,160.4,0.75,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R2093,7.211,4,122.7,89.4,0.8333,0.5,1.0,1.0,1.0,1.0,1.0,1.0
R2106,23.502,6,1146.9,144.8,0.5,0.3333,1.0,1.0,1.0,1.0,1.0,1.0
R2157,3.949,1,4.3,51.2,0.8333,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
R2246,8.427,3,156.7,137.7,0.9167,0.4167,0.25,1.0,1.0,1.0,1.0,1.0
R2282,19.955,1,20.0,223.2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
R2287,17.398,4,576.3,148.8,0.8333,0.4167,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,0.8333,0.5833,1.0,1.0,1.0,1.0,1.0,1.0
