rocket_id,keff,lat,Pi_keff,td,kp,adrc,pd,h1,h2,h3,h4,h5
R0878,2.539,3,19.2,5.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,204.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0878,2.539,3,19.2,5.3,398.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,54.12,1.0,1.0,0.25,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,204.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0169,2.921,3,23.4,26.1,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,204.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0193,2.029,2,7.3,7.6,398.11,1.0,1.0,0.375,1.0,1.0,1.0,1.0
R0506,4.422,3,33.6,14.1,1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,1.94,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,3.78,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,7.36,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,14.31,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,27.83,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,54.12,1.0,1.0,0.0,0.125,0.125,0.125,0.125
R0506,4.422,3,33.6,14.1,105.25,1.0,1.0,0.0,0.125,0.125,0.125,0.375
R0506,4.422,3,33.6,14.1,204.7,1.0,0.625,0.0,0.125,0.125,0.5,0.625
R0506,4.422,3,33.6,14.1,398.11,1.0,0.0,0.0,0.125,0.5,0.75,1.0
R1972,1.591,2,5.3,14.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,204.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R1972,1.591,2,5.3,14.7,398.11,1.0,0.125,0.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,204.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2040,0.758,2,3.0,5.7,398.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,204.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R0951,0.939,3,9.5,12.0,398.11,1.0,0.125,0.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,54.12,1.0,1.0,0.125,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,105.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,204.7,1.0,0.5,0.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,398.11,1.0,0.0,0.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,3.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,7.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,14.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,27.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,54.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,204.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,398.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1082,1.985,3,23.9,28.7,1.0,1.0,0.875,0.625,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,1.94,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,3.78,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,7.36,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,14.31,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,27.83,1.0,1.0,1.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,54.12,1.0,1.0,0.125,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,105.25,1.0,0.875,0.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,204.7,1.0,0.0,0.0,0.125,0.125,0.125,0.125
R1082,1.985,3,23.9,28.7,398.11,1.0,0.0,0.0,0.125,0.125,0.125,0.125
R1539,3.366,2,24.0,43.9,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,1.94,1.0,1.0,1.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,3.78,1.0,1.0,1.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,7.36,1.0,1.0,1.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,14.31,1.0,1.0,1.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,27.83,1.0,1.0,1.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,54.12,1.0,1.0,0.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,105.25,1.0,1.0,0.0,0.875,0.875,0.875,0.875
R1539,3.366,2,24.0,43.9,204.7,1.0,1.0,0.0,0.875,0.875,0.875,1.0
