latency_steps,gyro_noise_std,slew_code_units,best_success,best_Kp,best_Kd
1,0.005,6,0,1,0.3
1,0.005,9,0,1,0.3
1,0.005,12,0.5,10,10
1,0.005,18,1,30,10
1,0.04,6,0,1,0.3
1,0.04,9,0,1,0.3
1,0.04,12,0.5,30,10
1,0.04,18,1,30,10
1,0.08,6,0,1,0.3
1,0.08,9,0,1,0.3
1,0.08,12,0.5,30,10
1,0.08,18,1,30,10
1,0.12,6,0,1,0.3
1,0.12,9,0.25,30,10
1,0.12,12,0.5,30,10
1,0.12,18,1,30,10
4,0.005,6,0,1,0.3
4,0.005,9,0,1,0.3
4,0.005,12,0.5,10,10
4,0.005,18,1,30,10
4,0.04,6,0,1,0.3
4,0.04,9,0,1,0.3
4,0.04,12,0.5,30,10
4,0.04,18,1,30,10
4,0.08,6,0,1,0.3
4,0.08,9,0,1,0.3
4,0.08,12,0.5,30,10
4,0.08,18,1,30,10
4,0.12,6,0,1,0.3
4,0.12,9,0.25,30,10
4,0.12,12,0.5,30,10
4,0.12,18,1,30,10
8,0.005,6,0,1,0.3
8,0.005,9,0,1,0.3
8,0.005,12,0.5,10,10
8,0.005,18,1,30,10
8,0.04,6,0,1,0.3
8,0.04,9,0,1,0.3
8,0.04,12,0.5,30,10
8,0.04,18,1,30,10
8,0.08,6,0,1,0.3
8,0.08,9,0,1,0.3
8,0.08,12,0.5,30,10
8,0.08,18,1,30,10
8,0.12,6,0,1,0.3
8,0.12,9,0.25,30,10
8,0.12,12,0.5,30,10
8,0.12,18,1,30,10
16,0.005,6,0,1,0.3
16,0.005,9,0,1,0.3
16,0.005,12,0.5,10,10
16,0.005,18,1,30,10
16,0.04,6,0,1,0.3
16,0.04,9,0,1,0.3
16,0.04,12,0.5,30,10
16,0.04,18,1,30,10
16,0.08,6,0,1,0.3
16,0.08,9,0,1,0.3
16,0.08,12,0.5,30,10
16,0.08,18,1,30,10
16,0.12,6,0,1,0.3
16,0.12,9,0.25,30,10
16,0.12,12,0.5,30,10
16,0.12,18,1,30,10
