p_unstable,latency_steps,latency_s,gyro_noise_std,slew_boundary_code
4,1,0.005,0.005,6
4,1,0.005,0.01,6
4,1,0.005,0.02,6
4,1,0.005,0.04,6
4,2,0.01,0.005,6
4,2,0.01,0.01,6
4,2,0.01,0.02,6
4,2,0.01,0.04,6
4,4,0.02,0.005,6
4,4,0.02,0.01,6
4,4,0.02,0.02,6
4,4,0.02,0.04,6
4,8,0.04,0.005,6
4,8,0.04,0.01,6
4,8,0.04,0.02,6
4,8,0.04,0.04,6
6,1,0.005,0.005,6
6,1,0.005,0.01,6
6,1,0.005,0.02,6
6,1,0.005,0.04,6
6,2,0.01,0.005,6
6,2,0.01,0.01,6
6,2,0.01,0.02,6
6,2,0.01,0.04,6
6,4,0.02,0.005,6
6,4,0.02,0.01,6
6,4,0.02,0.02,6
6,4,0.02,0.04,6
6,8,0.04,0.005,6
6,8,0.04,0.01,6
6,8,0.04,0.02,6
6,8,0.04,0.04,6
8,1,0.005,0.005,6
8,1,0.005,0.01,6
8,1,0.005,0.02,6
8,1,0.005,0.04,6
8,2,0.01,0.005,6
8,2,0.01,0.01,6
8,2,0.01,0.02,6
8,2,0.01,0.04,6
8,4,0.02,0.005,6
8,4,0.02,0.01,6
8,4,0.02,0.02,6
8,4,0.02,0.04,6
8,8,0.04,0.005,6
8,8,0.04,0.01,6
8,8,0.04,0.02,6
8,8,0.04,0.04,6
10,1,0.005,0.005,12
10,1,0.005,0.01,12
10,1,0.005,0.02,12
10,1,0.005,0.04,12
10,2,0.01,0.005,12
10,2,0.01,0.01,12
10,2,0.01,0.02,12
10,2,0.01,0.04,12
10,4,0.02,0.005,12
10,4,0.02,0.01,12
10,4,0.02,0.02,12
10,4,0.02,0.04,12
10,8,0.04,0.005,12
10,8,0.04,0.01,12
10,8,0.04,0.02,12
10,8,0.04,0.04,12
