p_unstable,latency_steps,latency_s,gyro_noise_std,slew_code_units,best_success,best_theta_rms_deg,best_Kp,best_Kd
4,1,0.005,0.005,6,1,1.24269797086261,10,3
4,1,0.005,0.005,9,1,1.17747429852065,10,1
4,1,0.005,0.005,12,1,1.099527912001,30,10
4,1,0.005,0.005,18,1,1.09943447852479,30,10
4,1,0.005,0.005,24,1,0.82656337287496,30,3
4,1,0.005,0.005,36,1,0.78867847448358,30,3
4,1,0.005,0.01,6,1,1.2348782316141,10,1
4,1,0.005,0.01,9,1,1.16167034643683,10,1
4,1,0.005,0.01,12,1,1.09574530990581,30,10
4,1,0.005,0.01,18,1,1.09731418889813,30,10
4,1,0.005,0.01,24,1,0.824296338155693,30,3
4,1,0.005,0.01,36,1,0.786971512066464,30,3
4,1,0.005,0.02,6,1,1.21204731774994,10,1
4,1,0.005,0.02,9,1,1.13951021091523,10,1
4,1,0.005,0.02,12,1,1.09061663740352,30,10
4,1,0.005,0.02,18,1,1.09009294745032,30,10
4,1,0.005,0.02,24,1,0.822468723131128,30,3
4,1,0.005,0.02,36,1,0.784122166593355,30,3
4,1,0.005,0.04,6,1,1.19329921180278,10,1
4,1,0.005,0.04,9,1,1.12256563513371,10,1
4,1,0.005,0.04,12,1,1.08158234529757,30,10
4,1,0.005,0.04,18,1,1.08138124230181,30,10
4,1,0.005,0.04,24,1,0.827530504939729,30,3
4,1,0.005,0.04,36,1,0.789387774647131,30,3
4,2,0.01,0.005,6,1,1.24269797086261,10,3
4,2,0.01,0.005,9,1,1.17747429852065,10,1
4,2,0.01,0.005,12,1,1.099527912001,30,10
4,2,0.01,0.005,18,1,1.09943447852479,30,10
4,2,0.01,0.005,24,1,0.82656337287496,30,3
4,2,0.01,0.005,36,1,0.78867847448358,30,3
4,2,0.01,0.01,6,1,1.2348782316141,10,1
4,2,0.01,0.01,9,1,1.16167034643683,10,1
4,2,0.01,0.01,12,1,1.09574530990581,30,10
4,2,0.01,0.01,18,1,1.09731418889813,30,10
4,2,0.01,0.01,24,1,0.824296338155693,30,3
4,2,0.01,0.01,36,1,0.786971512066464,30,3
4,2,0.01,0.02,6,1,1.21204731774994,10,1
4,2,0.01,0.02,9,1,1.13951021091523,10,1
4,2,0.01,0.02,12,1,1.09061663740352,30,10
4,2,0.01,0.02,18,1,1.09009294745032,30,10
4,2,0.01,0.02,24,1,0.822468723131128,30,3
4,2,0.01,0.02,36,1,0.784122166593355,30,3
4,2,0.01,0.04,6,1,1.19329921180278,10,1
4,2,0.01,0.04,9,1,1.12256563513371,10,1
4,2,0.01,0.04,12,1,1.08158234529757,30,10
4,2,0.01,0.04,18,1,1.08138124230181,30,10
4,2,0.01,0.04,24,1,0.827530504939729,30,3
4,2,0.01,0.04,36,1,0.789387774647131,30,3
4,4,0.02,0.005,6,1,1.24269797086261,10,3
4,4,0.02,0.005,9,1,1.17747429852065,10,1
4,4,0.02,0.005,12,1,1.099527912001,30,10
4,4,0.02,0.005,18,1,1.09943447852479,30,10
4,4,0.02,0.005,24,1,0.82656337287496,30,3
4,4,0.02,0.005,36,1,0.78867847448358,30,3
4,4,0.02,0.01,6,1,1.2348782316141,10,1
4,4,0.02,0.01,9,1,1.16167034643683,10,1
4,4,0.02,0.01,12,1,1.09574530990581,30,10
4,4,0.02,0.01,18,1,1.09731418889813,30,10
4,4,0.02,0.01,24,1,0.824296338155693,30,3
4,4,0.02,0.01,36,1,0.786971512066464,30,3
4,4,0.02,0.02,6,1,1.21204731774994,10,1
4,4,0.02,0.02,9,1,1.13951021091523,10,1
4,4,0.02,0.02,12,1,1.09061663740352,30,10
4,4,0.02,0.02,18,1,1.09009294745032,30,10
4,4,0.02,0.02,24,1,0.822468723131128,30,3
4,4,0.02,0.02,36,1,0.784122166593355,30,3
4,4,0.02,0.04,6,1,1.19329921180278,10,1
4,4,0.02,0.04,9,1,1.12256563513371,10,1
4,4,0.02,0.04,12,1,1.08158234529757,30,10
4,4,0.02,0.04,18,1,1.08138124230181,30,10
4,4,0.02,0.04,24,1,0.827530504939729,30,3
4,4,0.02,0.04,36,1,0.789387774647131,30,3
4,8,0.04,0.005,6,1,1.24269797086261,10,3
4,8,0.04,0.005,9,1,1.17747429852065,10,1
4,8,0.04,0.005,12,1,1.099527912001,30,10
4,8,0.04,0.005,18,1,1.09943447852479,30,10
4,8,0.04,0.005,24,1,0.82656337287496,30,3
4,8,0.04,0.005,36,1,0.78867847448358,30,3
4,8,0.04,0.01,6,1,1.2348782316141,10,1
4,8,0.04,0.01,9,1,1.16167034643683,10,1
4,8,0.04,0.01,12,1,1.09574530990581,30,10
4,8,0.04,0.01,18,1,1.09731418889813,30,10
4,8,0.04,0.01,24,1,0.824296338155693,30,3
4,8,0.04,0.01,36,1,0.786971512066464,30,3
4,8,0.04,0.02,6,1,1.21204731774994,10,1
4,8,0.04,0.02,9,1,1.13951021091523,10,1
4,8,0.04,0.02,12,1,1.09061663740352,30,10
4,8,0.04,0.02,18,1,1.09009294745032,30,10
4,8,0.04,0.02,24,1,0.822468723131128,30,3
4,8,0.04,0.02,36,1,0.784122166593355,30,3
4,8,0.04,0.04,6,1,1.19329921180278,10,1
4,8,0.04,0.04,9,1,1.12256563513371,10,1
4,8,0.04,0.04,12,1,1.08158234529757,30,10
4,8,0.04,0.04,18,1,1.08138124230181,30,10
4,8,0.04,0.04,24,1,0.827530504939729,30,3
4,8,0.04,0.04,36,1,0.789387774647131,30,3
6,1,0.005,0.005,6,1,1.48694773753291,10,1
6,1,0.005,0.005,9,1,1.33265775330445,10,1
6,1,0.005,0.005,12,1,1.18884923368026,30,10
6,1,0.005,0.005,18,1,1.17286258818528,30,10
6,1,0.005,0.005,24,1,0.873661738088261,30,3
6,1,0.005,0.005,36,1,0.825123801400053,30,3
6,1,0.005,0.01,6,1,1.48103000050562,10,1
