rocket_id,td,keff,latency,Pi,peak_pd,n_pass_pd,peak_pidi,n_pass_pidi,peak_adrc,n_pass_adrc,final_label
R0923,4.422144768349797,0.8011251781261479,1,0.8011251781261479,1.0,10,1.0,50,1.0,7,EASY
R0764,12.930340314164486,2.412275137104066,1,2.412275137104066,1.0,11,1.0,55,1.0,7,EASY
R0912,40.01734294547792,6.267045957526658,1,6.267045957526658,1.0,12,1.0,60,1.0,6,EASY
R1127,46.05826455129819,6.22205057147321,1,6.22205057147321,1.0,9,1.0,46,1.0,6,EASY
R2160,17.562420881770112,2.1321669358272404,2,8.528667743308961,1.0,10,1.0,50,1.0,7,EASY
R1456,8.18855811726772,0.932600009015248,3,8.393400081137232,1.0,11,1.0,55,1.0,7,EASY
R0837,3.7236896428144455,1.90878330948278,5,47.7195827370695,1.0,12,1.0,60,1.0,7,EASY
R1433,13.190651884886329,1.6988004420376557,3,15.2892039783389,1.0,11,1.0,55,1.0,7,EASY
R1783,156.90805978403208,18.586951692991715,1,18.586951692991715,1.0,11,1.0,54,1.0,5,EASY
R1581,41.80200936585938,7.328815631137501,2,29.315262524550004,1.0,11,1.0,58,1.0,6,EASY
R1077,18.881205143659184,2.700559646677496,3,24.305036820097467,1.0,9,1.0,45,1.0,6,EASY
R0522,216.85229998394357,41.37695025803256,1,41.37695025803256,1.0,10,1.0,50,1.0,2,EASY
R2282,223.23184615046875,19.954346798661074,1,19.954346798661074,1.0,11,1.0,53,1.0,4,EASY
R0060,233.8851279001163,25.19689041316748,1,25.19689041316748,1.0,11,1.0,51,1.0,5,EASY
R1988,68.04592167879154,7.049891879058107,2,28.199567516232428,1.0,11,1.0,54,1.0,6,EASY
R0234,11.17084765817729,6.810427366810912,5,170.2606841702728,1.0,7,1.0,29,1.0,4,EASY
R0387,34.036174029102824,6.2256281011444905,3,56.03065291030042,1.0,12,1.0,56,1.0,4,EASY
R1742,35.644131798478384,3.085279800178146,3,27.767518201603313,1.0,9,1.0,43,1.0,5,EASY
R0564,82.3123344772652,12.511072270401854,2,50.04428908160742,1.0,11,1.0,55,1.0,5,EASY
R0482,14.144109366747472,1.9199667014653892,5,47.99916753663473,1.0,9,1.0,45,1.0,4,EASY
R0728,97.65740686673432,9.378674994338272,2,37.51469997735309,1.0,12,1.0,60,1.0,5,EASY
R0137,62.378201810775,6.426212767628209,3,57.835914908653876,1.0,12,1.0,59,1.0,3,EASY
R0432,143.74605132208225,12.80911013569716,2,51.23644054278864,1.0,12,1.0,60,1.0,4,EASY
R0163,159.1885329665185,23.175611525197468,2,92.70244610078987,1.0,10,1.0,50,1.0,4,EASY
R2221,30.516785160426107,5.852138197742413,5,146.30345494356033,1.0,10,1.0,47,1.0,5,EASY
R2312,21.9828945554522,2.6713993623733616,6,96.17037704544101,1.0,9,1.0,45,1.0,4,EASY
R1188,34.00909235141738,3.499182535294384,5,87.4795633823596,1.0,11,1.0,55,1.0,6,EASY
R1464,55.92035460743615,5.7791634308795965,4,92.46661489407354,1.0,11,1.0,53,1.0,6,EASY
R1389,35.974858873329026,5.201819922946622,5,130.04549807366556,1.0,10,1.0,49,1.0,5,EASY
R0278,65.47841163338043,7.013634279981204,4,112.21814847969927,1.0,11,1.0,55,1.0,5,EASY
R1171,72.18809423155564,9.142607552226524,4,146.28172083562438,1.0,9,1.0,43,1.0,4,EASY
R1884,310.6574294167643,30.541701454070488,2,122.16680581628195,1.0,8,1.0,40,1.0,3,EASY
R1561,77.92416424428615,8.877554252409677,4,142.04086803855483,1.0,10,1.0,47,1.0,4,EASY
R0117,37.781420831201416,14.586186477180387,6,525.1027131784939,0.9,3,1.0,15,0.8,1,EASY
R0929,90.13024020927196,8.6703654885361,4,138.7258478165776,1.0,10,1.0,48,1.0,5,EASY
R0831,94.61875762584027,13.567305029148502,4,217.07688046637602,1.0,4,1.0,26,1.0,3,EASY
R0471,180.5698446495365,21.76700663752589,3,195.903059737733,1.0,6,1.0,27,1.0,2,EASY
R1306,85.34451832930962,8.666447986244522,5,216.66119965611307,1.0,8,1.0,35,1.0,4,EASY
R2287,148.84459105291927,36.02085568588581,4,576.333690974173,1.0,4,1.0,21,1.0,2,FRAGILE
R0048,281.9656155049529,25.861134826252677,3,232.7502134362741,1.0,10,1.0,39,1.0,3,EASY
R1648,213.67197467696985,17.8146626316146,4,285.0346021058336,1.0,6,1.0,27,1.0,3,EASY
R1679,240.02567449876835,25.204483462439093,4,403.2717353990255,1.0,7,1.0,32,1.0,3,EASY
R2055,160.428203909216,15.805741954142825,5,395.1435488535706,1.0,6,1.0,29,1.0,2,EASY
R1300,174.6253028282724,20.85035314019539,5,521.2588285048848,0.9,1,0.9,6,1.0,2,FRAGILE
R1713,122.16500398486023,17.695364540657714,6,637.0331234636777,0.9,4,0.9,18,1.0,3,FRAGILE
R0475,192.7758558470076,29.15865940567346,5,728.9664851418365,0.7,0,0.8,1,0.8,1,EASY
R0400,214.6999063287188,19.379628939556724,5,484.4907234889181,1.0,4,1.0,19,1.0,1,FRAGILE
R0236,168.59986686672784,21.485337127938408,6,773.4721366057827,0.8,1,1.0,2,1.0,2,FRAGILE
R2080,311.79245101667595,29.606545749199764,5,740.1636437299941,0.7,0,0.7,0,1.0,1,FRAGILE
R0303,217.5129605955632,21.34511034067251,6,768.4239722642103,0.9,4,0.9,14,1.0,2,FRAGILE
