firmware,p_unstable,baseline_succ,oracle_succ,best_Kp,best_Kd,rescue
tomkuttler/TVC-Flight,0,0.25,1,1,1,1
tomkuttler/TVC-Flight,2,0,0.25,8,10,0
tomkuttler/TVC-Flight,4,0,0,0.3,0.1,0
tomkuttler/TVC-Flight,6,0,0,0.3,0.1,0
tomkuttler/TVC-Flight,8,0,0,0.3,0.1,0
tomkuttler/TVC-Flight,10,0,0,0.3,0.1,0
AdamMarciniak/FCV1,0,1,1,0.3,5,0
AdamMarciniak/FCV1,2,0.75,1,0.3,20,0
AdamMarciniak/FCV1,4,0,0.75,0.3,20,0
AdamMarciniak/FCV1,6,0,0.75,8,10,0
AdamMarciniak/FCV1,8,0,0.25,8,10,0
AdamMarciniak/FCV1,10,0,0,0.3,0.1,0
PrajNasa/Dhumaketu,0,1,1,0.3,5,0
PrajNasa/Dhumaketu,2,1,1,0.3,10,0
PrajNasa/Dhumaketu,4,0.75,0.75,0.3,20,0
PrajNasa/Dhumaketu,6,0,0.75,8,5,0
PrajNasa/Dhumaketu,8,0,0.5,16,5,0
PrajNasa/Dhumaketu,10,0,0,0.3,0.1,0
