policy,p_true,p_ratio_assumed_over_true,p_assumed,Kp,Kd,success_rate,rms_deg,peak_deg
NAIVE_BASIC_SIM,6,0.7,4.2,10,1,1,1.54984054759922,4.63007697763453
MEASURED_REAL_SIM,6,0.7,6,30,10,1,1.31115445474787,4.61285901852444
NAIVE_BASIC_SIM,6,0.85,5.1,10,1,1,1.54984054759922,4.63007697763453
MEASURED_REAL_SIM,6,0.85,6,30,10,1,1.31115445474787,4.61285901852444
NAIVE_BASIC_SIM,6,1,6,10,1,1,1.54984054759922,4.63007697763453
MEASURED_REAL_SIM,6,1,6,30,10,1,1.31115445474787,4.61285901852444
NAIVE_BASIC_SIM,6,1.15,6.9,30,10,1,1.31115445474787,4.61285901852444
MEASURED_REAL_SIM,6,1.15,6,30,10,1,1.31115445474787,4.61285901852444
NAIVE_BASIC_SIM,6,1.3,7.8,30,10,1,1.31115445474787,4.61285901852444
MEASURED_REAL_SIM,6,1.3,6,30,10,1,1.31115445474787,4.61285901852444
NAIVE_BASIC_SIM,8,0.7,5.6,10,1,0.5,4.38289046862257,10.9407396246415
MEASURED_REAL_SIM,8,0.7,8,10,3,0.9,3.28342367722606,5.41631684409526
NAIVE_BASIC_SIM,8,0.85,6.8,30,10,0.9,10.300611395028,13.2727307921974
MEASURED_REAL_SIM,8,0.85,8,10,3,0.9,3.28342367722606,5.41631684409526
NAIVE_BASIC_SIM,8,1,8,30,10,0.9,10.300611395028,13.2727307921974
MEASURED_REAL_SIM,8,1,8,10,3,0.9,3.28342367722606,5.41631684409526
NAIVE_BASIC_SIM,8,1.15,9.2,10,10,0.9,4.18731010708807,5.20747281139254
MEASURED_REAL_SIM,8,1.15,8,10,3,0.9,3.28342367722606,5.41631684409526
NAIVE_BASIC_SIM,8,1.3,10.4,30,3,0.5,45.3777804684663,46.4652329016012
MEASURED_REAL_SIM,8,1.3,8,10,3,0.9,3.28342367722606,5.41631684409526
NAIVE_BASIC_SIM,10,0.7,7,30,10,0.5,45.5773235863114,46.6032233980552
MEASURED_REAL_SIM,10,0.7,10,30,3,0.5,45.4714777882783,46.6032725352283
NAIVE_BASIC_SIM,10,0.85,8.5,30,10,0.5,45.5773235863114,46.6032233980552
MEASURED_REAL_SIM,10,0.85,10,30,3,0.5,45.4714777882783,46.6032725352283
NAIVE_BASIC_SIM,10,1,10,10,10,0,40.3254235812064,47.1237685646158
MEASURED_REAL_SIM,10,1,10,30,3,0.5,45.4714777882783,46.6032725352283
NAIVE_BASIC_SIM,10,1.15,11.5,30,3,0.5,45.4714777882783,46.6032725352283
MEASURED_REAL_SIM,10,1.15,10,30,3,0.5,45.4714777882783,46.6032725352283
NAIVE_BASIC_SIM,10,1.3,13,1,0.3,0,90,90
MEASURED_REAL_SIM,10,1.3,10,30,3,0.5,45.4714777882783,46.6032725352283
NAIVE_BASIC_SIM,12,0.7,8.4,30,10,0.5,45.814122272345,47.2163716955921
MEASURED_REAL_SIM,12,0.7,12,30,10,0.5,45.814122272345,47.2163716955921
NAIVE_BASIC_SIM,12,0.85,10.2,30,3,0.4,54.6474677644545,55.677076287771
MEASURED_REAL_SIM,12,0.85,12,30,10,0.5,45.814122272345,47.2163716955921
NAIVE_BASIC_SIM,12,1,12,30,3,0.4,54.6474677644545,55.677076287771
MEASURED_REAL_SIM,12,1,12,30,10,0.5,45.814122272345,47.2163716955921
NAIVE_BASIC_SIM,12,1.15,13.8,1,0.3,0,90,90
MEASURED_REAL_SIM,12,1.15,12,30,10,0.5,45.814122272345,47.2163716955921
NAIVE_BASIC_SIM,12,1.3,15.6,1,0.3,0,90,90
MEASURED_REAL_SIM,12,1.3,12,30,10,0.5,45.814122272345,47.2163716955921
