rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,td,new_label,corrected_label,final_label,uncertain,keff_c,Pi_keff
R0191,191,2.1070853554767224,0.7001949390745132,0.097831857090584,0.2991967194746024,-18.40305508634732,5.840958315684743,0.6138017391454889,178.97115148509795,2.933968399117137,5,0.0923421328204498,0.1805480391265847,0.3031761387646722,320.0,4.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8311148486408397,2.2090638633422444,1.1920314394335625,2.2090638633422444,0.0,0.0,0.9216666666666667,2.6666666666666665,0.0,0.0,EASY,2,1.1565998117382057,,EASY,EASY,0.0,0.4927625550117714,12.319063875294285
R0393,393,0.0,0.8176693510129667,0.0992561406762505,-0.2893149142384269,-29.36803780621009,7.913333936288199,0.659541442155681,153.11786456771347,9.23026560798823,5,0.0922625988332953,0.0629894445619507,0.2964716416130278,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5243886753439119,2.1819100472250503,1.26544581618778,2.1819100472250503,0.0,0.0283333333333333,1.0,3.0,0.0,0.0,EASY,2,3.85370770681674,,EASY,EASY,0.0,0.5218847255437579,13.047118138593946
R0967,967,0.0,0.7688595986956046,0.0722775007948696,-0.0936499030518838,-84.17105332802642,8.858754196338511,0.5261359843016562,129.61209171870732,7.593618694478552,5,0.1011290225213841,0.0022647920379551,0.14173529673614,6.31,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8419645433110788,2.465454502909718,0.5567074047503332,2.465454502909718,0.0,0.2588888888888889,0.92,2.0,0.0,0.0,EASY,2,3.4731499395710426,,EASY,EASY,0.0,0.5717218100008807,14.293045250022018
R0865,865,0.7911095807407474,0.5360059876770955,0.0801836027788482,0.1354256865663022,-15.438458637302205,8.141468591286216,0.6278205773771907,85.9790134572112,5.308789458595494,5,0.0975020101134313,0.0760734962947552,0.0955345609114071,16.56,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.9035713106657678,2.563756642743516,1.7093263658476594,2.563756642743516,0.0,0.0988888888888889,1.0,3.0,0.0,0.0,EASY,2,2.6117123964093376,,EASY,EASY,0.0,0.6149500787276225,15.373751968190563
R0260,260,0.1765087533088715,0.8788232580534592,0.0871153678399742,0.0292149264224333,-16.91141563365845,8.689485789621466,0.7042646509618815,125.04866881340352,12.758324546584298,5,0.0085372551903216,0.20788139708533,0.0662337635261265,6.31,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7924546981428183,2.5011410998703787,0.6809169098150317,2.5011410998703787,0.0,0.03,0.8466666666666667,2.0,0.0,0.0,EASY,2,6.480591243207111,,EASY,EASY,0.0,0.6349375283902499,15.873438209756246
R0305,305,4.701289022420991,0.8174667745151691,0.0874553268750966,0.2337583774966687,-56.76915920140316,12.517765979023231,0.716183407174238,191.6303267415348,9.872778651875713,5,0.020478182979964,0.0991030438281569,0.3531396024476138,59.67,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4571190914463206,1.9840053726973093,1.1314235402517614,1.9840053726973093,0.0,0.0066666666666666,0.0,5.0,0.0,0.0,EASY,2,5.07992448183191,,EASY,EASY,0.0,0.6431730950519668,16.079327376299172
R0579,579,6.6449993786800325,0.9502372666909767,0.0809089299189129,0.2325230917869618,-78.53231661102424,10.417454587256692,0.6787939631701619,101.58364106313434,13.504470115567846,5,0.1156813080980177,0.1206498030108904,0.1857386978073862,8.66,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.963384028996947,2.771997428923488,0.1919399226607276,2.771997428923488,0.0,0.0638888888888888,0.835,2.333333333333333,0.0,0.0,EASY,2,7.118671141001127,,EASY,EASY,0.0,0.6589180360355994,16.472950900889984
R0671,671,8.45016257108251,0.8678197262484555,0.0778689660106943,0.2670593176685062,-85.76243932969606,9.628109995285143,0.6603564993782938,109.17804671500548,4.994981485186226,5,0.0066905934803384,0.0628393428677554,0.145385592347837,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6215062730398826,1.9105827084210825,1.474358721257956,1.9105827084210825,0.0,0.0222222222222222,0.0,4.333333333333333,0.0,0.0,EASY,2,2.6615081465518333,,EASY,EASY,0.0,0.6660455485283459,16.651138713208645
R1858,1858,5.349351207108178,0.7498194537552292,0.0999131287470727,0.2606533589179809,-63.2504849358204,8.202829880527236,0.853789897447332,189.7071820434876,3.290148561315417,5,0.1004565669559532,0.2377222639872541,0.4415228696493158,295.07,4.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7357946065572888,2.030167039807728,0.3066188682620499,2.030167039807728,0.0,0.0,0.8566666666666666,3.333333333333333,0.0,0.0,EASY,2,1.7665414384484606,,EASY,EASY,0.0,0.6711480521042904,16.77870130260726
R1601,1601,0.0,1.110484498282906,0.0910130619378033,-0.0739805617653847,-36.48496227119305,13.171439700902583,0.7890751988845833,62.86803255659489,11.175875975215776,5,0.0821548635781208,0.2350518848466561,0.0809149334592148,16.43,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.345196544196665,4.829792045925755,3.0365492026780707,4.829792045925755,0.0,0.0877777777777777,3.0,3.0,0.0,0.0,EASY,2,6.088020551595538,,EASY,EASY,0.0,0.6809332625353776,17.02333156338444
