rocket_id,variant,lat,keff_base,keff_eff,Pi_base,Pi_eff,Kp_probe,best_kd,sr_sat,fsat,regime
R2229,baseline,2,26.117,26.117,104.5,104.5,95.0,0.57,1.0,0.0,linear
R2229,gimbal_half,2,26.117,26.117,104.5,104.5,95.0,0.57,1.0,0.0,linear
R2229,gimbal_double,2,26.117,26.117,104.5,104.5,95.0,0.57,1.0,0.1256,transitional
R2229,Iyy_half,2,26.117,52.234,104.5,208.9,95.0,0.57,1.0,0.0,linear
R2229,Iyy_double,2,26.117,13.058,104.5,52.2,95.0,0.57,1.0,0.0,linear
R2229,motor_half,2,26.117,13.058,104.5,52.2,95.0,0.57,1.0,0.0,linear
R2229,motor_double,2,26.117,52.234,104.5,208.9,95.0,0.57,1.0,0.0002,linear
R2229,damping_half,2,26.117,26.117,104.5,104.5,95.0,0.57,1.0,0.0,linear
R2229,damping_double,2,26.117,26.117,104.5,104.5,95.0,0.57,1.0,0.0,linear
R0200,baseline,4,9.159,9.159,146.5,146.5,47.5,0.57,1.0,0.0304,linear
R0200,gimbal_half,4,9.159,9.159,146.5,146.5,47.5,0.57,1.0,0.0,linear
R0200,gimbal_double,4,9.159,9.159,146.5,146.5,47.5,0.57,1.0,0.0305,linear
R0200,Iyy_half,4,9.159,18.318,146.5,293.1,47.5,0.57,1.0,0.4487,saturation
R0200,Iyy_double,4,9.159,4.579,146.5,73.3,47.5,0.57,1.0,0.0082,linear
R0200,motor_half,4,9.159,4.579,146.5,73.3,47.5,0.57,1.0,0.0088,linear
R0200,motor_double,4,9.159,18.318,146.5,293.1,47.5,0.57,1.0,0.4616,saturation
R0200,damping_half,4,9.159,9.159,146.5,146.5,47.5,0.57,1.0,0.0304,linear
R0200,damping_double,4,9.159,9.159,146.5,146.5,47.5,0.57,1.0,0.0304,linear
R1119,baseline,4,11.061,11.061,177.0,177.0,47.5,0.57,1.0,0.1041,transitional
R1119,gimbal_half,4,11.061,11.061,177.0,177.0,47.5,0.57,1.0,0.0013,linear
R1119,gimbal_double,4,11.061,11.061,177.0,177.0,47.5,0.57,1.0,0.1041,transitional
R1119,Iyy_half,4,11.061,22.123,177.0,354.0,47.5,0.57,1.0,0.5262,saturation
R1119,Iyy_double,4,11.061,5.531,177.0,88.5,47.5,0.57,1.0,0.0037,linear
R1119,motor_half,4,11.061,5.531,177.0,88.5,47.5,0.57,1.0,0.0038,linear
R1119,motor_double,4,11.061,22.123,177.0,354.0,47.5,0.57,1.0,0.5288,saturation
R1119,damping_half,4,11.061,11.061,177.0,177.0,47.5,0.57,1.0,0.1041,transitional
R1119,damping_double,4,11.061,11.061,177.0,177.0,47.5,0.57,1.0,0.1041,transitional
R0048,baseline,3,25.861,25.861,232.8,232.8,63.33,0.57,1.0,0.4092,saturation
R0048,gimbal_half,3,25.861,25.861,232.8,232.8,63.33,0.57,1.0,0.4061,saturation
R0048,gimbal_double,3,25.861,25.861,232.8,232.8,63.33,0.57,1.0,0.4092,saturation
R0048,Iyy_half,3,25.861,51.722,232.8,465.5,63.33,0.57,1.0,0.5787,saturation
R0048,Iyy_double,3,25.861,12.931,232.8,116.4,63.33,0.57,1.0,0.0411,linear
R0048,motor_half,3,25.861,12.931,232.8,116.4,63.33,0.57,1.0,0.0401,linear
R0048,motor_double,3,25.861,51.722,232.8,465.5,63.33,0.57,0.95,0.5861,saturation
R0048,damping_half,3,25.861,25.861,232.8,232.8,63.33,0.57,1.0,0.4092,saturation
R0048,damping_double,3,25.861,25.861,232.8,232.8,63.33,0.57,1.0,0.4092,saturation
