rocket_id,keff,Pi,latency_steps,Kp_ceiling,kp_simple,kp_full,overtuned,false_rejection_v2,sr_simple_in_full,sr_full_in_full,wind_strength,label
R0001,1.1262862916153844,10.13657662453846,3,126.66666666666667,3.6,3.6,0,0,1.0,1.0,0.0995894362509292,EASY
R0002,7.790937722029132,70.11843949826219,3,126.66666666666667,295.07,168.58,1,0,1.0,1.0,0.4315089065732231,EASY
R0003,7.67760236608218,30.71040946432872,2,190.0,46.78,22.73,0,0,1.0,1.0,0.1208175440534096,EASY
R0004,9.689102628325909,242.22756570814772,5,76.0,168.58,12.98,1,0,1.0,1.0,0.3124759726580058,EASY
R0005,2.5288636575923937,10.115454630369575,2,190.0,70.18,81.89,0,0,1.0,1.0,0.1007992892796896,EASY
R0006,0.9704992742822712,15.52798838851634,4,95.0,24.65,50.74,0,0,1.0,1.0,0.111569418923341,EASY
R0007,1.4095878039866265,5.638351215946506,2,190.0,1.0,113.27,0,1,0.3333333333333333,1.0,0.2807808097839068,EASY
R0008,7.732355086957431,7.732355086957431,1,380.0,8.72,69.63,0,0,1.0,1.0,0.3573106465365129,EASY
R0009,1.2717611621500213,20.34817859440034,4,95.0,3.6,43.14,0,0,1.0,1.0,0.3489477242632748,EASY
R0010,4.33523656482278,108.3809141205695,5,76.0,295.07,81.89,1,0,1.0,1.0,0.3824229066568019,EASY
R0011,3.082991100419862,49.32785760671779,4,95.0,295.07,81.89,1,0,1.0,1.0,0.4337856893289686,EASY
R0012,7.8393549935435765,7.8393549935435765,1,380.0,36.68,295.07,0,0,1.0,1.0,0.34327731332558,EASY
R0013,8.067036203115922,290.4133033121732,6,63.333333333333336,320.0,50.74,1,0,1.0,1.0,0.3981826457106613,EASY
R0014,5.957865470668003,23.831461882672013,2,190.0,50.74,26.73,0,0,1.0,1.0,0.2082709493317119,EASY
R0015,4.980509506320417,44.824585556883754,3,126.66666666666667,36.68,132.17,0,1,0.3333333333333333,1.0,0.1978132524520828,EASY
R0016,3.0316306304677796,48.50609008748447,4,95.0,295.07,81.89,1,0,1.0,1.0,0.2090713418747874,EASY
R0017,5.52631868919335,88.4210990270936,4,95.0,3.6,155.45,0,0,0.6666666666666666,1.0,0.053771751333007,EASY
R0018,2.9056183968966423,2.9056183968966423,1,380.0,113.27,88.81,0,0,1.0,1.0,0.2092037334964727,EASY
R0019,1.4637031049063904,36.59257762265976,5,76.0,1.0,96.31,0,0,1.0,1.0,0.1440742380002695,EASY
R0020,5.85122267916786,210.64401645004295,6,63.333333333333336,43.14,88.81,0,0,0.6666666666666666,0.6666666666666666,0.180511042447354,EASY
R0021,1.9718740022139947,7.887496008855979,2,190.0,26.73,12.98,0,0,1.0,1.0,0.2965713440055857,EASY
R0022,5.820613883222404,23.282455532889617,2,190.0,31.19,46.78,0,0,1.0,1.0,0.4257171974619306,EASY
R0023,4.146491042999177,149.27367754797035,6,63.333333333333336,320.0,36.68,1,0,1.0,1.0,0.1373855321551284,EASY
R0024,18.031389647496997,288.50223435995196,4,95.0,320.0,36.97,1,1,0.0,1.0,0.2154464597270003,EASY
R0025,4.529158228780869,72.4665316604939,4,95.0,46.78,69.63,0,0,1.0,1.0,0.2697985925526171,EASY
R0026,32.39137830158145,809.7844575395362,5,76.0,320.0,22.73,1,1,0.0,1.0,0.1831154683549548,FRAGILE
