rocket_id,keff,lat,Pi,slew_deg_s,Kp_probe,best_kd,sr_sat,fsat,regime
R2229,26.117,2,104.5,60.0,95.0,0.57,1.0,0.1637,transitional
R2229,26.117,2,104.5,100.0,95.0,0.57,1.0,0.0792,linear
R2229,26.117,2,104.5,150.0,95.0,0.57,1.0,0.0,linear
R2229,26.117,2,104.5,200.0,95.0,0.57,1.0,0.0,linear
R0200,9.159,4,146.5,60.0,47.5,0.57,1.0,0.1002,transitional
R0200,9.159,4,146.5,100.0,47.5,0.57,1.0,0.0399,linear
R0200,9.159,4,146.5,150.0,47.5,0.57,1.0,0.0106,linear
R0200,9.159,4,146.5,200.0,47.5,0.57,1.0,0.0,linear
R1119,11.061,4,177.0,60.0,47.5,0.57,1.0,0.084,linear
R1119,11.061,4,177.0,100.0,47.5,0.57,1.0,0.0805,linear
R1119,11.061,4,177.0,150.0,47.5,0.57,1.0,0.1119,transitional
R1119,11.061,4,177.0,200.0,47.5,0.57,1.0,0.0913,linear
R0048,25.861,3,232.8,60.0,63.33,0.57,1.0,0.2713,transitional
R0048,25.861,3,232.8,100.0,63.33,0.57,1.0,0.3759,saturation
R0048,25.861,3,232.8,150.0,63.33,0.57,1.0,0.4415,saturation
R0048,25.861,3,232.8,200.0,63.33,0.57,1.0,0.4637,saturation
R2058,17.187,4,275.0,60.0,47.5,0.57,1.0,0.4722,saturation
R2058,17.187,4,275.0,100.0,47.5,0.57,1.0,0.4729,saturation
R2058,17.187,4,275.0,150.0,47.5,0.57,1.0,0.5027,saturation
R2058,17.187,4,275.0,200.0,47.5,0.57,1.0,0.5064,saturation
R1641,25.462,4,407.4,60.0,47.5,0.57,1.0,0.4657,saturation
R1641,25.462,4,407.4,100.0,47.5,0.57,1.0,0.5527,saturation
R1641,25.462,4,407.4,150.0,47.5,0.57,1.0,0.5745,saturation
R1641,25.462,4,407.4,200.0,47.5,0.57,1.0,0.4322,saturation
R2069,18.167,5,454.2,60.0,38.0,0.57,1.0,0.4398,saturation
R2069,18.167,5,454.2,100.0,38.0,0.57,1.0,0.4478,saturation
R2069,18.167,5,454.2,150.0,38.0,0.57,1.0,0.0125,linear
R2069,18.167,5,454.2,200.0,38.0,0.57,1.0,0.0,linear
R0207,22.899,5,572.5,60.0,38.0,0.57,1.0,0.5534,saturation
R0207,22.899,5,572.5,100.0,38.0,0.57,1.0,0.6196,saturation
R0207,22.899,5,572.5,150.0,38.0,0.57,0.85,0.6284,saturation
R0207,22.899,5,572.5,200.0,38.0,0.57,0.9,0.3561,saturation
R1513,24.076,6,866.7,60.0,31.67,0.57,0.85,0.6433,saturation
R1513,24.076,6,866.7,100.0,31.67,0.57,0.9,0.6799,saturation
R1513,24.076,6,866.7,150.0,31.67,0.57,0.8,0.6888,saturation
R1513,24.076,6,866.7,200.0,31.67,0.57,0.85,0.6918,saturation
R2072,33.474,6,1205.1,60.0,31.67,0.57,0.7,0.6972,saturation
R2072,33.474,6,1205.1,100.0,31.67,3.167,0.3,0.8471,saturation
R2072,33.474,6,1205.1,150.0,31.67,0.57,0.55,0.7361,saturation
R2072,33.474,6,1205.1,200.0,31.67,0.57,0.75,0.6998,saturation
