rocket_id,keff,lat,Pi,slew_deg_s,wind_strength,Kp_probe,best_kd,sr_sat,fsat,regime
R0200,9.159,4,146.5,119.6,0.1,47.5,0.57,1.0,0.0254,linear
R0200,9.159,4,146.5,119.6,0.15,47.5,0.57,1.0,0.0258,linear
R0200,9.159,4,146.5,119.6,0.2,47.5,0.57,1.0,0.0247,linear
R0200,9.159,4,146.5,119.6,0.25,47.5,0.57,1.0,0.0257,linear
R0200,9.159,4,146.5,119.6,0.3,47.5,0.57,1.0,0.026,linear
R0200,9.159,4,146.5,119.6,0.35,47.5,0.57,1.0,0.0254,linear
R0200,9.159,4,146.5,119.6,0.4,47.5,0.57,1.0,0.0262,linear
R1119,11.061,4,177.0,165.9,0.1,47.5,0.57,1.0,0.1231,transitional
R1119,11.061,4,177.0,165.9,0.15,47.5,0.57,1.0,0.1238,transitional
R1119,11.061,4,177.0,165.9,0.2,47.5,0.57,1.0,0.1255,transitional
R1119,11.061,4,177.0,165.9,0.25,47.5,0.57,1.0,0.1253,transitional
R1119,11.061,4,177.0,165.9,0.3,47.5,0.57,1.0,0.1257,transitional
R1119,11.061,4,177.0,165.9,0.35,47.5,0.57,1.0,0.1264,transitional
R1119,11.061,4,177.0,165.9,0.4,47.5,0.57,1.0,0.1258,transitional
R0048,25.861,3,232.8,69.0,0.1,63.33,0.57,1.0,0.2932,transitional
R0048,25.861,3,232.8,69.0,0.15,63.33,0.57,1.0,0.2956,transitional
R0048,25.861,3,232.8,69.0,0.2,63.33,0.57,1.0,0.296,transitional
R0048,25.861,3,232.8,69.0,0.25,63.33,0.57,1.0,0.2967,transitional
R0048,25.861,3,232.8,69.0,0.3,63.33,0.57,1.0,0.2941,transitional
R0048,25.861,3,232.8,69.0,0.35,63.33,0.57,1.0,0.2958,transitional
R0048,25.861,3,232.8,69.0,0.4,63.33,0.57,1.0,0.2962,transitional
R2058,17.187,4,275.0,191.4,0.1,47.5,0.57,1.0,0.5078,saturation
R2058,17.187,4,275.0,191.4,0.15,47.5,0.57,1.0,0.5069,saturation
R2058,17.187,4,275.0,191.4,0.2,47.5,0.57,1.0,0.5078,saturation
R2058,17.187,4,275.0,191.4,0.25,47.5,0.57,1.0,0.5064,saturation
R2058,17.187,4,275.0,191.4,0.3,47.5,0.57,1.0,0.5094,saturation
R2058,17.187,4,275.0,191.4,0.35,47.5,0.57,1.0,0.5073,saturation
R2058,17.187,4,275.0,191.4,0.4,47.5,0.57,1.0,0.507,saturation
R1641,25.462,4,407.4,186.3,0.1,47.5,0.57,1.0,0.5343,saturation
R1641,25.462,4,407.4,186.3,0.15,47.5,0.57,1.0,0.5319,saturation
R1641,25.462,4,407.4,186.3,0.2,47.5,0.57,0.95,0.5318,saturation
R1641,25.462,4,407.4,186.3,0.25,47.5,0.57,1.0,0.5287,saturation
R1641,25.462,4,407.4,186.3,0.3,47.5,0.57,1.0,0.5311,saturation
R1641,25.462,4,407.4,186.3,0.35,47.5,0.57,1.0,0.5321,saturation
R1641,25.462,4,407.4,186.3,0.4,47.5,0.57,0.9,0.5297,saturation
R2069,18.167,5,454.2,73.8,0.1,38.0,0.57,1.0,0.5032,saturation
R2069,18.167,5,454.2,73.8,0.15,38.0,0.57,0.95,0.5058,saturation
R2069,18.167,5,454.2,73.8,0.2,38.0,0.57,1.0,0.4969,saturation
R2069,18.167,5,454.2,73.8,0.25,38.0,0.57,0.95,0.5031,saturation
R2069,18.167,5,454.2,73.8,0.3,38.0,0.57,0.95,0.5019,saturation
R2069,18.167,5,454.2,73.8,0.35,38.0,0.57,0.95,0.4993,saturation
R2069,18.167,5,454.2,73.8,0.4,38.0,0.57,0.95,0.4988,saturation
