controller,p_unstable,Kp,Kd,pass_rate,post_fault_median_rms_deg,post_fault_mean_rms_deg
PID,0,15,5,0.833333333333333,4.30294686531692,5.21025258581923
PID_SLEW_AWARE,0,15,5,1,1.03869314499164,1.73735255889925
PID,0,20,5,0.166666666666667,28.7238285873967,29.8815253580742
PID_SLEW_AWARE,0,20,5,1,1.01775572839547,1.74026113729551
PID,0,20,8,0,25.3926568209196,29.1397419321404
PID_SLEW_AWARE,0,20,8,1,1.62552929395124,1.97903333751615
PID,0,25,8,0,38.6845285010195,43.4803734755177
PID_SLEW_AWARE,0,25,8,1,3.95263257056552,4.02170199408826
JOINT_ADAPTIVE,0,NaN,NaN,1,1.02566951891791,1.78382050423163
PID,4,15,5,0.666666666666667,8.19226021831806,21.2447708537602
PID_SLEW_AWARE,4,15,5,1,1.21922646345247,2.13271599675973
PID,4,20,5,0.166666666666667,283.011825314423,781.348207091612
PID_SLEW_AWARE,4,20,5,1,1.2115358582409,2.060673586055
PID,4,20,8,0,1055.24750386618,1706.37510444943
PID_SLEW_AWARE,4,20,8,1,1.69966113492865,2.93431320071446
PID,4,25,8,0,6204.01049593549,7126.19507966791
PID_SLEW_AWARE,4,25,8,0.833333333333333,1.83283471098406,3.29021609113196
JOINT_ADAPTIVE,4,NaN,NaN,1,1.25639621116183,2.66093719701718
PID,6,15,5,0.666666666666667,4.75045897838346,157.973858522655
PID_SLEW_AWARE,6,15,5,1,1.75801012214905,3.16208746967157
PID,6,20,5,0,4806.72189477289,35248.2503487953
PID_SLEW_AWARE,6,20,5,1,1.5233193639551,2.72133883743756
PID,6,20,8,0,400419.271358694,671225.752851721
PID_SLEW_AWARE,6,20,8,1,1.70336265162384,2.94592898295551
PID,6,25,8,0,769262.998678101,3374341.21451582
PID_SLEW_AWARE,6,25,8,0.666666666666667,6.03295705105199,52.5608478570753
JOINT_ADAPTIVE,6,NaN,NaN,0.5,87.3573667718066,37758503.8611068
PID,8,15,5,1,1.91510686359112,3.57682445492243
PID_SLEW_AWARE,8,15,5,0.833333333333333,3.48132264083783,3607035.53141322
PID,8,20,5,0.333333333333333,490.466618843993,10645.9821241199
PID_SLEW_AWARE,8,20,5,0.833333333333333,2.43429407647114,2453096199.35618
PID,8,20,8,0,142151376.465875,370288852.329835
PID_SLEW_AWARE,8,20,8,1,3.02814884418605,5.79578394028855
PID,8,25,8,0,7141106123.89945,1.34247242662666e+22
PID_SLEW_AWARE,8,25,8,0.833333333333333,4.43351893238681,750.97528768432
JOINT_ADAPTIVE,8,NaN,NaN,0,8.42663377504338e+23,8.47604908933319e+23
