controller,p_unstable,nominal_loaded_slew_dps,post_fault_loaded_slew_dps,slew_scale_post,Kp,Kd,pass_rate,post_fault_median_rms_deg,post_fault_mean_rms_deg
PID,4,45,45,1,15,5,1,1.1309923503662,1.96487240933206
PID_SLEW_AWARE,4,45,45,1,15,5,1,1.1309923503662,1.96487240933206
PID,4,45,45,1,20,5,1,1.10487662628972,1.90711373543751
PID_SLEW_AWARE,4,45,45,1,20,5,1,1.10487662628972,1.90711373543751
PID,4,45,45,1,20,8,1,1.08202236068117,1.89118856483745
PID_SLEW_AWARE,4,45,45,1,20,8,1,1.08202236068117,1.89118856483745
PID,4,45,45,1,25,8,1,1.0717731586725,1.86172142305995
PID_SLEW_AWARE,4,45,45,1,25,8,1,1.0717731586725,1.86172142305995
PID,4,45,22.5,0.5,15,5,1,1.1309923503662,1.96487240933206
PID_SLEW_AWARE,4,45,22.5,0.5,15,5,1,1.1309923503662,1.96487240933206
PID,4,45,22.5,0.5,20,5,1,1.10487662628972,1.90711373543751
PID_SLEW_AWARE,4,45,22.5,0.5,20,5,1,1.10487662628972,1.90711373543751
PID,4,45,22.5,0.5,20,8,1,1.08202236068117,1.89118856483745
PID_SLEW_AWARE,4,45,22.5,0.5,20,8,1,1.08202236068117,1.89118856483745
PID,4,45,22.5,0.5,25,8,1,1.0717731586725,1.86172142305995
PID_SLEW_AWARE,4,45,22.5,0.5,25,8,1,1.0717731586725,1.86172142305995
PID,4,45,15.75,0.35,15,5,1,1.1309923503662,1.96487240933206
PID_SLEW_AWARE,4,45,15.75,0.35,15,5,1,1.1309923503662,1.96487240933206
PID,4,45,15.75,0.35,20,5,1,1.10487662628972,1.90711373543751
PID_SLEW_AWARE,4,45,15.75,0.35,20,5,1,1.10487662628972,1.90711373543751
PID,4,45,15.75,0.35,20,8,1,1.08211810660765,1.89122048014627
PID_SLEW_AWARE,4,45,15.75,0.35,20,8,1,1.08211810660765,1.89122048014627
PID,4,45,15.75,0.35,25,8,1,1.0716255617172,1.86167222407485
PID_SLEW_AWARE,4,45,15.75,0.35,25,8,1,1.0716255617172,1.86167222407485
PID,4,45,11.25,0.25,15,5,1,1.1309923503662,1.96486842018238
PID_SLEW_AWARE,4,45,11.25,0.25,15,5,1,1.1309923503662,1.96486842018238
PID,4,45,11.25,0.25,20,5,1,1.10487662628972,1.90711373543751
PID_SLEW_AWARE,4,45,11.25,0.25,20,5,1,1.10487662628972,1.90711373543751
PID,4,45,11.25,0.25,20,8,1,1.08176104655624,1.89130121646792
PID_SLEW_AWARE,4,45,11.25,0.25,20,8,1,1.08176104655624,1.89130121646792
PID,4,45,11.25,0.25,25,8,1,1.07043265796856,1.8629415468908
PID_SLEW_AWARE,4,45,11.25,0.25,25,8,1,1.07043265796856,1.8629415468908
PID,4,60,60,1,15,5,1,1.1309923503662,1.96487240933206
PID_SLEW_AWARE,4,60,60,1,15,5,1,1.13094808341338,1.96475298380751
PID,4,60,60,1,20,5,1,1.10487662628972,1.9068087337548
PID_SLEW_AWARE,4,60,60,1,20,5,1,1.10490151305113,1.90679403044874
PID,4,60,60,1,20,8,1,1.08202236068117,1.89264056921352
PID_SLEW_AWARE,4,60,60,1,20,8,1,1.0823211180329,1.89229302983815
