method,p_unstable,gust_std,Kp,Kd,seed,theta0_deg,success,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,cmd_deg,slew_code,u_max_code,servo_deadband
AMATEUR_BASIC_PID,0,0.3,45,8,101,0,1,0.252462850668067,0.987570781000412,0.383295726083042,20.7352939841799,0,0.0166666666666667,0.494225454517563,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,102,0,1,0.331633885556316,1.26328885176002,0.34804001502095,20.8480704530081,0,0.0194444444444444,0.510881857838775,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,103,0,1,0.760485528245978,1.96570840046777,1.43247279421912,20.5696751051251,0,0.0166666666666667,0.479000731083433,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,104,0,1,0.438649914671829,1.34556487907466,0.398996099779112,21.3455648790747,0,0.0180555555555556,0.505072614484453,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,105,0,1,0.286767560901329,1.05990318737147,0.0474107720082633,21.0599031873715,0,0.0166666666666667,0.484201248526789,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,106,0,1,0.847589939387586,2.04789893619897,1.50178573552264,20.6863744423109,0,0.0166666666666667,0.491647632455023,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,201,3,1,0.44748467382306,2.38611608040077,0.0514611694284223,20.8734966150533,0,0.0194444444444444,0.509399801627351,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,202,3,1,0.543546742482115,2.80676179770569,0.525471297027143,20.8139067401551,0,0.0152777777777778,0.501998763781156,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,203,3,1,0.653127311842916,3.64224363451644,0.15682180687419,20.6744753386392,0,0.0152777777777778,0.514118597323745,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,204,3,1,0.87697541346052,3.78467835417692,1.4273566779788,20.9703253836719,0,0.0208333333333333,0.516146073518085,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,205,3,1,1.26501063410821,3.41883169698147,2.24138265240684,20.3844356543223,0,0.0180555555555556,0.52803980512839,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.3,45,8,206,3,1,1.17578508750408,2.71578269531987,2.18192772506646,21.4587783179048,0,0.0180555555555556,0.514265443270297,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,101,0,1,0.252462850668067,0.987570781000412,0.383295726083042,20.7352939841799,0,0.0166666666666667,0.494225454517563,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,102,0,1,0.331633885556316,1.26328885176002,0.34804001502095,20.8480704530081,0,0.0194444444444444,0.510881857838775,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,103,0,1,0.760485528245978,1.96570840046777,1.43247279421912,20.5696751051251,0,0.0166666666666667,0.479000731083433,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,104,0,1,0.438649914671829,1.34556487907466,0.398996099779112,21.3455648790747,0,0.0180555555555556,0.505072614484453,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,105,0,1,0.286767560901329,1.05990318737147,0.0474107720082633,21.0599031873715,0,0.0166666666666667,0.484201248526789,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,106,0,1,0.847589939387586,2.04789893619897,1.50178573552264,20.6863744423109,0,0.0166666666666667,0.491647632455023,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,201,3,1,0.44748467382306,2.38611608040077,0.0514611694284223,20.8734966150533,0,0.0194444444444444,0.509399801627351,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,202,3,1,0.543546742482115,2.80676179770569,0.525471297027143,20.8139067401551,0,0.0152777777777778,0.501998763781156,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,203,3,1,0.653127311842916,3.64224363451644,0.15682180687419,20.6744753386392,0,0.0152777777777778,0.514118597323745,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,204,3,1,0.87697541346052,3.78467835417692,1.4273566779788,20.9703253836719,0,0.0208333333333333,0.516146073518085,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,205,3,1,1.26501063410821,3.41883169698147,2.24138265240684,20.3844356543223,0,0.0180555555555556,0.52803980512839,20,60,12,0.05
BENCH_TUNED_PID,0,0.3,45,8,206,3,1,1.17578508750408,2.71578269531987,2.18192772506646,21.4587783179048,0,0.0180555555555556,0.514265443270297,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,101,0,1,0.245645591651957,0.923976262957424,0.373690055471396,20.6890082075036,0,0.00416666666666667,0.500960472661749,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,102,0,1,0.327804650150823,1.21513362002835,0.394675951707395,20.8022002020178,0,0.00555555555555556,0.517049176498089,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,103,0,1,0.765613184482154,1.9296537116903,1.45785815810756,20.566462602559,0,0.00416666666666667,0.504570105626763,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,104,0,1,0.439734339322172,1.27757340763855,0.421576471947328,21.2775734076385,0,0.00833333333333333,0.528008852903238,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,105,0,1,0.277122284089152,0.986638900587865,0.0697436678988304,20.9866389005879,0,0.00416666666666667,0.490277554118717,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,106,0,1,0.837868185321649,1.94229786815949,1.5125253844672,20.6207622066815,0,0.00833333333333333,0.506222584020164,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,201,3,1,0.416290643333984,2.38611608040077,0.0657567607802555,20.800286770243,0,0.00694444444444444,0.521571404128179,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,202,3,1,0.508467297941571,2.80676179770569,0.530336524021451,20.7350424583148,0,0.00277777777777778,0.526891036897558,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,203,3,1,0.611737631238456,3.64224363451644,0.175824555086954,20.6627615299893,0,0.00555555555555556,0.551491862111736,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,204,3,1,0.847771384290664,3.78467835417692,1.40457206106826,20.9112988159622,0,0.00555555555555556,0.540864707236226,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,205,3,1,1.24399601909622,3.41883169698147,2.26783110476617,20.3067968657194,0,0.00694444444444444,0.546699719177474,20,60,12,0.05
BENCH_TUNED_PCH,0,0.3,45,6,206,3,1,1.15830737213293,2.71578269531987,2.14683987097309,21.3784327569529,0,0.00694444444444444,0.540287389206188,20,60,12,0.05
AMATEUR_BASIC_PID,0,0.9,45,8,101,0,1,0.272882931348623,0.950664460822409,0.585930711608479,20.775373191099,0,0.0166666666666667,0.513594291965655,20,60,12,0.05
