method,p_unstable,gust_std,Kp,Kd,design_success_rate,deploy_success_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,control_rms,n_trials
AMATEUR_BASIC_PID,0,0.3,45,8,1,1,0.656626628554334,2.28536244124787,0.891368539284581,20.8683583417347,0,0.0175925925925926,0.504083168629588,12
BENCH_TUNED_PID,0,0.3,45,8,1,1,0.656626628554334,2.28536244124787,0.891368539284581,20.8683583417347,0,0.0175925925925926,0.504083168629588,12
BENCH_TUNED_PCH,0,0.3,45,6,1,1,0.640029881920978,2.25247400251359,0.90176921385799,20.8114387270142,0,0.00578703703703704,0.522907905382173,12
AMATEUR_BASIC_PID,0,0.9,45,8,1,1,0.653618778117514,2.28104796411995,0.847002098804849,20.8746671318844,0,0.0175925925925926,0.523321209147939,12
BENCH_TUNED_PID,0,0.9,45,8,1,1,0.653618778117514,2.28104796411995,0.847002098804849,20.8746671318844,0,0.0175925925925926,0.523321209147939,12
BENCH_TUNED_PCH,0,0.9,45,6,1,1,0.636751073657983,2.2422811420388,0.875383100788211,20.8157546632978,0,0.00706018518518519,0.54146167033535,12
AMATEUR_BASIC_PID,0,1.5,45,8,1,1,0.66456552419526,2.28690972194912,0.821410366326458,20.8872342806798,0,0.0178240740740741,0.556649051404564,12
BENCH_TUNED_PID,0,1.5,45,8,1,1,0.66456552419526,2.28690972194912,0.821410366326458,20.8872342806798,0,0.0178240740740741,0.556649051404564,12
BENCH_TUNED_PCH,0,1.5,45,8,1,1,0.642874383073651,2.23061440097791,0.835117409787808,20.7731941334001,0,0.0302083333333333,0.593221894194375,12
AMATEUR_BASIC_PID,4,0.3,45,8,1,1,0.995679250321998,2.59838321091435,0.947888694454324,21.8043492583473,0,0.0180555555555556,0.790111772080014,12
BENCH_TUNED_PID,4,0.3,45,8,1,1,0.995679250321998,2.59838321091435,0.947888694454324,21.8043492583473,0,0.0180555555555556,0.790111772080014,12
BENCH_TUNED_PCH,4,0.3,45,6,1,1,0.783465149432322,2.4211654034727,0.922899804277707,21.5148364893075,0,0.0592592592592593,0.877363799425439,12
AMATEUR_BASIC_PID,4,0.9,45,8,1,1,0.996722005738165,2.5999478456208,0.89540032877777,21.8179267973858,0,0.0179398148148148,0.801411831162541,12
BENCH_TUNED_PID,4,0.9,45,8,1,1,0.996722005738165,2.5999478456208,0.89540032877777,21.8179267973858,0,0.0179398148148148,0.801411831162541,12
BENCH_TUNED_PCH,4,0.9,45,6,1,1,0.786473812707275,2.43073659325839,0.898521936673248,21.5117758076533,0,0.065625,0.895657975335049,12
