policy,p_unstable,slew_scale,util_frac,actual_slew_deg_s,actual_u_max_deg,design_slew_deg_s,design_u_max_deg,gain1,gain2,success_rate,rms_deg,peak_deg
NOMINAL_PD,6,1,1,90,10,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,1,1,90,10,90,10,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,1,1,90,10,90,8.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,1,0.75,90,7.5,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,1,0.75,90,7.5,90,7.5,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,1,0.75,90,7.5,90,7.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,1,0.55,90,5.5,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,1,0.55,90,5.5,90,5.5,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,1,0.55,90,5.5,90,5.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,1,0.35,90,3.5,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,1,0.35,90,3.5,90,3.5,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,1,0.35,90,3.5,90,3.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,0.7,1,63,10,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,0.7,1,63,10,63,10,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,0.7,1,63,10,63,8.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,0.7,0.75,63,7.5,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,0.7,0.75,63,7.5,63,7.5,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,0.7,0.75,63,7.5,63,7.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,0.7,0.55,63,5.5,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,0.7,0.55,63,5.5,63,5.5,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,0.7,0.55,63,5.5,63,5.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,0.7,0.35,63,3.5,90,10,30,3,1,0.876700428447863,4.48802112234291
MEASURED_PD,6,0.7,0.35,63,3.5,63,3.5,30,3,1,0.876700428447863,4.48802112234291
VALIDATOR_LQR,6,0.7,0.35,63,3.5,63,3.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,0.5,1,45,10,90,10,30,3,1,0.880676264452288,4.48885345420593
MEASURED_PD,6,0.5,1,45,10,45,10,30,3,1,0.880676264452288,4.48885345420593
VALIDATOR_LQR,6,0.5,1,45,10,45,8.5,11.5887234393789,1.68423613057173,1,1.21911768724849,4.52353648712867
NOMINAL_PD,6,0.5,0.75,45,7.5,90,10,30,3,1,0.880676264452288,4.48885345420593
