policy,p_unstable,slice,mean_success_rate,mean_rms_deg
NOMINAL_PD,6,ALL_CASES,1,0.883764425405039
NOMINAL_PD,6,DEGRADED_ONLY,1,0.884235358535518
MEASURED_PD,6,ALL_CASES,1,0.883764425405039
MEASURED_PD,6,DEGRADED_ONLY,1,0.884235358535518
VALIDATOR_LQR,6,ALL_CASES,1,1.21911768724849
VALIDATOR_LQR,6,DEGRADED_ONLY,1,1.21911768724849
NOMINAL_PD,8,ALL_CASES,1,0.961563840323699
NOMINAL_PD,8,DEGRADED_ONLY,1,0.962234263711539
MEASURED_PD,8,ALL_CASES,1,0.961563840323699
MEASURED_PD,8,DEGRADED_ONLY,1,0.962234263711539
VALIDATOR_LQR,8,ALL_CASES,1,1.19654219691398
VALIDATOR_LQR,8,DEGRADED_ONLY,1,1.19656807990279
NOMINAL_PD,10,ALL_CASES,1,1.11402282858831
NOMINAL_PD,10,DEGRADED_ONLY,1,1.1151758395293
MEASURED_PD,10,ALL_CASES,1,1.11402282858831
MEASURED_PD,10,DEGRADED_ONLY,1,1.1151758395293
VALIDATOR_LQR,10,ALL_CASES,0.96875,3.91605458953376
VALIDATOR_LQR,10,DEGRADED_ONLY,0.966666666666667,4.09857468879907
NOMINAL_PD,12,ALL_CASES,1,1.49419745962026
NOMINAL_PD,12,DEGRADED_ONLY,1,1.49702809283599
MEASURED_PD,12,ALL_CASES,1,1.49791374609385
MEASURED_PD,12,DEGRADED_ONLY,1,1.50099213174116
VALIDATOR_LQR,12,ALL_CASES,0.875,12.2498910449135
VALIDATOR_LQR,12,DEGRADED_ONLY,0.866666666666667,12.9882838634627
