system,lat,keff,Pi,d_sigma,best_Kp,best_sr
quad_extended,1,32.1015,32.1,1.0662,3.1151,1.0
quad_extended,1,91.2281,91.23,3.148,1.0962,1.0
quad_extended,1,106.3891,106.39,1.5414,0.9399,1.0
quad_extended,1,113.483,113.48,4.1872,0.8812,1.0
quad_extended,1,220.6992,220.7,4.8639,0.4531,1.0
quad_extended,1,268.1781,268.18,9.6842,0.591,1.0
quad_extended,2,107.4031,429.61,2.2183,0.4655,1.0
quad_extended,1,494.1649,494.16,15.9833,0.8056,1.0
quad_extended,6,20.4062,734.62,0.4471,0.8167,1.0
quad_extended,6,27.6956,997.04,0.8261,0.6018,1.0
quad_extended,6,36.627,1318.57,1.4022,1.143,0.9333
quad_extended,2,336.7735,1347.09,6.7426,0.3729,0.8667
quad_extended,4,118.2976,1892.76,1.3826,0.2113,1.0
quad_extended,4,149.6786,2394.86,3.6693,0.4195,0.4667
quad_extended,5,96.3686,2409.21,2.7335,0.5213,0.8
quad_extended,4,172.176,2754.82,3.9374,0.2301,0.4
quad_extended,4,185.2249,2963.6,3.3676,0.2139,0.6
quad_extended,5,130.4689,3261.72,4.8977,0.243,0.1333
quad_extended,5,142.9762,3574.4,2.0722,0.3514,0.8667
quad_extended,5,186.1181,4652.95,2.1725,0.2699,0.8667
quad_extended,6,144.7487,5210.95,5.448,0.2892,0.1333
quad_extended,4,340.5521,5448.83,3.2917,0.1163,0.8
quad_extended,6,159.7069,5749.45,2.3341,0.1654,0.6667
quad_extended,6,186.0507,6697.83,6.5794,0.225,0.1333
quad_extended,4,436.4525,6983.24,3.7641,0.1439,0.6667
quad_extended,4,457.608,7321.73,7.7551,0.1372,0.1333
quad_extended,4,463.3789,7414.06,14.0061,0.2148,0.0667
quad_extended,6,247.978,8927.21,7.5674,0.4241,0.0667
quad_extended,2,2802.09,11208.36,62.7538,0.1784,0.1333
quad_extended,6,316.8873,11407.94,2.8249,0.1321,0.6
quad_extended,5,847.6223,21190.56,28.9084,0.0236,0.0
quad_extended,5,859.767,21494.18,26.7622,0.0233,0.0
quad_extended,5,860.1911,21504.78,31.3208,0.0233,0.0
quad_extended,5,860.2086,21505.21,15.693,0.0233,0.0
quad_extended,6,681.9659,24550.77,26.2441,0.0244,0.0
quad_extended,5,1027.0697,25676.74,26.8997,0.0195,0.0
quad_extended,6,888.0842,31971.03,21.686,0.0188,0.0
quad_extended,5,2087.6171,52190.43,47.2525,0.0096,0.0
quad_extended,6,2063.0263,74268.95,52.0709,0.0081,0.0
quad_extended,6,2193.9062,78980.62,19.9198,0.0076,0.0
quad_extended,5,3287.3315,82183.29,62.4172,0.0061,0.0
quad_extended,6,2303.6892,82932.81,41.0616,0.0072,0.0
quad_extended,6,2422.5109,87210.39,70.6776,0.0069,0.0
quad_extended,6,2423.8207,87257.54,34.3693,0.0069,0.0
quad_extended,6,2430.0217,87480.78,47.9948,0.0069,0.0
quad_extended,6,2519.8135,90713.29,86.0627,0.0066,0.0
quad_extended,5,3754.2701,93856.75,43.402,0.0053,0.0
quad_extended,6,2793.4366,100563.72,56.4338,0.006,0.0
quad_extended,6,2867.7665,103239.6,35.9353,0.0058,0.0
quad_extended,6,3333.9689,120022.88,107.9769,0.005,0.0
