slew,u_max,succ_default_R0p5,succ_best_R,R_best
20,3,0.2500,0.9375,16
20,4,0.3125,0.9688,32
20,5,0.2500,0.9375,32
20,6,0.2500,0.7812,8
20,8,0.3125,0.8750,32
20,10,0.3125,0.8750,32
20,12,0.3438,0.8125,16
35,3,1.0000,1.0000,0.25
35,4,0.7812,1.0000,1
35,5,0.6875,1.0000,2
35,6,0.5625,1.0000,2
35,8,0.6250,1.0000,2
35,10,0.6562,1.0000,2
35,12,0.6562,1.0000,2
50,3,1.0000,1.0000,0.25
50,4,1.0000,1.0000,0.25
50,5,1.0000,1.0000,0.5
50,6,0.9375,1.0000,1
50,8,0.7812,1.0000,1
50,10,0.8125,1.0000,1
50,12,0.7812,1.0000,1
