rocket_id,td,keff,latency,Pi,n_pass_pd,n_pass_pidi,n_pass_adrc,peak_pd,peak_pidi,peak_adrc
R0923,4.422144768349797,0.8011251781261479,1,0.8011251781261479,10,50,7,1.0,1.0,1.0
R0764,12.930340314164486,2.412275137104066,1,2.412275137104066,11,55,7,1.0,1.0,1.0
R0912,40.01734294547792,6.267045957526658,1,6.267045957526658,12,60,6,1.0,1.0,1.0
R1127,46.05826455129819,6.22205057147321,1,6.22205057147321,9,46,6,1.0,1.0,1.0
R2160,17.562420881770112,2.1321669358272404,2,8.528667743308961,10,50,7,1.0,1.0,1.0
R1456,8.18855811726772,0.932600009015248,3,8.393400081137232,11,55,7,1.0,1.0,1.0
R0837,3.7236896428144455,1.90878330948278,5,47.7195827370695,12,60,7,1.0,1.0,1.0
R1433,13.190651884886329,1.6988004420376557,3,15.2892039783389,11,55,7,1.0,1.0,1.0
R1783,156.90805978403208,18.586951692991715,1,18.586951692991715,11,54,5,1.0,1.0,1.0
R1581,41.80200936585938,7.328815631137501,2,29.315262524550004,11,58,6,1.0,1.0,1.0
R1077,18.881205143659184,2.700559646677496,3,24.305036820097467,9,45,6,1.0,1.0,1.0
R0522,216.8522999839436,41.37695025803256,1,41.37695025803256,10,50,2,1.0,1.0,1.0
R2282,223.23184615046875,19.954346798661074,1,19.954346798661074,11,53,4,1.0,1.0,1.0
R0060,233.8851279001163,25.19689041316748,1,25.19689041316748,11,51,5,1.0,1.0,1.0
R1988,68.04592167879154,7.049891879058107,2,28.199567516232428,11,54,6,1.0,1.0,1.0
R0234,11.17084765817729,6.810427366810912,5,170.2606841702728,7,29,4,1.0,1.0,1.0
R0387,34.036174029102824,6.2256281011444905,3,56.03065291030042,12,56,4,1.0,1.0,1.0
R1742,35.644131798478384,3.085279800178146,3,27.767518201603313,9,43,5,1.0,1.0,1.0
R0564,82.3123344772652,12.511072270401854,2,50.04428908160742,11,55,5,1.0,1.0,1.0
R0482,14.144109366747472,1.9199667014653887,5,47.999167536634715,9,45,4,1.0,1.0,1.0
R0728,97.65740686673432,9.378674994338272,2,37.51469997735309,12,60,5,1.0,1.0,1.0
R0137,62.378201810775,6.426212767628209,3,57.835914908653876,12,59,3,1.0,1.0,1.0
R0432,143.74605132208225,12.80911013569716,2,51.23644054278864,12,60,4,1.0,1.0,1.0
R0163,159.1885329665185,23.175611525197468,2,92.70244610078987,10,50,4,1.0,1.0,1.0
R2221,30.516785160426107,5.852138197742413,5,146.30345494356033,10,47,5,1.0,1.0,1.0
R2312,21.9828945554522,2.6713993623733616,6,96.17037704544101,9,45,4,1.0,1.0,1.0
R1188,34.00909235141738,3.499182535294384,5,87.4795633823596,11,55,6,1.0,1.0,1.0
R1464,55.92035460743615,5.7791634308795965,4,92.46661489407354,11,53,6,1.0,1.0,1.0
R1389,35.974858873329026,5.201819922946622,5,130.04549807366556,10,49,5,1.0,1.0,1.0
R0278,65.47841163338043,7.013634279981204,4,112.21814847969927,11,55,5,1.0,1.0,1.0
R1171,72.18809423155564,9.142607552226524,4,146.28172083562438,9,43,4,1.0,1.0,1.0
R1884,310.6574294167643,30.541701454070488,2,122.16680581628195,8,40,3,1.0,1.0,1.0
R1561,77.92416424428615,8.877554252409677,4,142.04086803855483,10,47,4,1.0,1.0,1.0
R0117,37.781420831201416,14.586186477180387,6,525.1027131784939,3,15,1,0.9,1.0,0.8
R0929,90.13024020927196,8.6703654885361,4,138.7258478165776,10,48,5,1.0,1.0,1.0
R0831,94.61875762584027,13.567305029148502,4,217.07688046637602,4,26,3,1.0,1.0,1.0
R0471,180.5698446495365,21.76700663752589,3,195.903059737733,6,27,2,1.0,1.0,1.0
R1306,85.34451832930962,8.666447986244522,5,216.66119965611307,8,35,4,1.0,1.0,1.0
R2287,148.84459105291927,36.02085568588581,4,576.333690974173,4,21,2,1.0,1.0,1.0
R0048,281.9656155049529,25.86113482625268,3,232.75021343627412,10,39,3,1.0,1.0,1.0
R1648,213.67197467696985,17.8146626316146,4,285.0346021058336,6,27,3,1.0,1.0,1.0
R1679,240.02567449876835,25.204483462439093,4,403.2717353990255,7,32,3,1.0,1.0,1.0
R2055,160.428203909216,15.805741954142825,5,395.1435488535706,6,29,2,1.0,1.0,1.0
R1300,174.6253028282724,20.85035314019539,5,521.2588285048848,1,6,2,0.9,0.9,1.0
R1713,122.16500398486023,17.695364540657714,6,637.0331234636777,4,18,3,0.9,0.9,1.0
R0475,192.7758558470076,29.15865940567346,5,728.9664851418365,0,1,1,0.7,0.8,0.8
R0400,214.6999063287188,19.379628939556724,5,484.4907234889181,4,19,1,1.0,1.0,1.0
R0236,168.59986686672784,21.485337127938408,6,773.4721366057827,1,2,2,0.8,1.0,1.0
R2080,311.79245101667595,29.606545749199764,5,740.1636437299941,0,0,1,0.7,0.7,1.0
R0303,217.5129605955632,21.34511034067251,6,768.4239722642103,4,14,2,0.9,0.9,1.0
