rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin,Pi,Kp_ZN,Kp_cons,Kp_floor_theory,ZN_inside,cons_inside,ZN_above_floor,ZN_below_ceil
R0049,80.04661205068682,9.821145129103911,8.15043571787543,3,0.0205334600592705,2.56764149246812,10.188044647344288,0.3171429428628271,128.4606643240587,-0.0496683835408097,1.0,0.760926835001139,447.9997067987973,588.7552997104206,1.0,False,False,td80-120,lat2-3,88.3903061619352,76.0,63.333333333333336,1.767806123238704,True,True,True,True
R0093,182.0763566033869,30.700856807441465,5.930660428970637,2,0.0059763808449038,2.3361400764223568,7.413325536213296,0.0689352429808166,132.33576488739337,-0.1705787187532,1.0,5.790096482248505,598.6649859805054,103.39464770853388,1.0,False,False,td180-300,lat2-3,122.80342722976586,114.0,95.0,3.6841028168929757,True,True,True,True
R0213,219.2985103352799,24.03264450228268,9.12502618321718,5,0.0071133592328732,2.176639081013015,11.406282729021475,0.2916098216683963,166.1837251406423,0.0074108523797984,1.0,7.737344415111075,44.05839790588585,5.694253162601831,0.8666666666666667,False,False,td180-300,lat5-6,600.816112557067,45.6,38.0,7.209793350684803,False,True,True,False
R0234,44.89246476578255,5.245894664664795,8.557637473769427,1,0.0366741869924517,2.4495718329973184,10.697046842211783,0.2202060863290379,96.82737634939254,0.2900912039086868,1.0,0.1336306646846475,250.87967161476035,1877.4109386255504,1.0,False,False,td40-80,lat1,5.245894664664795,228.0,190.0,0.31475367987988767,True,True,True,True
R0266,105.3105867363675,11.644412544545062,9.04387287323492,5,0.0062298852123422,0.9236506640640498,11.304841091543649,0.3826588669944616,111.11834081739644,0.2033245639388488,1.0,5.790096482248505,78.67576203691237,13.587988089338316,1.0,False,False,td80-120,lat5-6,291.11031361362654,45.6,38.0,3.4933237633635184,True,True,True,True
R0606,417.7390547846609,36.38709683579572,11.480417266312688,5,0.0060199634178653,2.7890183863718345,14.35052158289086,0.3567069641785257,92.45161244664884,0.2610094708870834,1.0,7.737344415111075,58.87552997104207,7.609268350011387,1.0,False,False,td300+,lat5-6,909.677420894893,45.6,38.0,10.916129050738714,True,True,True,True
R0890,209.5336728952225,18.04336350594461,11.61278343841984,4,0.0104582331596471,2.4026246981933044,14.5159792980248,0.3658809008906195,150.4156485588162,0.2322456802155791,1.0,4.332910036713837,105.13494375563756,24.264280325417037,1.0,False,False,td180-300,lat4,288.69381609511373,57.0,47.5,4.330407241426705,True,True,True,True
R1143,48.68853112086829,11.860211022771509,4.105199395473377,5,0.0102154776428961,1.5426280094551403,5.131499244341722,0.1067840388749219,64.43293132495455,0.1104626077342681,1.0,2.4264280325417045,140.49252415648894,57.90096482248509,1.0,False,False,td40-80,lat5-6,296.50527556928773,45.6,38.0,3.5580633068314524,True,True,True,True
R1345,314.55303443606647,32.588304965558144,9.65232879612826,2,0.0052429730166667,2.175452038927996,12.065410995160324,0.3193386345486193,80.20501112326679,-0.0359088917445796,1.0,2.4264280325417045,447.9997067987973,184.633420316,1.0,False,False,td300+,lat2-3,130.35321986223258,114.0,95.0,3.910596595866977,True,True,True,True
R1569,82.5177343996346,36.38646136537409,2.267814217245092,4,0.0053407775558939,2.4743118236737067,2.834767771556365,0.2153449135667151,125.47544736910189,0.1406464528746393,4.0,13.816695498126338,598.6649859805054,43.3291003671384,1.0,False,False,td80-120,lat4,582.1833818459854,57.0,47.5,8.732750727689782,True,True,True,True
R1687,208.4842785550694,36.304267137687866,5.742693490117021,3,0.0053205856532191,2.4593890320274348,7.178366862646276,0.3313635529237941,108.40201651577138,-0.0606240941347679,1.0,7.737344415111075,187.74109386255512,24.264280325417047,1.0,False,False,td180-300,lat2-3,326.7384042391908,76.0,63.333333333333336,6.534768084783815,True,True,True,True
R1809,148.48450566368834,16.946830246477106,8.7617863343238,4,0.0125530705105693,2.7086230262423228,10.95223291790475,0.2560231260191134,121.42262580464654,-0.2886944815742102,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td120-180,lat4,271.1492839436337,57.0,47.5,4.067239259154505,True,True,True,True
R2068,61.78183772597944,6.530168311779696,9.460987033754074,6,0.0192105165611586,1.5972523536080008,11.826233792192594,0.2429181103009256,182.72812744463116,0.0942348798461686,1.0,1.3587988089338316,78.67576203691237,57.90096482248505,1.0,False,False,td40-80,lat5-6,235.08605922406906,38.0,31.666666666666668,2.35086059224069,True,True,True,True
R2070,340.01630356325313,28.4834850801614,11.937313941968174,4,0.0068147792574294,2.471468260938062,14.921642427460217,0.1330169227480045,150.36441205575386,0.1746988441489362,1.0,5.790096482248505,105.13494375563756,18.157718801053527,1.0,False,False,td300+,lat4,455.7357612825824,57.0,47.5,6.836036419238736,True,True,True,True
R2200,35.08846199957421,2.989525954000008,11.73713242148829,1,0.0492595533513631,1.8750070994478036,14.671415526860365,0.2864902541470724,181.6640261345494,0.0460252423249812,1.0,0.2386263431099305,335.2521727374652,1404.925241564889,1.0,False,False,td0-40,lat1,2.989525954000008,228.0,190.0,0.17937155724000048,True,True,True,True
R2208,194.3450306530616,19.60808855057857,9.911472510528164,4,0.0080727747375141,2.015432290003314,12.389340638160206,0.2631747435107146,172.57852166428285,0.0966566777653783,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td180-300,lat4,313.72941680925715,57.0,47.5,4.705941252138857,True,True,True,True
R2362,57.44967594224752,4.916643540852401,11.684734812458547,1,0.0316921144637765,1.9839469601029645,14.605918515573189,0.2923668196584603,153.53215261184152,-0.1360718097989497,1.0,0.760926835001139,335.2521727374652,440.5839790588584,1.0,False,False,td40-80,lat1,4.916643540852401,228.0,190.0,0.29499861245114406,True,True,True,True
R2449,82.747726674471,12.13237466192751,6.820406472785649,4,0.0052949170396993,0.8179280309438202,8.525508090982061,0.1327141892888852,122.8065688275204,-0.1568089487477904,1.0,1.8157718801053533,140.49252415648894,77.37344415111075,1.0,False,False,td80-120,lat4,194.11799459084017,57.0,47.5,2.9117699188626025,True,True,True,True
R2557,86.37776710644869,8.377831681307478,10.31027721637972,4,0.0176104539106834,1.878504758107868,12.887846520474648,0.0942825906373357,148.74922309386488,-0.0039826110231824,1.0,0.3188779684104678,250.87967161476035,786.757620369124,1.0,False,False,td80-120,lat4,134.04530690091966,57.0,47.5,2.0106796035137946,True,True,True,True
R2611,57.76796349566478,8.552719887363091,6.75433829898004,2,0.0184469671620035,2.0088122211225663,8.442922873725049,0.2337399562298437,126.04012593894552,0.0877501738539493,1.0,0.760926835001139,447.9997067987973,588.7552997104206,1.0,False,False,td40-80,lat2-3,34.210879549452365,114.0,95.0,1.026326386483571,True,True,True,True
R2792,84.5784943760398,13.10158267304766,6.455593685641747,2,0.0105346726842343,1.757336489162991,8.069492107052184,0.4321962687936396,125.77846753418784,-0.2425821594248917,1.0,1.3587988089338316,598.6649859805054,440.5839790588587,1.0,False,False,td80-120,lat2-3,52.40633069219064,114.0,95.0,1.5721899207657193,True,True,True,True
R2836,5.395053090643795,0.956295627363065,5.641616395884158,4,0.065927945490618,0.8027343191252663,7.052020494855198,0.3979392784756445,144.31441701865043,-0.1462511255313563,1.0,1.3587988089338316,187.74109386255512,138.16695498126344,1.0,False,False,td0-40,lat4,15.30073003780904,57.0,47.5,0.22951095056713558,True,True,True,True
R2866,187.2036709209204,25.640616518724965,7.301059659942586,3,0.0063507995767688,2.073323113346872,9.126324574928232,0.3803226370525209,100.94521690375616,-0.1590620277687966,1.0,3.242451907980094,140.49252415648894,43.3291003671384,1.0,False,False,td180-300,lat2-3,230.76554866852467,76.0,63.333333333333336,4.615310973370494,True,True,True,True
R2871,197.0149988681936,21.0016330459664,9.380937112699078,4,0.0082900539152975,2.216769510985602,11.726171390873846,0.0755698210874506,86.7109438718916,0.1233933039563079,1.0,5.790096482248505,140.49252415648894,24.26428032541706,1.0,False,False,td180-300,lat4,336.0261287354624,57.0,47.5,5.040391931031936,True,True,True,True
R2939,40.86772317676719,3.5283207332847795,11.582768763405571,1,0.0425086759668324,1.9096586896697425,14.478460954256969,0.1691849774335254,139.05508006014475,0.0515060749053977,1.0,0.178571545440607,250.87967161476035,1404.925241564889,1.0,False,False,td40-80,lat1,3.5283207332847795,228.0,190.0,0.21169924399708676,True,True,True,True
R2965,183.51517845625463,18.468441541442413,9.93669000410534,4,0.0096760748703207,2.2753048252636017,12.420862505131671,0.3989834646660724,175.43986713691092,-0.008645036142227,1.0,10.33946477085338,105.13494375563756,10.168315873758727,1.0,False,False,td180-300,lat4,295.4950646630786,57.0,47.5,4.432425969946179,True,True,True,True
R3022,169.85385585466702,15.508487265962064,10.95231616996335,6,0.0070887044749607,1.399736951338724,13.690395212454188,0.1758098769050246,107.9675485413696,0.2673786480148916,1.0,3.242451907980094,58.87552997104207,18.157718801053534,1.0,False,False,td120-180,lat5-6,558.3055415746343,38.0,31.666666666666668,5.583055415746343,True,True,True,True
