firmware,p_unstable,pid_success,pid_rms_deg,rg_success,rg_rms_deg,rescue,regression
tomkuttler/TVC-Flight,0,0.166666666666667,14.3314375383952,0.166666666666667,14.3400350638527,0,0
tomkuttler/TVC-Flight,2,0,180,0,180,0,0
tomkuttler/TVC-Flight,4,0,180,0,180,0,0
tomkuttler/TVC-Flight,6,0,180,0,180,0,0
tomkuttler/TVC-Flight,8,0,180,0,180,0,0
tomkuttler/TVC-Flight,10,0,180,0,180,0,0
AdamMarciniak/FCV1,0,1,3.22003705929215,1,3.22003705929215,0,0
AdamMarciniak/FCV1,2,0.833333333333333,4.50418069423936,0.833333333333333,4.50418069425846,0,0
AdamMarciniak/FCV1,4,0,180,0,180,0,0
AdamMarciniak/FCV1,6,0,180,0,180,0,0
AdamMarciniak/FCV1,8,0,180,0,180,0,0
AdamMarciniak/FCV1,10,0,180,0,180,0,0
PrajNasa/Dhumaketu,0,1,2.50133290552591,1,2.50133290552591,0,0
PrajNasa/Dhumaketu,2,1,2.8311758753346,1,2.83117587533439,0,0
PrajNasa/Dhumaketu,4,0.833333333333333,32.342410918105,0.833333333333333,32.34231778592,0,0
PrajNasa/Dhumaketu,6,0,180,0,180,0,0
PrajNasa/Dhumaketu,8,0,180,0,180,0,0
PrajNasa/Dhumaketu,10,0,180,0,180,0,0
