regime,ablation,p_unstable,slew_code,u_max_code,tuned_Kp,tuned_Kd,full_real_success,ablated_success,success_recovery,ci_halfwidth_95,ablated_rms_deg,ablated_peak_deg
LOW_DEMAND,NONE_FULL_REAL,4,18,10.2,30,10,1,1,0,0.121250378749621,1.22881886510359,4.42688887486999
LOW_DEMAND,NO_SENSOR_LATENCY,4,18,10.2,30,10,1,1,0,0.121250378749621,1.22881886510359,4.42688887486999
LOW_DEMAND,NO_SENSOR_NOISE,4,18,10.2,30,10,1,1,0,0.121250378749621,1.1598583319549,4.50214512508406
LOW_DEMAND,NO_ACTUATOR_NONLIN,4,18,10.2,30,10,1,1,0,0.121250378749621,1.24201050420823,4.42688887486999
LOW_DEMAND,NO_GUST,4,18,10.2,30,10,1,1,0,0.121250378749621,1.23227373736952,4.42684743464158
LOW_DEMAND,NO_KEFF_DRIFT,4,18,10.2,30,10,1,1,0,0.121250378749621,1.2253417101771,4.42688099255948
BOUNDARY,NONE_FULL_REAL,8,12,6,10,3,0.833333333333333,0.833333333333333,0,0.200536104884925,3.61150575182624,6.13441057800871
BOUNDARY,NO_SENSOR_LATENCY,8,12,6,10,3,0.833333333333333,0.833333333333333,0,0.200536104884925,3.61150575182624,6.13441057800871
BOUNDARY,NO_SENSOR_NOISE,8,12,6,10,3,0.833333333333333,1,0.166666666666667,0.121250378749621,3.12479135104767,5.28065362217907
BOUNDARY,NO_ACTUATOR_NONLIN,8,12,6,10,3,0.833333333333333,0.833333333333333,0,0.200536104884925,3.63187486590323,6.10525918887319
BOUNDARY,NO_GUST,8,12,6,10,3,0.833333333333333,0.833333333333333,0,0.200536104884925,3.61738558580469,6.30222528429361
BOUNDARY,NO_KEFF_DRIFT,8,12,6,10,3,0.833333333333333,1,0.166666666666667,0.121250378749621,2.90978075044368,5.32941789524033
ACTUATOR_LIMITED,NONE_FULL_REAL,10,9,4.5,30,10,0.333333333333333,0.333333333333333,0,0.235632286352512,60.4144085801269,61.1009632695051
ACTUATOR_LIMITED,NO_SENSOR_LATENCY,10,9,4.5,30,10,0.333333333333333,0.333333333333333,0,0.235632286352512,60.4144085801269,61.1009632695051
ACTUATOR_LIMITED,NO_SENSOR_NOISE,10,9,4.5,30,10,0.333333333333333,0.416666666666667,0.0833333333333334,0.24361760121969,53.0228294999464,54.2738293622263
ACTUATOR_LIMITED,NO_ACTUATOR_NONLIN,10,9,4.5,30,10,0.333333333333333,0.5,0.166666666666667,0.246221829606578,45.644091600457,46.834848519438
ACTUATOR_LIMITED,NO_GUST,10,9,4.5,30,10,0.333333333333333,0.333333333333333,0,0.235632286352512,60.4180808160717,61.0997899032111
ACTUATOR_LIMITED,NO_KEFF_DRIFT,10,9,4.5,30,10,0.333333333333333,0.333333333333333,0,0.235632286352512,60.39404270477,61.0959065638682
