regime,factor_profile,p_unstable,slew_code,u_max_code,tuned_Kp,tuned_Kd,ideal_success,profile_success,success_drop,ideal_rms_deg,profile_rms_deg,ideal_peak_deg,profile_peak_deg
LOW_DEMAND,IDEAL,4,18,10.2,30,3,1,1,0,0.907710626600207,0.907710626600207,4.50213531304424,4.50213531304424
LOW_DEMAND,SENSOR_LATENCY,4,18,10.2,30,3,1,1,0,0.907710626600207,0.907710626600207,4.50213531304424,4.50213531304424
LOW_DEMAND,SENSOR_NOISE,4,18,10.2,30,3,1,1,0,0.907710626600207,0.963160206963886,4.50213531304424,4.48861158236219
LOW_DEMAND,ACTUATOR_NONLINEARITY,4,18,10.2,30,3,1,1,0,0.907710626600207,0.950257686547392,4.50213531304424,4.50213531304424
LOW_DEMAND,GUST,4,18,10.2,30,3,1,1,0,0.907710626600207,0.910954340238601,4.50213531304424,4.50223710807258
LOW_DEMAND,KEFF_DRIFT,4,18,10.2,30,3,1,1,0,0.907710626600207,0.908788464202948,4.50213531304424,4.50214071447533
LOW_DEMAND,ALL_REALISTIC,4,18,10.2,30,3,1,0.833333333333333,0.166666666666667,0.907710626600207,15.7195093846933,4.50213531304424,18.3806755660313
BOUNDARY,IDEAL,8,12,6,30,10,1,1,0,1.50886495952896,1.50886495952896,5.19322091068709,5.19322091068709
BOUNDARY,SENSOR_LATENCY,8,12,6,30,10,1,1,0,1.50886495952896,1.50886495952896,5.19322091068709,5.19322091068709
BOUNDARY,SENSOR_NOISE,8,12,6,30,10,1,1,0,1.50886495952896,1.56122998871077,5.19322091068709,5.18471159147326
BOUNDARY,ACTUATOR_NONLINEARITY,8,12,6,30,10,1,0.5,0.5,1.50886495952896,45.4553578284296,5.19322091068709,46.5632031967989
BOUNDARY,GUST,8,12,6,30,10,1,1,0,1.50886495952896,1.50578797661445,5.19322091068709,5.17990634205058
BOUNDARY,KEFF_DRIFT,8,12,6,30,10,1,1,0,1.50886495952896,1.5228618238334,5.19322091068709,5.20547240957578
BOUNDARY,ALL_REALISTIC,8,12,6,30,10,1,0.833333333333333,0.166666666666667,1.50886495952896,16.1136086186529,5.19322091068709,18.7760190965247
ACTUATOR_LIMITED,IDEAL,10,9,4.5,30,10,0.5,0.5,0,45.6289903922767,45.6289903922767,47.133969871657,47.133969871657
ACTUATOR_LIMITED,SENSOR_LATENCY,10,9,4.5,30,10,0.5,0.5,0,45.6289903922767,45.6289903922767,47.133969871657,47.133969871657
ACTUATOR_LIMITED,SENSOR_NOISE,10,9,4.5,30,10,0.5,0.5,0,45.6289903922767,45.6616184401948,47.133969871657,47.1751937857606
ACTUATOR_LIMITED,ACTUATOR_NONLINEARITY,10,9,4.5,30,10,0.5,0,0.5,45.6289903922767,90,47.133969871657,90
ACTUATOR_LIMITED,GUST,10,9,4.5,30,10,0.5,0.5,0,45.6289903922767,45.6373453612302,47.133969871657,47.09038791694
ACTUATOR_LIMITED,KEFF_DRIFT,10,9,4.5,30,10,0.5,0.5,0,45.6289903922767,45.6438180524536,47.133969871657,47.1497031285305
ACTUATOR_LIMITED,ALL_REALISTIC,10,9,4.5,30,10,0.5,0.166666666666667,0.333333333333333,45.6289903922767,75.2477904325285,47.133969871657,75.6771741831004
