rocket_id,label,keff,lat,Pi,Kp_probe,ceiling_theory,best_kd,search_sr,sr_sat,fsat,sr_nosat,sat_penalty,frac_explained,regime
R1699,EASY,3.825,3,34.4,63.33,126.7,0.57,1.0,1.0,0.0107,1.0,0.0,0.0,linear
R2142,EASY,2.48,4,39.7,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0522,EASY,41.377,1,41.4,190.0,380.0,0.57,1.0,1.0,0.0177,1.0,0.0,0.0,linear
R1640,EASY,2.311,5,57.8,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0605,EASY,2.336,5,58.4,38.0,76.0,0.57,1.0,1.0,0.0457,1.0,0.0,0.0,linear
R1831,EASY,4.602,4,73.6,47.5,95.0,0.57,1.0,1.0,0.0193,1.0,0.0,0.0,linear
R2229,EASY,26.117,2,104.5,95.0,190.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2247,EASY,3.47,6,124.9,31.67,63.3,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0773,EASY,5.479,5,137.0,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0200,EASY,9.159,4,146.5,47.5,95.0,0.57,1.0,1.0,0.0262,1.0,0.0,0.0,linear
R1119,EASY,11.061,4,177.0,47.5,95.0,0.57,1.0,1.0,0.1259,1.0,0.0,0.0,transitional
R0269,EASY,7.294,5,182.4,38.0,76.0,0.57,1.0,1.0,0.0535,1.0,0.0,0.0,linear
R0870,EASY,8.559,5,214.0,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0621,EASY,6.207,6,223.5,31.67,63.3,0.57,1.0,1.0,0.0255,1.0,0.0,0.0,linear
R0048,EASY,25.861,3,232.8,63.33,126.7,0.57,1.0,1.0,0.299,1.0,0.0,0.0,transitional
R2058,EASY,17.187,4,275.0,47.5,95.0,0.57,1.0,0.95,0.5067,1.0,0.05,1.0,saturation
R1452,EASY,11.662,5,291.6,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0568,EASY,13.538,5,338.5,38.0,76.0,0.57,1.0,1.0,0.2694,1.0,0.0,0.0,transitional
R1641,FRAGILE,25.462,4,407.4,47.5,95.0,0.57,1.0,1.0,0.5319,1.0,0.0,0.0,saturation
R2069,EASY,18.167,5,454.2,38.0,76.0,0.57,1.0,1.0,0.5012,1.0,0.0,0.0,saturation
R2353,FRAGILE,29.948,4,479.2,47.5,95.0,0.57,1.0,1.0,0.5547,0.95,-0.05,0.0,saturation
R1234,EASY,13.415,6,482.9,31.67,63.3,0.57,1.0,1.0,0.2377,1.0,0.0,0.0,transitional
R0207,EASY,22.899,5,572.5,38.0,76.0,0.57,1.0,0.95,0.576,1.0,0.05,1.0,saturation
R0475,EASY,29.159,5,729.0,38.0,76.0,0.57,0.667,0.95,0.2112,1.0,0.05,1.0,transitional
R0026,FRAGILE,32.391,5,809.8,38.0,76.0,0.57,0.667,0.9,0.6745,1.0,0.1,1.0,saturation
R1513,EASY,24.076,6,866.7,31.67,63.3,0.57,1.0,0.85,0.6782,0.95,0.1,0.667,saturation
R1715,FRAGILE,25.567,6,920.4,31.67,63.3,0.57,1.0,0.85,0.6723,1.0,0.15,1.0,saturation
R2106,FRAGILE,31.857,6,1146.9,31.67,63.3,0.57,1.0,1.0,0.2006,1.0,0.0,0.0,transitional
R2072,FRAGILE,33.474,6,1205.1,31.67,63.3,0.57,1.0,0.8,0.7268,0.9,0.1,0.5,saturation
