rocket_id,label,keff,lat,Pi,Kp_probe,ceiling_theory,best_kd,search_sr,sr_sat,fsat,sr_nosat,sat_penalty,frac_explained,regime
R0824,EASY,3.711,3,33.4,63.33,126.7,0.57,1.0,1.0,0.0192,1.0,0.0,0.0,linear
R1834,EASY,2.1,4,33.6,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1200,EASY,1.35,5,33.8,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1878,EASY,2.177,4,34.8,47.5,95.0,0.57,1.0,1.0,0.0001,1.0,0.0,0.0,linear
R0154,EASY,1.41,5,35.3,38.0,76.0,0.57,1.0,1.0,0.0003,1.0,0.0,0.0,linear
R1208,EASY,2.272,4,36.4,47.5,95.0,0.57,1.0,1.0,0.0009,1.0,0.0,0.0,linear
R0282,EASY,1.044,6,37.6,31.67,63.3,0.57,1.0,1.0,0.0028,1.0,0.0,0.0,linear
R0886,EASY,2.363,4,37.8,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0398,EASY,2.653,4,42.5,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2290,EASY,1.22,6,43.9,31.67,63.3,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2259,EASY,2.16,5,54.0,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0922,EASY,2.158,5,54.0,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1997,EASY,6.138,3,55.2,63.33,126.7,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0099,EASY,2.402,5,60.1,38.0,76.0,0.57,1.0,1.0,0.0086,1.0,0.0,0.0,linear
R1104,EASY,2.402,5,60.1,38.0,76.0,0.57,1.0,1.0,0.0015,1.0,0.0,0.0,linear
R2188,EASY,2.414,5,60.4,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0563,EASY,7.388,3,66.5,63.33,126.7,0.57,1.0,1.0,0.0005,1.0,0.0,0.0,linear
R1041,EASY,2.734,5,68.3,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
