servo,slew_rated_dps,price_usd,gimbal_slew_loaded_dps,p_max_predicted
TowerPro SG90,600,4,90,17.1338366383116
TowerPro MG90S,600,7,90,17.1338366383116
TowerPro MG996R,333,9,49.95,12.7446596618962
Hitec HS-422,330,12,49.5,12.686819275402
BLS-HV70,750,30,112.5,19.1674632248449
Savox SH-0255MG,545,35,81.75,16.3255331736167
Dynamixel XL330-M288,480,35,72,15.3159734548401
Hitec HS-5070MH,545,45,81.75,16.3255331736167
KST X10 Mini,750,60,112.5,19.1674632248449
Hitec HS-7950TH,545,170,81.75,16.3255331736167
Savox SB-2290SG,545,230,81.75,16.3255331736167
