keff_target,servo_slew,wind_strength,Kp,sr,rms
4.0,60,0.25,2,0.125,12.74245498610745
4.0,60,0.25,5,0.5,10.329478414299093
4.0,60,0.25,10,0.875,6.261800622181746
4.0,60,0.25,20,1.0,6.733909946476436
4.0,60,0.25,40,1.0,4.295562646851278
4.0,60,0.25,80,1.0,3.957035003639123
4.0,60,0.25,160,1.0,3.1223152965411174
4.0,60,0.25,320,1.0,2.546296603290315
4.0,80,0.25,2,0.5,11.069040803726505
4.0,80,0.25,5,0.5,9.89935152299221
4.0,80,0.25,10,0.75,6.31080006321075
4.0,80,0.25,20,0.875,6.065633490212217
4.0,80,0.25,40,1.0,4.409276888947733
4.0,80,0.25,80,1.0,2.9567303539496717
4.0,80,0.25,160,1.0,3.146171499479714
4.0,80,0.25,320,1.0,2.302267058666174
4.0,120,0.25,2,0.625,8.77836829130378
4.0,120,0.25,5,0.5,11.30353873408097
4.0,120,0.25,10,0.875,6.940230178755831
4.0,120,0.25,20,1.0,4.933731713736983
4.0,120,0.25,40,1.0,4.1612345286278645
4.0,120,0.25,80,1.0,3.159174823395227
4.0,120,0.25,160,1.0,2.9207034556817435
4.0,120,0.25,320,1.0,2.617539483260105
4.0,160,0.25,2,0.375,10.823027166481333
4.0,160,0.25,5,0.25,14.28286519880506
4.0,160,0.25,10,0.625,8.961319095419935
4.0,160,0.25,20,0.5,8.14175451540328
4.0,160,0.25,40,0.875,6.578174113699443
4.0,160,0.25,80,1.0,4.131739722625644
4.0,160,0.25,160,1.0,3.169882619137734
4.0,160,0.25,320,1.0,1.7453354737283937
4.0,200,0.25,2,0.5,16.691618791135138
4.0,200,0.25,5,0.25,13.022236748880314
4.0,200,0.25,10,0.625,10.05404578824186
4.0,200,0.25,20,1.0,5.337907199253772
4.0,200,0.25,40,0.75,6.15235753106939
4.0,200,0.25,80,1.0,3.983204807750388
4.0,200,0.25,160,1.0,3.1150953146386615
4.0,200,0.25,320,1.0,1.7934462409364411
4.0,300,0.25,2,0.125,17.185334882098154
4.0,300,0.25,5,0.375,12.872201746213454
4.0,300,0.25,10,0.375,13.022587848399617
4.0,300,0.25,20,0.75,8.732128854772922
4.0,300,0.25,40,0.875,5.478722295274125
4.0,300,0.25,80,0.875,5.05221514244239
4.0,300,0.25,160,1.0,3.6728158644337476
4.0,300,0.25,320,1.0,2.109601716916496
8.0,60,0.25,2,0.5,9.298113191675409
8.0,60,0.25,5,0.5,10.279408887627275
8.0,60,0.25,10,0.75,7.976000313992087
8.0,60,0.25,20,1.0,5.435603114901883
8.0,60,0.25,40,1.0,4.856833750855319
8.0,60,0.25,80,1.0,3.904215033334158
8.0,60,0.25,160,1.0,3.047769129417289
8.0,60,0.25,320,1.0,2.1023327665173213
8.0,80,0.25,2,0.125,13.78521926632507
8.0,80,0.25,5,0.375,15.732622783709818
8.0,80,0.25,10,0.625,7.33620655300029
8.0,80,0.25,20,0.875,7.82637526150635
8.0,80,0.25,40,0.75,5.349069150931395
8.0,80,0.25,80,1.0,3.5237311064796866
8.0,80,0.25,160,1.0,3.185053337885251
8.0,80,0.25,320,1.0,2.8844905069161713
8.0,120,0.25,2,0.5,15.8949464868437
8.0,120,0.25,5,0.5,13.449958641753268
8.0,120,0.25,10,0.375,10.24684382221929
8.0,120,0.25,20,0.75,6.5020597248638135
8.0,120,0.25,40,0.875,6.598284780097304
8.0,120,0.25,80,1.0,4.7091676293798095
8.0,120,0.25,160,1.0,2.6142125001003556
8.0,120,0.25,320,1.0,1.8713685240832871
8.0,160,0.25,2,0.0,19.336069599124528
8.0,160,0.25,5,0.25,22.789764209828217
8.0,160,0.25,10,0.0,14.494065062617203
8.0,160,0.25,20,0.625,7.893242625430287
8.0,160,0.25,40,0.875,6.786503380163817
8.0,160,0.25,80,1.0,5.265961452158509
8.0,160,0.25,160,1.0,3.4143532479270027
8.0,160,0.25,320,1.0,3.029896849535393
8.0,200,0.25,2,0.25,40.15214684548407
8.0,200,0.25,5,0.0,32.14309982341767
8.0,200,0.25,10,0.5,14.90338619884656
8.0,200,0.25,20,0.625,11.118675353135613
8.0,200,0.25,40,0.5,10.423915484301567
8.0,200,0.25,80,0.75,6.7264057466990606
8.0,200,0.25,160,1.0,4.409207763489712
8.0,200,0.25,320,1.0,3.1567442171660214
8.0,300,0.25,2,0.25,17.74786159632908
8.0,300,0.25,5,0.125,27.371446656797055
8.0,300,0.25,10,0.125,19.881822783310596
8.0,300,0.25,20,0.625,12.300774894886567
8.0,300,0.25,40,0.5,11.143405797363728
8.0,300,0.25,80,0.75,6.8214478286101325
8.0,300,0.25,160,0.875,5.566743715734496
8.0,300,0.25,320,1.0,3.181565070976664
14.0,60,0.25,2,0.375,14.044340479151861
14.0,60,0.25,5,0.375,14.047558903988905
14.0,60,0.25,10,0.5,10.793658640738043
14.0,60,0.25,20,0.5,8.623082290022817
14.0,60,0.25,40,0.875,6.564024582751289
14.0,60,0.25,80,1.0,3.894374184180001
14.0,60,0.25,160,1.0,3.0756505307727213
14.0,60,0.25,320,1.0,2.972251410400589
14.0,80,0.25,2,0.125,19.977004267063553
14.0,80,0.25,5,0.25,13.988037224903442
14.0,80,0.25,10,0.5,11.560395502385534
14.0,80,0.25,20,0.75,8.368751209572746
14.0,80,0.25,40,0.875,5.074306034485687
14.0,80,0.25,80,0.875,5.909335068279832
14.0,80,0.25,160,1.0,3.4136539015384018
14.0,80,0.25,320,1.0,2.3265728966558488
14.0,120,0.25,2,0.375,20.301805781098686
14.0,120,0.25,5,0.5,17.062572327527935
14.0,120,0.25,10,0.375,19.190804044865832
14.0,120,0.25,20,0.25,12.66801049587278
14.0,120,0.25,40,0.625,8.518318715327347
14.0,120,0.25,80,0.875,6.553641769368199
14.0,120,0.25,160,1.0,4.488596467993858
14.0,120,0.25,320,1.0,4.053553752608269
14.0,160,0.25,2,0.0,42.84000489593527
14.0,160,0.25,5,0.375,27.802063237191067
14.0,160,0.25,10,0.125,19.850648661950604
14.0,160,0.25,20,0.125,17.06478396796138
14.0,160,0.25,40,0.75,9.848209690331135
14.0,160,0.25,80,0.75,8.422346971937806
14.0,160,0.25,160,0.875,4.369982110637951
14.0,160,0.25,320,0.875,3.659011001164478
14.0,200,0.25,2,0.125,33.916959500953304
14.0,200,0.25,5,0.25,21.689547936896012
14.0,200,0.25,10,0.125,28.859862435250925
14.0,200,0.25,20,0.5,12.407590233876709
14.0,200,0.25,40,0.5,11.043222858400624
14.0,200,0.25,80,0.375,10.60197666988493
14.0,200,0.25,160,1.0,5.018419482067817
14.0,200,0.25,320,0.75,5.11264333065822
14.0,300,0.25,2,0.0,47.22787004727876
14.0,300,0.25,5,0.125,28.705043769789373
14.0,300,0.25,10,0.0,36.053838137573756
14.0,300,0.25,20,0.25,23.09209517267545
14.0,300,0.25,40,0.25,17.08643081204864
14.0,300,0.25,80,0.875,6.764134736042387
14.0,300,0.25,160,0.625,9.324907866938043
14.0,300,0.25,320,0.875,5.412635150927152
20.0,60,0.25,2,0.125,25.120458835473546
20.0,60,0.25,5,0.375,16.245327460131957
20.0,60,0.25,10,0.375,12.922345569755912
20.0,60,0.25,20,0.5,8.542045217426962
20.0,60,0.25,40,1.0,6.025809330672086
20.0,60,0.25,80,0.875,5.508315717229417
20.0,60,0.25,160,1.0,3.567321378597981
20.0,60,0.25,320,1.0,2.3681270304223943
20.0,80,0.25,2,0.5,10.33774219794593
20.0,80,0.25,5,0.375,15.998604083967415
20.0,80,0.25,10,0.5,16.274475156777008
20.0,80,0.25,20,0.875,8.892744100460105
20.0,80,0.25,40,0.625,8.025654080797104
20.0,80,0.25,80,1.0,6.167508245162505
20.0,80,0.25,160,1.0,3.226881687340974
20.0,80,0.25,320,1.0,3.5334698071248183
20.0,120,0.25,2,0.125,30.081304101265385
20.0,120,0.25,5,0.25,19.26607821789995
20.0,120,0.25,10,0.5,17.762456202635054
20.0,120,0.25,20,0.125,17.453689777489114
20.0,120,0.25,40,0.375,13.0454312847566
20.0,120,0.25,80,0.75,6.636919694792765
20.0,120,0.25,160,0.75,6.5961629903926235
20.0,120,0.25,320,0.875,4.230080738174113
20.0,160,0.25,2,0.0,42.63998739093992
20.0,160,0.25,5,0.125,24.428095809532756
20.0,160,0.25,10,0.0,26.33471847455673
20.0,160,0.25,20,0.125,21.965807843519087
20.0,160,0.25,40,0.25,13.966319361819567
20.0,160,0.25,80,0.75,8.853390412065501
20.0,160,0.25,160,0.625,6.9091985689802
20.0,160,0.25,320,0.875,5.7933636539987
20.0,200,0.25,2,0.375,33.63983225394812
