rocket_id,keff,lat,Pi,pid_kp,pid_naive,pid_real,pid_gap,lqr_kp,lqr_naive,lqr_real,lqr_gap,adrc_naive,adrc_real,adrc_gap
R2120,2.26,2,9.0,2.0,1.0,1.0,0.0,0.1,1.0,0.9,0.1,1.0,1.0,0.0
R1152,2.63,2,11.0,2.0,1.0,1.0,0.0,0.1,1.0,0.8,0.2,1.0,1.0,0.0
R0639,4.09,2,16.0,2.0,1.0,1.0,0.0,0.5,0.9,0.8,0.1,1.0,1.0,0.0
R0223,1.19,4,19.0,2.0,1.0,1.0,0.0,0.1,0.9,1.0,-0.1,1.0,1.0,0.0
R2212,1.22,5,31.0,2.0,1.0,1.0,0.0,0.1,1.0,1.0,0.0,1.0,1.0,0.0
R1023,1.51,5,38.0,2.0,1.0,1.0,0.0,0.1,0.9,0.9,0.0,1.0,1.0,0.0
R1822,13.28,2,53.0,2.0,1.0,1.0,0.0,2.1,1.0,0.9,0.1,1.0,1.0,0.0
R0550,4.45,4,71.0,2.0,1.0,1.0,0.0,0.1,1.0,0.8,0.2,1.0,1.0,0.0
R1831,4.6,4,74.0,2.0,1.0,1.0,0.0,0.1,1.0,0.7,0.3,1.0,1.0,0.0
R0302,3.2,5,80.0,2.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0
R0935,2.21,6,80.0,2.0,1.0,1.0,0.0,1.0,0.9,0.8,0.1,1.0,1.0,0.0
R2372,5.03,4,80.0,2.0,1.0,1.0,0.0,2.1,1.0,0.9,0.1,1.0,1.0,0.0
R1667,2.68,6,96.0,2.0,1.0,1.0,0.0,0.1,1.0,1.0,0.0,1.0,1.0,0.0
R1695,4.78,5,119.0,2.0,1.0,1.0,0.0,0.1,1.0,0.9,0.1,1.0,1.0,0.0
R1806,4.84,5,121.0,2.0,1.0,1.0,0.0,4.5,1.0,1.0,0.0,1.0,1.0,0.0
R0394,13.8,3,124.0,2.0,1.0,1.0,0.0,2.1,1.0,0.6,0.4,1.0,1.0,0.0
R0689,16.59,3,149.0,2.0,1.0,1.0,0.0,2.1,1.0,0.7,0.3,1.0,1.0,0.0
R0110,4.81,6,173.0,2.0,1.0,1.0,0.0,0.1,1.0,0.8,0.2,1.0,1.0,0.0
R0910,11.11,4,178.0,2.0,1.0,1.0,0.0,4.5,1.0,1.0,0.0,1.0,1.0,0.0
R0269,7.29,5,182.0,2.0,1.0,1.0,0.0,0.1,1.0,0.8,0.2,1.0,1.0,0.0
R2263,5.28,6,190.0,2.0,1.0,1.0,0.0,0.1,1.0,0.3,0.7,1.0,1.0,0.0
R0693,23.73,3,214.0,2.0,1.0,0.8,0.2,4.3,0.9,0.7,0.2,1.0,1.0,0.0
R0753,8.91,5,223.0,2.0,1.0,1.0,0.0,4.5,1.0,0.9,0.1,1.0,1.0,0.0
R1035,10.6,5,265.0,2.0,1.0,1.0,0.0,2.1,0.9,0.6,0.3,1.0,1.0,0.0
R0248,16.78,4,268.0,2.0,1.0,1.0,0.0,1.0,0.8,0.7,0.1,1.0,1.0,0.0
R1551,7.92,6,285.0,2.0,1.0,1.0,0.0,4.5,1.0,0.9,0.1,1.0,1.0,0.0
R1373,8.01,6,288.0,2.0,1.0,1.0,0.0,1.0,0.9,0.6,0.3,1.0,1.0,0.0
R1452,11.66,5,292.0,2.0,1.0,1.0,0.0,4.5,1.0,1.0,0.0,1.0,1.0,0.0
R2257,12.02,5,300.0,2.0,1.0,1.0,0.0,0.4,0.9,0.3,0.6,1.0,1.0,0.0
R1220,20.98,4,336.0,2.0,0.9,0.5,0.4,9.3,1.0,0.6,0.4,1.0,0.9,0.1
R1439,13.63,5,341.0,2.0,1.0,0.9,0.1,2.1,1.0,0.5,0.5,1.0,1.0,0.0
R1936,14.13,5,353.0,2.0,1.0,0.9,0.1,1.0,0.9,0.3,0.6,1.0,1.0,0.0
R0835,14.42,5,360.0,2.0,1.0,0.9,0.1,1.0,0.9,0.5,0.4,1.0,1.0,0.0
R0892,10.38,6,374.0,2.0,1.0,1.0,0.0,1.0,0.9,0.6,0.3,1.0,1.0,0.0
R2359,23.34,4,374.0,2.0,0.9,1.0,-0.1,9.2,1.0,1.0,0.0,1.0,1.0,0.0
R0797,33.97,4,544.0,2.0,1.0,0.4,0.6,4.2,0.9,0.3,0.6,1.0,1.0,0.0
R0207,22.9,5,572.0,2.0,1.0,0.5,0.5,4.3,0.8,0.6,0.2,1.0,0.8,0.2
R2374,23.81,5,595.0,3.2,1.0,0.9,0.1,9.2,1.0,1.0,0.0,1.0,1.0,0.0
R2080,29.61,5,740.0,2.0,1.0,0.5,0.5,0.9,0.9,0.2,0.7,1.0,0.8,0.2
R1715,25.57,6,920.0,2.0,1.0,0.9,0.1,4.3,1.0,0.3,0.7,1.0,1.0,0.0
R2106,31.86,6,1147.0,2.0,1.0,0.2,0.8,4.2,0.9,0.1,0.8,1.0,0.8,0.2
R2072,33.47,6,1205.0,2.0,1.0,0.5,0.5,2.0,0.8,0.3,0.5,1.0,0.6,0.4
