lambda_s,Kp,Kd,sr,rocket_id,td,keff,latency,final_label
0.2,1.0,5.0,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,1.3707256063767186,6.853628031883592,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,1.8788886879768232,9.394443439884116,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,2.575440836141388,12.87720418070694,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,3.5302227018072676,17.651113509036335,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,4.838966653579624,24.19483326789812,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,6.632895500464652,33.16447750232326,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,9.091879706907822,45.459398534539105,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,12.462472324355405,62.31236162177702,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,17.082629933755133,85.41314966877566,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,23.41559827445559,117.07799137227795,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,32.09636014342679,160.48180071713395,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,43.99530272008423,219.97651360042116,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,60.30548799871475,301.52743999357375,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,82.66227660488225,413.3113830244112,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,113.30729922370725,566.5364961185362,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,155.3132164353244,776.5660821766219,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,212.89180277662857,1064.4590138831427,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,291.81624545362695,1459.0812272681346,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.2,400.0000000000001,2000.0000000000005,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,1.0,2.0,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,1.3707256063767186,2.741451212753437,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,1.8788886879768232,3.7577773759536464,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,2.575440836141388,5.150881672282776,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,3.5302227018072676,7.060445403614535,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,4.838966653579624,9.677933307159249,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,6.632895500464652,13.265791000929305,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,9.091879706907822,18.183759413815643,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,12.462472324355405,24.92494464871081,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,17.082629933755133,34.165259867510265,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,23.41559827445559,46.83119654891118,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,32.09636014342679,64.19272028685359,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,43.99530272008423,87.99060544016847,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,60.30548799871475,120.6109759974295,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,82.66227660488225,165.3245532097645,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,113.30729922370725,226.6145984474145,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,155.3132164353244,310.6264328706488,0.4,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,212.89180277662857,425.78360555325713,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,291.81624545362695,583.6324909072539,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
0.5,400.0000000000001,800.0000000000002,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,1.0,1.0,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,1.3707256063767186,1.3707256063767186,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,1.8788886879768232,1.8788886879768232,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,2.575440836141388,2.575440836141388,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,3.5302227018072676,3.5302227018072676,0.8,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,4.838966653579624,4.838966653579624,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,6.632895500464652,6.632895500464652,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,9.091879706907822,9.091879706907822,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,12.462472324355405,12.462472324355405,0.7,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,17.082629933755133,17.082629933755133,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,23.41559827445559,23.41559827445559,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,32.09636014342679,32.09636014342679,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,43.99530272008423,43.99530272008423,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,60.30548799871475,60.30548799871475,0.6,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,82.66227660488225,82.66227660488225,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
1.0,113.30729922370725,113.30729922370725,0.5,R1077,18.881205143659184,2.700559646677496,3,EASY
