rocket_id,kp_t0.0,sr_t0.0,kp_t0.5,sr_t0.5,kp_t1.0,sr_t1.0,kp_t2.0,sr_t2.0,kp_t3.0,sr_t3.0,kp_t5.0,sr_t5.0,kp_t10.0,sr_t10.0,kp_full_t0
R0091,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,40,1.0,80
R0146,2,1.0,5,1.0,5,1.0,2,1.0,2,1.0,2,1.0,2,1.0,5
R0267,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,5,1.0,80
R0373,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,80
R0430,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80
R0491,2,1.0,5,1.0,80,1.0,80,1.0,40,1.0,80,1.0,80,1.0,15
R0503,2,1.0,80,1.0,80,1.0,40,1.0,40,1.0,15,1.0,40,1.0,40
R0504,2,1.0,80,1.0,40,1.0,80,1.0,15,1.0,80,1.0,80,1.0,15
R0523,2,1.0,80,1.0,80,1.0,15,1.0,15,1.0,15,1.0,15,1.0,40
R0641,2,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,80,1.0,80
R0671,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,15
R0680,2,1.0,80,1.0,40,1.0,5,1.0,80,1.0,80,1.0,80,1.0,40
R0688,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80
R0748,2,1.0,2,1.0,5,1.0,80,1.0,80,1.0,80,1.0,40,1.0,15
R0759,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,40
R0866,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,15
R0954,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80
R0958,2,1.0,80,1.0,40,1.0,15,1.0,40,1.0,80,1.0,80,1.0,80
R0982,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,80,1.0,40
R1021,2,1.0,40,1.0,2,1.0,5,1.0,2,1.0,5,1.0,5,1.0,40
R1070,2,1.0,80,1.0,80,1.0,40,1.0,15,1.0,15,1.0,5,1.0,15
R1082,2,1.0,2,1.0,2,1.0,2,1.0,5,1.0,2,1.0,40,1.0,40
R1094,2,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,40,1.0,15
R1165,2,1.0,15,1.0,15,1.0,80,1.0,80,1.0,80,1.0,40,1.0,80
R1171,2,1.0,15,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80,1.0,80
