rocket_id,regime,best_kp_theta0,best_sr_theta0,best_kp_theta10,best_sr_theta10,sr_theta0gains_at_theta10,sr_theta10gains_at_theta0
R0731,EASY,2,1.0,2,1.0,1.0,1.0
R0910,EASY,2,1.0,2,1.0,1.0,1.0
R0130,EASY,2,1.0,5,1.0,0.0,1.0
R0686,EASY,2,1.0,2,1.0,1.0,1.0
R0608,EASY,2,1.0,2,1.0,1.0,1.0
R0341,EASY,2,1.0,2,1.0,1.0,1.0
R0915,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0360,EASY,15,1.0,5,1.0,1.0,0.6666666666666666
R0171,EASY,5,1.0,2,0.6666666666666666,0.3333333333333333,0.6666666666666666
R0609,EASY,2,1.0,2,1.0,1.0,1.0
R1194,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0996,EASY,2,1.0,40,1.0,0.6666666666666666,1.0
R0875,EASY,2,1.0,2,1.0,1.0,1.0
R0422,EASY,5,1.0,2,1.0,0.6666666666666666,0.6666666666666666
R0268,EASY,2,1.0,2,1.0,0.3333333333333333,1.0
R0865,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0918,EASY,2,1.0,15,1.0,0.3333333333333333,1.0
R0047,EASY,2,1.0,40,0.6666666666666666,0.3333333333333333,1.0
R0488,EASY,5,1.0,2,1.0,1.0,0.6666666666666666
R0984,EASY,2,1.0,2,1.0,0.3333333333333333,0.0
R0666,EASY,2,1.0,2,1.0,1.0,1.0
R0442,EASY,2,1.0,2,1.0,1.0,1.0
R0631,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0611,EASY,2,1.0,2,1.0,1.0,1.0
R0775,EASY,2,1.0,15,1.0,0.3333333333333333,1.0
R0010,EASY,2,1.0,2,1.0,0.6666666666666666,0.3333333333333333
R0633,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0527,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0115,EASY,2,1.0,2,1.0,1.0,1.0
R0699,EASY,2,1.0,2,1.0,1.0,1.0
R0539,EASY,2,1.0,2,1.0,1.0,1.0
R1081,EASY,5,1.0,2,1.0,0.6666666666666666,0.6666666666666666
R1176,EASY,2,1.0,2,1.0,1.0,1.0
R0599,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0143,EASY,2,1.0,15,1.0,0.3333333333333333,1.0
R0852,EASY,5,1.0,2,1.0,0.3333333333333333,0.6666666666666666
R0355,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0612,EASY,2,1.0,40,1.0,0.6666666666666666,1.0
R0459,EASY,2,1.0,2,1.0,1.0,1.0
R0968,EASY,5,1.0,2,1.0,1.0,0.6666666666666666
R1022,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0381,EASY,2,1.0,2,1.0,1.0,1.0
R0255,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0635,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0175,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0585,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0561,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0591,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0673,EASY,2,1.0,2,1.0,1.0,1.0
R0705,EASY,2,1.0,40,1.0,0.6666666666666666,1.0
R1200,EASY,2,1.0,2,1.0,1.0,1.0
R0542,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0883,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0219,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0428,EASY,2,1.0,2,1.0,1.0,1.0
R0476,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0500,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0055,EASY,2,1.0,2,1.0,1.0,1.0
R1152,EASY,5,1.0,2,1.0,0.6666666666666666,0.3333333333333333
R0808,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0310,EASY,2,1.0,2,1.0,1.0,1.0
R0987,EASY,2,1.0,2,1.0,1.0,1.0
R0799,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0862,EASY,2,1.0,2,1.0,0.6666666666666666,1.0
R0431,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0730,EASY,2,1.0,2,1.0,1.0,1.0
R1160,EASY,15,1.0,40,1.0,0.6666666666666666,1.0
R0456,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0111,EASY,2,1.0,5,1.0,0.6666666666666666,0.3333333333333333
R0041,EASY,2,1.0,2,1.0,0.6666666666666666,0.0
R0992,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0499,EASY,2,1.0,2,1.0,1.0,1.0
R1016,EASY,2,1.0,2,1.0,1.0,1.0
R0414,EASY,2,1.0,2,1.0,1.0,1.0
R0818,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0481,EASY,2,1.0,2,1.0,1.0,1.0
R1091,EASY,2,1.0,2,1.0,0.6666666666666666,0.3333333333333333
R0840,EASY,2,1.0,2,1.0,1.0,1.0
R0787,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R1199,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0822,EASY,2,1.0,2,1.0,0.6666666666666666,1.0
R0182,EASY,2,1.0,2,1.0,0.6666666666666666,0.0
R0772,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0207,EASY,2,1.0,15,1.0,0.3333333333333333,1.0
R0646,EASY,2,1.0,2,1.0,1.0,1.0
R0311,EASY,2,1.0,5,1.0,0.6666666666666666,0.3333333333333333
R0103,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0415,EASY,2,1.0,5,1.0,0.3333333333333333,0.6666666666666666
R0944,EASY,5,1.0,15,1.0,0.6666666666666666,1.0
R0540,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R1185,EASY,2,1.0,5,1.0,0.3333333333333333,1.0
R0099,EASY,2,1.0,2,1.0,1.0,1.0
R0174,EASY,2,1.0,40,1.0,0.0,1.0
R0142,EASY,2,1.0,15,1.0,0.6666666666666666,1.0
R0189,EASY,2,1.0,2,1.0,0.3333333333333333,0.6666666666666666
R0018,EASY,5,1.0,5,1.0,1.0,1.0
R0054,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0227,EASY,2,1.0,2,1.0,1.0,1.0
R1086,EASY,2,1.0,2,1.0,0.6666666666666666,0.6666666666666666
R1064,EASY,2,1.0,5,1.0,0.6666666666666666,1.0
R0091,FRAGILE,2,1.0,15,1.0,0.0,1.0
R0146,FRAGILE,2,1.0,5,1.0,0.6666666666666666,1.0
R0267,FRAGILE,15,1.0,15,1.0,1.0,1.0
R0373,FRAGILE,5,1.0,15,1.0,0.3333333333333333,0.6666666666666666
R0430,FRAGILE,5,1.0,15,1.0,0.6666666666666666,1.0
R0491,FRAGILE,15,1.0,15,1.0,1.0,1.0
R0503,FRAGILE,5,1.0,5,1.0,1.0,1.0
R0504,FRAGILE,15,1.0,15,1.0,1.0,1.0
R0523,FRAGILE,2,1.0,5,1.0,0.3333333333333333,1.0
R0641,FRAGILE,5,1.0,15,1.0,0.3333333333333333,1.0
R0671,FRAGILE,15,1.0,5,1.0,1.0,0.6666666666666666
R0680,FRAGILE,5,1.0,2,1.0,0.6666666666666666,0.6666666666666666
R0688,FRAGILE,5,1.0,15,1.0,0.6666666666666666,0.6666666666666666
R0748,FRAGILE,15,1.0,15,1.0,1.0,1.0
R0759,FRAGILE,15,1.0,15,1.0,1.0,1.0
R0866,FRAGILE,5,1.0,2,0.6666666666666666,0.0,0.0
R0954,FRAGILE,2,1.0,15,1.0,0.6666666666666666,1.0
R0958,FRAGILE,40,1.0,15,1.0,0.6666666666666666,0.3333333333333333
R0982,FRAGILE,2,1.0,5,1.0,0.3333333333333333,1.0
R1021,FRAGILE,5,0.6666666666666666,15,0.6666666666666666,0.3333333333333333,0.3333333333333333
R1070,FRAGILE,15,1.0,2,0.6666666666666666,0.6666666666666666,0.0
R1082,FRAGILE,5,1.0,15,1.0,0.3333333333333333,0.6666666666666666
R1094,FRAGILE,15,1.0,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
R1165,FRAGILE,15,1.0,15,1.0,1.0,1.0
R1171,FRAGILE,2,1.0,5,1.0,0.0,0.6666666666666666
