p_unstable,slew_deg_per_s,umax_deg,predicted_region,verdict,R_used,actual_success
6,60.00,8.00,RESCUE,GO,13.3333,1.0000
8,10.00,2.00,INFEASIBLE,NOGO,0.3125,0.0000
4,60.00,8.00,RESCUE,GO,20.0000,1.0000
10,10.00,12.00,INFEASIBLE,NOGO,0.2500,0.0000
12,15.00,2.00,INFEASIBLE,NOGO,0.2083,0.0000
4,15.00,6.00,RESCUE,GO,20.0000,1.0000
8,15.00,8.00,FUNDAMENTAL,MARGINAL,0.6250,0.3750
4,15.00,4.00,RESCUE,GO,20.0000,1.0000
8,40.00,2.00,RESCUE,GO,10.0000,0.9583
8,25.00,2.00,FUNDAMENTAL,MARGINAL,0.6250,0.8750
10,10.00,2.00,INFEASIBLE,NOGO,0.2500,0.0000
12,60.00,12.00,RESCUE,GO,6.6667,0.9583
6,10.00,8.00,FUNDAMENTAL,MARGINAL,0.8333,0.2917
8,10.00,6.00,INFEASIBLE,NOGO,0.3125,0.0000
4,60.00,4.00,RESCUE,GO,20.0000,1.0000
10,15.00,6.00,INFEASIBLE,NOGO,0.2500,0.0000
8,10.00,12.00,INFEASIBLE,NOGO,0.3125,0.0000
10,60.00,12.00,RESCUE,GO,8.0000,1.0000
8,60.00,2.00,RESCUE,GO,10.0000,0.9583
4,10.00,4.00,FUNDAMENTAL,MARGINAL,1.2500,0.5417
6,15.00,12.00,FUNDAMENTAL,MARGINAL,0.8333,0.5417
6,15.00,6.00,FUNDAMENTAL,MARGINAL,0.8333,0.5000
4,60.00,2.00,RESCUE,GO,20.0000,1.0000
12,40.00,2.00,FUNDAMENTAL,MARGINAL,0.4167,0.4167
4,60.00,8.00,RESCUE,GO,20.0000,1.0000
10,40.00,2.00,RESCUE,GO,8.0000,0.5417
6,10.00,12.00,FUNDAMENTAL,MARGINAL,0.8333,0.2500
10,15.00,2.00,INFEASIBLE,NOGO,0.2500,0.0000
6,15.00,8.00,FUNDAMENTAL,MARGINAL,0.8333,0.5000
10,60.00,6.00,RESCUE,GO,8.0000,1.0000
4,40.00,8.00,RESCUE,GO,20.0000,1.0000
8,40.00,6.00,RESCUE,GO,10.0000,1.0000
8,25.00,2.00,FUNDAMENTAL,MARGINAL,0.6250,0.8333
4,10.00,8.00,FUNDAMENTAL,MARGINAL,1.2500,0.5417
6,25.00,12.00,RESCUE,GO,13.3333,1.0000
6,25.00,8.00,RESCUE,GO,13.3333,1.0000
6,10.00,4.00,FUNDAMENTAL,MARGINAL,0.8333,0.2500
4,60.00,12.00,RESCUE,GO,20.0000,1.0000
10,60.00,12.00,RESCUE,GO,8.0000,1.0000
4,60.00,6.00,RESCUE,GO,20.0000,1.0000
12,60.00,4.00,RESCUE,GO,6.6667,0.7500
4,15.00,6.00,RESCUE,GO,20.0000,1.0000
12,60.00,2.00,RESCUE,GO,6.6667,0.3750
8,25.00,4.00,FUNDAMENTAL,MARGINAL,0.6250,0.5833
4,15.00,12.00,RESCUE,GO,20.0000,1.0000
6,25.00,8.00,RESCUE,GO,13.3333,1.0000
6,60.00,12.00,RESCUE,GO,13.3333,1.0000
6,25.00,4.00,RESCUE,GO,13.3333,1.0000
6,10.00,8.00,FUNDAMENTAL,MARGINAL,0.8333,0.3333
8,10.00,4.00,INFEASIBLE,NOGO,0.3125,0.0000
12,15.00,2.00,INFEASIBLE,NOGO,0.2083,0.0000
8,60.00,4.00,RESCUE,GO,10.0000,1.0000
10,40.00,4.00,RESCUE,GO,8.0000,1.0000
10,15.00,8.00,INFEASIBLE,NOGO,0.2500,0.0000
10,25.00,2.00,FUNDAMENTAL,MARGINAL,0.5000,0.5833
12,15.00,2.00,INFEASIBLE,NOGO,0.2083,0.0000
4,25.00,8.00,RESCUE,GO,20.0000,1.0000
4,25.00,4.00,RESCUE,GO,20.0000,1.0000
10,10.00,8.00,INFEASIBLE,NOGO,0.2500,0.0000
6,60.00,2.00,RESCUE,GO,13.3333,1.0000
