rocket_id,regime,wind_mult,sr,rms
R0001,EASY,1.5x,1.0,7.41152457303681
R0002,EASY,1.5x,1.0,3.7115836452250925
R0003,EASY,1.5x,1.0,4.013113330857384
R0004,EASY,1.5x,0.6666666666666666,7.440464785885958
R0005,EASY,1.5x,1.0,5.934295509050326
R0006,EASY,1.5x,1.0,5.2928142708692585
R0007,EASY,1.5x,1.0,4.671165717536741
R0008,EASY,1.5x,1.0,3.8189361972266043
R0009,EASY,1.5x,1.0,2.9911852997119497
R0010,EASY,1.5x,1.0,4.663101511927657
R0011,EASY,1.5x,1.0,4.479175003537164
R0012,EASY,1.5x,1.0,3.7800343158976415
R0013,EASY,1.5x,1.0,3.6885143046007904
R0014,EASY,1.5x,1.0,3.5099088380154555
R0015,EASY,1.5x,1.0,3.623456035356071
R0016,EASY,1.5x,0.6666666666666666,4.121719886752742
R0017,EASY,1.5x,1.0,2.2228311284323112
R0018,EASY,1.5x,0.6666666666666666,6.769317623346654
R0019,EASY,1.5x,1.0,3.0608982136677696
R0020,EASY,1.5x,1.0,5.446578447744964
R0021,EASY,1.5x,1.0,3.411313170583149
R0022,EASY,1.5x,1.0,2.338034154758511
R0023,EASY,1.5x,1.0,2.970225362916057
R0024,EASY,1.5x,1.0,4.822382100549408
R0025,EASY,1.5x,1.0,2.7132837937148437
R0026,EASY,1.5x,0.3333333333333333,9.63859898354749
R0027,EASY,1.5x,1.0,1.847956254380705
R0028,EASY,1.5x,0.6666666666666666,6.959614264778377
R0029,EASY,1.5x,0.6666666666666666,9.855463915750397
R0030,EASY,1.5x,1.0,2.7769260824631843
R0031,EASY,1.5x,1.0,3.1399354454635806
R0032,EASY,1.5x,1.0,1.7660332884575822
R0033,EASY,1.5x,1.0,1.6328720828316434
R0034,EASY,1.5x,1.0,3.359560105569834
R0035,EASY,1.5x,1.0,2.800325303362387
R0036,EASY,1.5x,1.0,4.77106715478086
R0037,EASY,1.5x,1.0,1.7892812131730207
R0038,EASY,1.5x,1.0,5.993671749845315
R0039,EASY,1.5x,1.0,3.207630840762801
R0040,EASY,1.5x,1.0,2.8116761246419038
R0041,EASY,1.5x,1.0,4.805553556309765
R0042,EASY,1.5x,1.0,3.075431589250043
R0043,EASY,1.5x,1.0,2.007700158116577
R0044,EASY,1.5x,1.0,3.218059544121273
R0045,EASY,1.5x,1.0,6.16572892333134
R0046,EASY,1.5x,1.0,3.904027398423212
R0047,EASY,1.5x,0.6666666666666666,8.263694873150714
R0048,EASY,1.5x,1.0,6.101833750193919
R0049,EASY,1.5x,1.0,3.6437946570339563
R0050,EASY,1.5x,1.0,3.7076294893394866
R0051,EASY,1.5x,1.0,4.253352777497138
R0052,EASY,1.5x,1.0,3.3885079386838535
R0053,EASY,1.5x,1.0,3.7196243086048266
R0054,EASY,1.5x,1.0,3.3040104028408717
R0055,EASY,1.5x,1.0,2.0052741137198815
R0056,EASY,1.5x,1.0,2.620948396989115
R0057,EASY,1.5x,1.0,1.3364161196451108
R0058,EASY,1.5x,1.0,2.6676094383924194
R0059,EASY,1.5x,1.0,5.590959447301725
R0060,EASY,1.5x,1.0,3.0773998060587906
R0061,EASY,1.5x,1.0,4.357827120871776
R0062,EASY,1.5x,1.0,3.430403492540566
R0063,EASY,1.5x,1.0,1.5552682862095626
R0064,EASY,1.5x,1.0,3.3917735897813905
R0065,EASY,1.5x,1.0,0.7372601474545254
R0066,EASY,1.5x,1.0,9.687512258931468
R0067,EASY,1.5x,1.0,3.577903126500028
R0068,EASY,1.5x,0.6666666666666666,4.312636439991427
R0069,EASY,1.5x,1.0,2.1084784738517985
R0070,EASY,1.5x,0.6666666666666666,5.002355116583726
R0071,EASY,1.5x,1.0,4.1904019874816925
R0072,EASY,1.5x,1.0,4.422166237227486
R0073,EASY,1.5x,0.6666666666666666,7.381447517929106
R0074,EASY,1.5x,1.0,5.5575121320227625
