rocket_id,Kp,opt_Kd,sr,rms
R0049,0.05,1.0,0.35,9.675031351789583
R0049,0.06832612292675956,1.0,0.3,9.3864356828005
R0049,0.09336918148405317,1.0,0.3,9.293674130825206
R0049,0.1275910834330068,1.0,0.35,8.311773364203038
R0049,0.17435608102004116,1.0,0.35,8.538482551001188
R0049,0.23826150049606765,1.0,0.4,8.094228944977832
R0049,0.32558969143217004,1.0,0.4,8.609314334313293
R0049,0.4449256256096033,1.0,0.5,7.321154138351633
R0049,0.6080008597733432,1.0,0.55,6.739601168571727
R0049,0.830846829688979,1.0,0.6,6.89344877770173
R0049,1.135370852372753,1.0,0.85,6.029122851784142
R0049,1.5515097685336101,1.0,0.95,5.389241121425061
R0049,2.1201729433379146,1.0,1.0,4.7440310486103625
R0049,2.8972639430499196,1.0,1.0,3.977373396698598
R0049,3.9591762464819387,1.0,1.0,3.536954460370777
R0049,5.410303258116627,1.0,1.0,3.1420389084752847
R0049,7.393300909702492,1.0,1.0,2.826097190272452
R0049,10.103111735817121,1.0,1.0,2.5434470259682387
R0049,13.806129088084548,1.0,1.0,2.1442759926853645
R0049,18.866385464303505,1.0,1.0,1.8521190767543856
R0049,25.781339448352636,1.0,1.0,1.6429244164072556
R0049,35.230779367293174,1.0,1.0,1.4122854507598905
R0049,48.143651237104336,1.0,1.0,1.2373772300199752
R0049,65.78938065138858,1.0,1.0,1.1524814064862592
R0049,89.90266619324312,1.0,1.0,1.1868686839326332
R0049,122.85401243525928,1.0,1.0,1.0369488397820796
R0049,167.8827671139434,1.0,1.0,0.9017129027973242
R0049,229.41557166223677,1.0,1.0,0.9656469034238528
R0049,313.5015310141363,1.0,1.0,1.2808200375958485
R0049,428.4068829159843,1.0,0.85,1.7973472874503245
R0049,585.4276268957477,1.0,0.15,12.570025087273507
R0049,800.0,1.0,0.0,56.39006766648091
R0093,0.05,1.0,0.1,19.752264226335765
R0093,0.06832612292675956,1.0,0.3,17.953863331486897
R0093,0.09336918148405317,1.0,0.4,16.81816718738004
R0093,0.1275910834330068,1.0,0.25,17.1291137016242
R0093,0.17435608102004116,1.0,0.15,17.491400502277255
R0093,0.23826150049606765,1.0,0.3,14.081084486339403
R0093,0.32558969143217004,1.0,0.35,16.78167557202226
R0093,0.4449256256096033,1.0,0.25,15.6725477168054
R0093,0.6080008597733432,1.0,0.2,14.386215018065016
R0093,0.830846829688979,1.0,0.35,14.397851903930095
R0093,1.135370852372753,1.0,0.3,13.032370407933637
R0093,1.5515097685336101,1.0,0.4,11.663689403132233
R0093,2.1201729433379146,1.0,0.7,8.297218937667646
R0093,2.8972639430499196,1.0,0.8,7.510850009758675
R0093,3.9591762464819387,1.0,0.75,6.592595686816591
R0093,5.410303258116627,1.0,0.8,6.26548601547813
R0093,7.393300909702492,1.0,1.0,4.61234978112072
R0093,10.103111735817121,1.0,0.95,4.190455484385151
R0093,13.806129088084548,1.0,0.95,4.647590531166814
R0093,18.866385464303505,1.0,1.0,3.4583843360969255
R0093,25.781339448352636,1.0,1.0,2.6128500839239286
R0093,35.230779367293174,1.0,1.0,2.470213557261996
R0093,48.143651237104336,1.0,1.0,2.17562055768159
R0093,65.78938065138858,1.0,1.0,1.994213409610834
R0093,89.90266619324312,1.0,1.0,1.8253999418562716
R0093,122.85401243525928,1.0,1.0,1.669463346440489
R0093,167.8827671139434,1.0,1.0,1.2910211723261715
R0093,229.41557166223677,1.0,1.0,1.5136095323782603
R0093,313.5015310141363,1.0,1.0,1.2695235855862743
R0093,428.4068829159843,1.0,1.0,1.695606940114003
R0093,585.4276268957477,1.0,0.9,1.9924131091523543
R0093,800.0,1.0,0.6,3.0912485905876284
R0213,0.05,1.0,0.05,33.623339311473885
R0213,0.06832612292675956,1.0,0.1,36.58087581490036
R0213,0.09336918148405317,1.0,0.05,29.958995502523692
R0213,0.1275910834330068,1.0,0.15,28.20169344188036
R0213,0.17435608102004116,1.0,0.1,31.466142488809094
R0213,0.23826150049606765,1.0,0.15,32.315117636206914
R0213,0.32558969143217004,1.0,0.1,28.57819505823963
R0213,0.4449256256096033,1.0,0.25,27.936472699426552
R0213,0.6080008597733432,1.0,0.2,26.789288256000408
R0213,0.830846829688979,1.0,0.15,23.5793473561391
R0213,1.135370852372753,1.0,0.25,24.82512535711324
R0213,1.5515097685336101,1.0,0.35,14.812139486006279
R0213,2.1201729433379146,1.0,0.35,16.823147722559312
R0213,2.8972639430499196,1.0,0.45,14.43789512888451
R0213,3.9591762464819387,1.0,0.4,12.768960977702609
R0213,5.410303258116627,1.0,0.45,10.988349541435573
R0213,7.393300909702492,1.0,0.6,9.29795735245309
R0213,10.103111735817121,1.0,0.5,9.069524217376712
R0213,13.806129088084548,1.0,0.75,8.841658137725691
R0213,18.866385464303505,1.0,1.0,6.012323535372548
R0213,25.781339448352636,1.0,0.85,6.6950525161043455
R0213,35.230779367293174,1.0,0.85,6.46745492057655
R0213,48.143651237104336,1.0,0.65,6.316667412872873
R0213,65.78938065138858,1.0,0.75,6.764773482364535
R0213,89.90266619324312,1.0,0.65,6.823923289997071
R0213,122.85401243525928,1.0,0.4,10.643593566750543
R0213,167.8827671139434,1.0,0.0,23.473128312340073
R0213,229.41557166223677,1.0,0.0,76.90267924052016
R0213,313.5015310141363,1.0,0.0,207.55651250427505
R0213,428.4068829159843,1.0,0.0,333.26944134077695
R0213,585.4276268957477,1.0,0.0,456.4168127035765
R0213,800.0,1.0,0.0,575.41529032008
R0234,0.05,1.0,0.55,9.033584508782564
R0234,0.06832612292675956,1.0,0.55,8.96762873738648
R0234,0.09336918148405317,1.0,0.55,8.839712403684196
R0234,0.1275910834330068,1.0,0.55,8.578010999085484
R0234,0.17435608102004116,1.0,0.6,8.629242600923885
R0234,0.23826150049606765,1.0,0.6,8.248266887967068
R0234,0.32558969143217004,1.0,0.6,8.095662299366527
R0234,0.4449256256096033,1.0,0.6,7.591557543992638
R0234,0.6080008597733432,1.0,0.6,7.128809925121618
R0234,0.830846829688979,1.0,0.85,6.679085062250698
R0234,1.135370852372753,1.0,0.9,6.069198035658131
R0234,1.5515097685336101,1.0,0.95,5.0252356576959105
R0234,2.1201729433379146,1.0,1.0,4.264987584768002
R0234,2.8972639430499196,1.0,1.0,3.5656122651018487
R0234,3.9591762464819387,1.0,1.0,3.032458853451039
R0234,5.410303258116627,1.0,1.0,2.6028528560156152
R0234,7.393300909702492,1.0,1.0,2.2687051422696585
R0234,10.103111735817121,1.0,1.0,2.0503595158836054
R0234,13.806129088084548,1.0,1.0,1.8213653452504164
R0234,18.866385464303505,1.0,1.0,1.7490419431057689
R0234,25.781339448352636,1.0,1.0,1.479989302250361
R0234,35.230779367293174,1.0,1.0,1.2852955343965973
R0234,48.143651237104336,1.0,1.0,1.1350183111372911
R0234,65.78938065138858,1.0,1.0,1.136947834298168
R0234,89.90266619324312,1.0,1.0,1.2067657137645333
R0234,122.85401243525928,1.0,1.0,1.0760138430094712
R0234,167.8827671139434,1.0,1.0,1.3881418710744797
R0234,229.41557166223677,1.0,0.95,2.299086295571144
R0234,313.5015310141363,1.0,0.45,6.66406181113622
R0234,428.4068829159843,1.0,0.05,28.881491359962546
R0234,585.4276268957477,1.0,0.0,59.13397090342441
R0234,800.0,1.0,0.0,101.84993867644401
R0259,0.05,1.0,0.6,8.165028446403012
R0259,0.06832612292675956,1.0,0.6,7.969705863191639
R0259,0.09336918148405317,1.0,0.55,8.06515029844982
R0259,0.1275910834330068,1.0,0.55,7.851864224230556
R0259,0.17435608102004116,1.0,0.6,7.6567497330541645
R0259,0.23826150049606765,1.0,0.6,7.482101086033109
R0259,0.32558969143217004,1.0,0.6,7.068857016839543
R0259,0.4449256256096033,1.0,0.65,6.60579418580622
R0259,0.6080008597733432,1.0,0.7,6.233653645942886
R0259,0.830846829688979,1.0,0.8,5.6362831662319035
R0259,1.135370852372753,1.0,0.95,5.130888671341613
R0259,1.5515097685336101,1.0,1.0,4.318109228141497
R0259,2.1201729433379146,1.0,1.0,3.7544995512588186
R0259,2.8972639430499196,1.0,1.0,3.19083353075407
R0259,3.9591762464819387,1.0,1.0,2.796919762247603
R0259,5.410303258116627,1.0,1.0,2.445526649071741
R0259,7.393300909702492,1.0,1.0,2.0882101809089937
R0259,10.103111735817121,1.0,1.0,1.805569472596991
R0259,13.806129088084548,1.0,1.0,1.5618951204249485
R0259,18.866385464303505,1.0,1.0,1.3793165534660976
R0259,25.781339448352636,1.0,1.0,1.2107186081545784
R0259,35.230779367293174,1.0,1.0,1.0855989617581776
R0259,48.143651237104336,1.0,1.0,0.9287181352896479
R0259,65.78938065138858,1.0,1.0,0.8407680208111318
R0259,89.90266619324312,1.0,1.0,0.7393860581081988
R0259,122.85401243525928,1.0,1.0,0.5992969348827815
R0259,167.8827671139434,1.0,1.0,0.6132496037425006
R0259,229.41557166223677,1.0,1.0,0.5975090970310281
R0259,313.5015310141363,1.0,1.0,0.5028807098222655
R0259,428.4068829159843,1.0,1.0,0.5051035248528432
R0259,585.4276268957477,1.0,1.0,0.44246241274054593
R0259,800.0,1.0,1.0,0.47115623647191995
R0266,0.05,1.0,0.15,17.941411307453343
R0266,0.06832612292675956,1.0,0.25,17.245956933841683
R0266,0.09336918148405317,1.0,0.2,16.086610329371425
R0266,0.1275910834330068,1.0,0.2,17.59218978274333
R0266,0.17435608102004116,1.0,0.3,15.912322991177382
R0266,0.23826150049606765,1.0,0.2,15.729856691583555
R0266,0.32558969143217004,1.0,0.1,15.667560857936317
R0266,0.4449256256096033,1.0,0.3,14.631428108367015
R0266,0.6080008597733432,1.0,0.35,13.18500608343901
R0266,0.830846829688979,1.0,0.35,12.322896249822573
R0266,1.135370852372753,1.0,0.35,11.181114956223183
R0266,1.5515097685336101,1.0,0.65,9.129309456991313
R0266,2.1201729433379146,1.0,0.7,8.17453303985049
R0266,2.8972639430499196,1.0,0.85,7.429729161078022
R0266,3.9591762464819387,1.0,0.95,6.3569527741448635
R0266,5.410303258116627,1.0,0.8,6.281820040910516
R0266,7.393300909702492,1.0,1.0,4.873954456898531
R0266,10.103111735817121,1.0,0.95,4.597219436724151
