rocket_id,current_regime,target_regime,improvement_rank,limiting_factor,current_value,easy_median_value,required_change_pct,prob_lift_to_target_regime
R0001,INFEASIBLE,FRAGILE,1,Iyy,0.016076,0.027866,73.34,0.1062
R0001,INFEASIBLE,FRAGILE,2,backlash,0.117593,0.046223,-60.69,0.0866
R0001,INFEASIBLE,FRAGILE,3,servo_slew_deg_s,33.788661,74.855953,121.54,0.0436
R0001,INFEASIBLE,FRAGILE,4,static_margin,0.218511,0.130246,-40.39,0.0281
R0001,INFEASIBLE,FRAGILE,5,max_gimbal_deg,12.998488,11.163395,-14.12,0.02
R0003,FRAGILE,EASY,1,backlash,0.108053,0.046223,-57.22,0.6516
R0003,FRAGILE,EASY,2,Iyy,0.021788,0.027866,27.9,0.1459
R0003,FRAGILE,EASY,3,thrust,37.763374,35.274838,-6.59,0.0953
R0003,FRAGILE,EASY,4,control_effectiveness,10.77633,8.881821,-17.58,0.056
R0003,FRAGILE,EASY,5,static_margin,0.057422,0.130246,126.82,0.0279
R0004,INFEASIBLE,FRAGILE,1,backlash,0.238566,0.046223,-80.62,0.0533
R0004,INFEASIBLE,FRAGILE,2,Iyy,0.020623,0.027866,35.12,0.0198
R0004,INFEASIBLE,FRAGILE,3,control_effectiveness,13.174359,8.881821,-32.58,0.0161
R0004,INFEASIBLE,FRAGILE,4,Cm_alpha,-35.750746,-48.954533,-36.93,0.0065
R0004,INFEASIBLE,FRAGILE,5,best_u_max_frac,0.748351,0.744226,-0.55,0.0054
R0005,INFEASIBLE,FRAGILE,1,control_effectiveness,5.432275,8.881821,63.5,0.0323
R0005,INFEASIBLE,FRAGILE,2,p_unstable,2.196358,1.152109,-47.54,0.0227
R0005,INFEASIBLE,FRAGILE,3,servo_slew_deg_s,36.97003,74.855953,102.48,0.0134
R0005,INFEASIBLE,FRAGILE,4,Iyy,0.013223,0.027866,110.74,0.0073
R0005,INFEASIBLE,FRAGILE,5,deadband,0.063747,0.079617,24.9,0.0058
R0006,FRAGILE,EASY,1,backlash,0.21115,0.046223,-78.11,0.6702
R0006,FRAGILE,EASY,2,thrust,43.378463,35.274838,-18.68,0.0643
R0006,FRAGILE,EASY,3,mass,0.958805,1.544939,61.13,0.0301
R0006,FRAGILE,EASY,4,wind_strength,0.07047,0.245771,248.76,0.0173
R0006,FRAGILE,EASY,5,deadband,0.049101,0.079617,62.15,0.0146
R0008,FRAGILE,EASY,1,backlash,0.106432,0.046223,-56.57,0.4586
R0008,FRAGILE,EASY,2,Iyy,0.010428,0.027866,167.22,0.4098
R0008,FRAGILE,EASY,3,Cm_alpha,-62.635269,-48.954533,21.84,0.0672
R0008,FRAGILE,EASY,4,deadband,0.011057,0.079617,620.05,0.0533
R0008,FRAGILE,EASY,5,wind_strength,0.104008,0.245771,136.3,0.0457
R0009,INFEASIBLE,FRAGILE,1,backlash,0.160879,0.046223,-71.27,0.1246
R0009,INFEASIBLE,FRAGILE,2,Iyy,0.013102,0.027866,112.7,0.0571
R0009,INFEASIBLE,FRAGILE,3,control_effectiveness,11.347525,8.881821,-21.73,0.0415
R0009,INFEASIBLE,FRAGILE,4,p_unstable,1.391687,1.152109,-17.21,0.0133
R0009,INFEASIBLE,FRAGILE,5,servo_slew_deg_s,51.193004,74.855953,46.22,0.0088
R0010,INFEASIBLE,FRAGILE,1,backlash,0.19422,0.046223,-76.2,0.0672
R0010,INFEASIBLE,FRAGILE,2,p_unstable,2.177245,1.152109,-47.08,0.0558
R0010,INFEASIBLE,FRAGILE,3,static_margin,0.19042,0.130246,-31.6,0.0341
R0010,INFEASIBLE,FRAGILE,4,Cm_alpha,-69.006772,-48.954533,29.06,0.0195
R0010,INFEASIBLE,FRAGILE,5,control_effectiveness,7.047676,8.881821,26.02,0.0106
R0011,INFEASIBLE,FRAGILE,1,static_margin,0.207925,0.130246,-37.36,0.0372
R0011,INFEASIBLE,FRAGILE,2,control_effectiveness,12.313653,8.881821,-27.87,0.0218
R0011,INFEASIBLE,FRAGILE,3,mass,1.935984,1.544939,-20.2,0.0151
R0011,INFEASIBLE,FRAGILE,4,backlash,0.227868,0.046223,-79.71,0.0129
R0011,INFEASIBLE,FRAGILE,5,servo_slew_deg_s,31.778577,74.855953,135.55,0.0113
R0013,INFEASIBLE,FRAGILE,1,Iyy,0.016138,0.027866,72.68,0.0924
R0013,INFEASIBLE,FRAGILE,2,backlash,0.147156,0.046223,-68.59,0.0747
R0013,INFEASIBLE,FRAGILE,3,servo_slew_deg_s,50.140583,74.855953,49.29,0.0279
R0013,INFEASIBLE,FRAGILE,4,p_unstable,1.77439,1.152109,-35.07,0.0182
R0013,INFEASIBLE,FRAGILE,5,static_margin,0.147424,0.130246,-11.65,0.01
R0014,INFEASIBLE,FRAGILE,1,best_u_max_frac,0.998088,0.744226,-25.43,0.0495
