parameter_a,parameter_b,interaction_strength,pair_r2,rank
mass,Iyy,0.0,7.227551890309769e-14,1
mass,static_margin,0.0,7.227551890309769e-14,2
mass,Cm_alpha,0.0,7.227551890309769e-14,3
mass,control_effectiveness,0.0,7.227551890309769e-14,4
mass,thrust,0.0,7.227551890309769e-14,5
mass,deadband,0.0,7.227551890309769e-14,6
mass,backlash,0.0,7.227551890309769e-14,7
mass,latency,0.0,7.227551890309769e-14,8
mass,wind_strength,0.0,7.227551890309769e-14,9
mass,servo_slew,0.0,7.227551890309769e-14,10
mass,max_gimbal,0.0,7.227551890309769e-14,11
Iyy,static_margin,0.0,7.227551890309769e-14,12
Iyy,Cm_alpha,0.0,7.227551890309769e-14,13
Iyy,control_effectiveness,0.0,7.227551890309769e-14,14
Iyy,thrust,0.0,7.227551890309769e-14,15
Iyy,deadband,0.0,7.227551890309769e-14,16
Iyy,backlash,0.0,7.227551890309769e-14,17
Iyy,latency,0.0,7.227551890309769e-14,18
Iyy,wind_strength,0.0,7.227551890309769e-14,19
Iyy,servo_slew,0.0,7.227551890309769e-14,20
Iyy,max_gimbal,0.0,7.227551890309769e-14,21
static_margin,Cm_alpha,0.0,7.227551890309769e-14,22
static_margin,control_effectiveness,0.0,7.227551890309769e-14,23
static_margin,thrust,0.0,7.227551890309769e-14,24
static_margin,deadband,0.0,7.227551890309769e-14,25
static_margin,backlash,0.0,7.227551890309769e-14,26
static_margin,latency,0.0,7.227551890309769e-14,27
static_margin,wind_strength,0.0,7.227551890309769e-14,28
static_margin,servo_slew,0.0,7.227551890309769e-14,29
static_margin,max_gimbal,0.0,7.227551890309769e-14,30
Cm_alpha,control_effectiveness,0.0,7.227551890309769e-14,31
Cm_alpha,thrust,0.0,7.227551890309769e-14,32
Cm_alpha,deadband,0.0,7.227551890309769e-14,33
Cm_alpha,backlash,0.0,7.227551890309769e-14,34
Cm_alpha,latency,0.0,7.227551890309769e-14,35
Cm_alpha,wind_strength,0.0,7.227551890309769e-14,36
Cm_alpha,servo_slew,0.0,7.227551890309769e-14,37
Cm_alpha,max_gimbal,0.0,7.227551890309769e-14,38
control_effectiveness,thrust,0.0,7.227551890309769e-14,39
control_effectiveness,deadband,0.0,7.227551890309769e-14,40
control_effectiveness,backlash,0.0,7.227551890309769e-14,41
control_effectiveness,latency,0.0,7.227551890309769e-14,42
control_effectiveness,wind_strength,0.0,7.227551890309769e-14,43
control_effectiveness,servo_slew,0.0,7.227551890309769e-14,44
control_effectiveness,max_gimbal,0.0,7.227551890309769e-14,45
thrust,deadband,0.0,7.227551890309769e-14,46
thrust,backlash,0.0,7.227551890309769e-14,47
thrust,latency,0.0,7.227551890309769e-14,48
thrust,wind_strength,0.0,7.227551890309769e-14,49
thrust,servo_slew,0.0,7.227551890309769e-14,50
thrust,max_gimbal,0.0,7.227551890309769e-14,51
deadband,backlash,0.0,7.227551890309769e-14,52
deadband,latency,0.0,7.227551890309769e-14,53
deadband,wind_strength,0.0,7.227551890309769e-14,54
deadband,servo_slew,0.0,7.227551890309769e-14,55
deadband,max_gimbal,0.0,7.227551890309769e-14,56
backlash,latency,0.0,7.227551890309769e-14,57
backlash,wind_strength,0.0,7.227551890309769e-14,58
backlash,servo_slew,0.0,7.227551890309769e-14,59
backlash,max_gimbal,0.0,7.227551890309769e-14,60
latency,wind_strength,0.0,7.227551890309769e-14,61
latency,servo_slew,0.0,7.227551890309769e-14,62
latency,max_gimbal,0.0,7.227551890309769e-14,63
wind_strength,servo_slew,0.0,7.227551890309769e-14,64
wind_strength,max_gimbal,0.0,7.227551890309769e-14,65
servo_slew,max_gimbal,0.0,7.227551890309769e-14,66
