section,name,value
metric,accuracy,0.5476190476190477
metric,balanced_accuracy,0.25
metric,macro_f1,0.17692307692307693
metric,n_splits,5.0
metric,n_samples,168.0
metric,target,dominant_missing_physics
feature_importance,mass,0.0
feature_importance,Iyy,0.0
feature_importance,static_margin,0.0
feature_importance,Cm_alpha,0.0
feature_importance,control_effectiveness,0.0
feature_importance,thrust,0.0
feature_importance,deadband,0.0
feature_importance,backlash,0.0
feature_importance,latency,0.0
feature_importance,wind_strength,0.0
feature_importance,servo_slew,0.0
feature_importance,max_gimbal,0.0
