parameter,mean_EASY,median_EASY,std_EASY,mean_FRAGILE,median_FRAGILE,std_FRAGILE,mean_INFEASIBLE,median_INFEASIBLE,std_INFEASIBLE,effect_size_easy_vs_infeasible
mass,1.1999999999999997,1.2,2.304265763365491e-16,1.2000000000000002,1.2,2.253838089150372e-16,1.1999999999999997,1.2,2.2297561364112263e-16,0.0
Iyy,0.017999999999999995,0.018,3.6004152552585795e-18,0.018,0.018,0.0,0.018,0.018,0.0,0.0
static_margin,0.10000000000000002,0.1,1.4401661021034318e-17,0.1,0.1,0.0,0.10000000000000002,0.1,1.3935975852570164e-17,0.0
Cm_alpha,-52.0,-52.0,0.0,-52.0,-52.0,0.0,-52.0,-52.0,0.0,0.0
control_effectiveness,8.0,8.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0
thrust,35.0,35.0,0.0,35.0,35.0,0.0,35.0,35.0,0.0,0.0
deadband,0.05000000000000001,0.05,7.200830510517159e-18,0.05,0.05,0.0,0.05000000000000001,0.05,6.967987926285082e-18,0.0
backlash,0.10000000000000002,0.1,1.4401661021034318e-17,0.1,0.1,0.0,0.10000000000000002,0.1,1.3935975852570164e-17,0.0
latency,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0
wind_strength,0.14999999999999997,0.15,2.8803322042068636e-17,0.15000000000000002,0.15,2.817297611437965e-17,0.14999999999999997,0.15,2.787195170514033e-17,0.0
servo_slew,75.0,75.0,0.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0
max_gimbal,15.0,15.0,0.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0
