section,name,value
metric,accuracy,0.7142857142857143
metric,balanced_accuracy,0.3333333333333333
metric,macro_f1,0.2777777777777778
metric,n_splits,5.0
metric,n_samples,168.0
metric,target,regime_label
feature_importance,mass,0.0
feature_importance,Iyy,0.0
feature_importance,static_margin,0.0
feature_importance,Cm_alpha,0.0
feature_importance,control_effectiveness,0.0
feature_importance,thrust,0.0
feature_importance,deadband,0.0
feature_importance,backlash,0.0
feature_importance,latency,0.0
feature_importance,wind_strength,0.0
feature_importance,servo_slew,0.0
feature_importance,max_gimbal,0.0
