parameter,min,max,mean,std,unique_values,missing
mass,1.2,1.2,1.1999999999999997,2.2270841688409913e-16,1,0
Iyy,0.018,0.018,0.017999999999999995,3.479819013814049e-18,1,0
static_margin,0.1,0.1,0.09999999999999998,2.783855211051239e-17,1,0
Cm_alpha,-52.0,-52.0,-52.0,0.0,1,0
control_effectiveness,8.0,8.0,8.0,0.0,1,0
thrust,35.0,35.0,35.0,0.0,1,0
deadband,0.05,0.05,0.04999999999999999,1.3919276055256196e-17,1,0
backlash,0.1,0.1,0.09999999999999998,2.783855211051239e-17,1,0
latency,3.0,3.0,3.0,0.0,1,0
wind_strength,0.15,0.15,0.14999999999999997,2.783855211051239e-17,1,0
servo_slew,75.0,75.0,75.0,0.0,1,0
max_gimbal,15.0,15.0,15.0,0.0,1,0
