feature,mean_abs_shap,perm_importance_mean,pdp_effect_strength_mean,interaction_participation,shap_norm,perm_norm,pdp_norm,interaction_norm,composite_equal_weight,composite_rank
backlash,0.21554106152631292,0.3310400811770674,0.5536471616208841,0.09166243710031406,1.0,1.0,1.0,0.0,0.75,1
mass,0.008636414715592943,0.007964372287051066,0.011505060633051059,0.4193819293468571,0.017447887764612313,0.04179714865165364,0.006616187995228925,1.0,0.2664653061028737,2
thrust,0.006522457428726489,0.01000169118890576,0.009459100349946894,0.4000231509298561,0.00740909342430846,0.047839586158237024,0.002867311415569992,0.9409288160301511,0.24976120175706665,3
control_effectiveness,0.03450574934534521,0.028616607475054918,0.10742899228360643,0.23059911131800628,0.1402965998374734,0.1030491403654555,0.18238058760907172,0.4239499862070161,0.21241907850475417,4
best_u_max_frac,0.015744583748616363,0.01152432493376171,0.03441569808099434,0.31918763250087295,0.05120327511418961,0.05235553073634476,0.04859606065597239,0.6942681188746378,0.21160574634528614,5
wind_strength,0.00840459465903376,-0.0011719939117199596,0.023453406116414093,0.3439146641245452,0.016347016954112222,0.014699809230182886,0.028509512571546113,0.7697199373007146,0.20731906901413896,6
Cm_alpha,0.015152152358272452,-0.006128304864986815,0.024667634582184572,0.3348615568516989,0.04838992740591186,0.0,0.030734381106518747,0.7420953757868829,0.20530492107482837,7
deadband,0.008690042528943877,-0.0010671401995603347,0.016675441035037274,0.34000883666122117,0.017702556386582555,0.015010792455480131,0.016090036611451954,0.7578017342162742,0.2016512799174472,8
max_gimbal_deg,0.010003777183638022,0.00817013360392349,0.024809214244156153,0.30799880718250383,0.02394124062970358,0.04240741143247901,0.0309938019189873,0.6601266485529648,0.18936727563353367,9
servo_slew_deg_s,0.011724198601100163,0.013968092902643855,0.036429489688556464,0.26287242206268163,0.03211120550830216,0.05960344622916127,0.05228599357219167,0.5224284457073627,0.16660727275425447,10
static_margin,0.013590240623204564,0.007614296183550344,0.045724583294777583,0.2296200714772475,0.04097269585470302,0.04075886594783853,0.06931768231701456,0.4209625537718948,0.14300294947286274,11
p_unstable,0.024537003647145793,0.012143300073284772,0.06263073994468661,0.19786687486493804,0.09295686004388752,0.054191334937293355,0.10029535829649608,0.3240711653633544,0.14287867966025783,12
Iyy,0.011286443468277675,0.01430182084672186,0.022251833727021414,0.23300344825111566,0.03003238689776561,0.06059324230107526,0.026307834158451667,0.43128655601745813,0.13705500484368766,13
latency_steps,0.004962259410672747,-0.004977168949771719,0.007894256815919135,0.1754423626527123,0.0,0.0034141276669738463,0.0,0.25564523177452836,0.06476483986037555,14
