feature,mean_abs_shap,shap_rank,perm_importance_mean,perm_rank,pdp_effect_strength_mean,pdp_rank,interaction_participation,composite_equal_weight,composite_rank
backlash,0.21554106152631292,1,0.3310400811770674,1,0.5536471616208841,1,0.09166243710031406,0.75,1
mass,0.008636414715592943,11,0.007964372287051066,9,0.011505060633051059,12,0.4193819293468571,0.2664653061028737,2
thrust,0.006522457428726489,13,0.01000169118890576,7,0.009459100349946894,13,0.4000231509298561,0.24976120175706665,3
control_effectiveness,0.03450574934534521,2,0.028616607475054918,2,0.10742899228360643,2,0.23059911131800628,0.21241907850475417,4
best_u_max_frac,0.015744583748616363,4,0.01152432493376171,6,0.03441569808099434,6,0.31918763250087295,0.21160574634528614,5
wind_strength,0.00840459465903376,12,-0.0011719939117199596,12,0.023453406116414093,9,0.3439146641245452,0.20731906901413896,6
Cm_alpha,0.015152152358272452,5,-0.006128304864986815,14,0.024667634582184572,8,0.3348615568516989,0.20530492107482837,7
deadband,0.008690042528943877,10,-0.0010671401995603347,11,0.016675441035037274,11,0.34000883666122117,0.2016512799174472,8
max_gimbal_deg,0.010003777183638022,9,0.00817013360392349,8,0.024809214244156153,7,0.30799880718250383,0.18936727563353367,9
servo_slew_deg_s,0.011724198601100163,7,0.013968092902643855,4,0.036429489688556464,5,0.26287242206268163,0.16660727275425447,10
static_margin,0.013590240623204564,6,0.007614296183550344,10,0.045724583294777583,4,0.2296200714772475,0.14300294947286274,11
p_unstable,0.024537003647145793,3,0.012143300073284772,5,0.06263073994468661,3,0.19786687486493804,0.14287867966025783,12
Iyy,0.011286443468277675,8,0.01430182084672186,3,0.022251833727021414,10,0.23300344825111566,0.13705500484368766,13
latency_steps,0.004962259410672747,14,-0.004977168949771719,13,0.007894256815919135,14,0.1754423626527123,0.06476483986037555,14
