feature,perm_importance_mean,perm_importance_std,perm_rank
backlash,0.3310400811770674,0.023974371234546335,1
control_effectiveness,0.028616607475054918,0.011670230332328467,2
Iyy,0.01430182084672186,0.010642740095210143,3
servo_slew_deg_s,0.013968092902643855,0.009557099024980859,4
p_unstable,0.012143300073284772,0.021366216342295477,5
best_u_max_frac,0.01152432493376171,0.012997483541621307,6
thrust,0.01000169118890576,0.00184046735880179,7
max_gimbal_deg,0.00817013360392349,0.01845288867852917,8
mass,0.007964372287051066,0.012094359070257025,9
static_margin,0.007614296183550344,0.01373714143182424,10
deadband,-0.0010671401995603347,0.006538482106379734,11
wind_strength,-0.0011719939117199596,0.003641693661985997,12
latency_steps,-0.004977168949771719,0.0030717545061092633,13
Cm_alpha,-0.006128304864986815,0.009480457956233937,14
