feature,mean_abs_shap,shap_rank
backlash,0.21554106152631292,1
control_effectiveness,0.03450574934534521,2
p_unstable,0.024537003647145793,3
best_u_max_frac,0.015744583748616363,4
Cm_alpha,0.015152152358272452,5
static_margin,0.013590240623204564,6
servo_slew_deg_s,0.011724198601100163,7
Iyy,0.011286443468277675,8
max_gimbal_deg,0.010003777183638022,9
deadband,0.008690042528943877,10
mass,0.008636414715592943,11
wind_strength,0.00840459465903376,12
thrust,0.006522457428726489,13
latency_steps,0.004962259410672747,14
