feature_a,feature_b,interaction_strength_h2,interaction_rank
mass,thrust,0.08048209065146444,1
mass,deadband,0.0705910017832813,2
max_gimbal_deg,best_u_max_frac,0.056593464849664876,3
max_gimbal_deg,thrust,0.048797551989177256,4
mass,wind_strength,0.0482584550195714,5
Cm_alpha,wind_strength,0.04667096466750237,6
latency_steps,wind_strength,0.03941630203625763,7
Cm_alpha,thrust,0.03930868591543655,8
p_unstable,best_u_max_frac,0.037922408571029825,9
best_u_max_frac,wind_strength,0.037550763607300454,10
thrust,wind_strength,0.036640662782356705,11
control_effectiveness,backlash,0.03602328334060479,12
thrust,deadband,0.035250794698896165,13
best_u_max_frac,thrust,0.03517513905172422,14
mass,latency_steps,0.03509977996715134,15
Cm_alpha,deadband,0.03499200084439604,16
max_gimbal_deg,mass,0.03405005942818867,17
Iyy,thrust,0.033593351004230616,18
servo_slew_deg_s,wind_strength,0.032447070123667286,19
max_gimbal_deg,deadband,0.031707395359195034,20
servo_slew_deg_s,static_margin,0.03040732393444152,21
best_u_max_frac,Iyy,0.030122193918847323,22
servo_slew_deg_s,mass,0.029886331335708533,23
Iyy,Cm_alpha,0.028542969208215762,24
mass,Cm_alpha,0.027691620721187696,25
mass,Iyy,0.027122612142311,26
static_margin,control_effectiveness,0.025771676942949583,27
servo_slew_deg_s,Cm_alpha,0.025326477322131096,28
Cm_alpha,control_effectiveness,0.02522953534249045,29
control_effectiveness,deadband,0.025191212090547022,30
static_margin,Cm_alpha,0.024734246210191685,31
max_gimbal_deg,Cm_alpha,0.02442459086176046,32
servo_slew_deg_s,deadband,0.024210494572398395,33
max_gimbal_deg,wind_strength,0.02409273366719644,34
Cm_alpha,latency_steps,0.02395481497042203,35
static_margin,wind_strength,0.023791530492670156,36
servo_slew_deg_s,thrust,0.023458810489467293,37
static_margin,deadband,0.022678141471214986,38
control_effectiveness,thrust,0.022148404470742584,39
servo_slew_deg_s,max_gimbal_deg,0.021851736156299557,40
deadband,wind_strength,0.021787993135332515,41
deadband,latency_steps,0.021514664016642458,42
best_u_max_frac,static_margin,0.021181500010173354,43
p_unstable,backlash,0.020470927024608194,44
max_gimbal_deg,Iyy,0.02040280813507184,45
best_u_max_frac,mass,0.020301771057330116,46
p_unstable,static_margin,0.02022992136113258,47
best_u_max_frac,control_effectiveness,0.019211130715055754,48
servo_slew_deg_s,Iyy,0.018431917373602783,49
Iyy,deadband,0.01831631394682759,50
best_u_max_frac,deadband,0.01818980218338549,51
servo_slew_deg_s,best_u_max_frac,0.017351850314820182,52
mass,control_effectiveness,0.01723597380763121,53
p_unstable,Cm_alpha,0.016714852250752258,54
mass,static_margin,0.016660680714913587,55
p_unstable,control_effectiveness,0.016062778168629638,56
max_gimbal_deg,static_margin,0.016055931368607414,57
thrust,latency_steps,0.015738871111389708,58
Iyy,wind_strength,0.01485772935891846,59
best_u_max_frac,Cm_alpha,0.014803929069078412,60
p_unstable,deadband,0.014231339486634504,61
p_unstable,thrust,0.014112377672231962,62
p_unstable,servo_slew_deg_s,0.013195278789618152,63
servo_slew_deg_s,control_effectiveness,0.012496326905097166,64
p_unstable,Iyy,0.01135522908982626,65
static_margin,thrust,0.01119567507560576,66
Iyy,control_effectiveness,0.01048201529667589,67
p_unstable,mass,0.010144063435332437,68
p_unstable,max_gimbal_deg,0.01010638397385801,69
max_gimbal_deg,control_effectiveness,0.009461437608922594,70
control_effectiveness,wind_strength,0.008706575735022875,71
Iyy,static_margin,0.008629124171344512,72
servo_slew_deg_s,latency_steps,0.008530157744835417,73
p_unstable,wind_strength,0.00815931377111882,74
max_gimbal_deg,latency_steps,0.007645910825291822,75
best_u_max_frac,latency_steps,0.007050001020596113,76
static_margin,backlash,0.006216550324100147,77
Iyy,latency_steps,0.0060136566252734225,78
servo_slew_deg_s,backlash,0.0052786470005942035,79
p_unstable,latency_steps,0.0051620012701653825,80
Iyy,backlash,0.005133527979970223,81
thrust,backlash,0.004120736017132762,82
best_u_max_frac,backlash,0.0037336781318667994,83
max_gimbal_deg,backlash,0.002808802959269828,84
control_effectiveness,latency_steps,0.0025787608936366957,85
Cm_alpha,backlash,0.002466869468134053,86
static_margin,latency_steps,0.0020677693999021935,87
mass,backlash,0.0018574892827853391,88
backlash,wind_strength,0.0015345697276300987,89
deadband,backlash,0.0013476830724695474,90
backlash,latency_steps,0.0006696727711480896,91
