,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength
p_unstable,0.0,0.013195278789618152,0.01010638397385801,0.037922408571029825,0.010144063435332437,0.01135522908982626,0.02022992136113258,0.016714852250752258,0.016062778168629638,0.014112377672231962,0.014231339486634504,0.020470927024608194,0.0051620012701653825,0.00815931377111882
servo_slew_deg_s,0.013195278789618152,0.0,0.021851736156299557,0.017351850314820182,0.029886331335708533,0.018431917373602783,0.03040732393444152,0.025326477322131096,0.012496326905097166,0.023458810489467293,0.024210494572398395,0.0052786470005942035,0.008530157744835417,0.032447070123667286
max_gimbal_deg,0.01010638397385801,0.021851736156299557,0.0,0.056593464849664876,0.03405005942818867,0.02040280813507184,0.016055931368607414,0.02442459086176046,0.009461437608922594,0.048797551989177256,0.031707395359195034,0.002808802959269828,0.007645910825291822,0.02409273366719644
best_u_max_frac,0.037922408571029825,0.017351850314820182,0.056593464849664876,0.0,0.020301771057330116,0.030122193918847323,0.021181500010173354,0.014803929069078412,0.019211130715055754,0.03517513905172422,0.01818980218338549,0.0037336781318667994,0.007050001020596113,0.037550763607300454
mass,0.010144063435332437,0.029886331335708533,0.03405005942818867,0.020301771057330116,0.0,0.027122612142311,0.016660680714913587,0.027691620721187696,0.01723597380763121,0.08048209065146444,0.0705910017832813,0.0018574892827853391,0.03509977996715134,0.0482584550195714
Iyy,0.01135522908982626,0.018431917373602783,0.02040280813507184,0.030122193918847323,0.027122612142311,0.0,0.008629124171344512,0.028542969208215762,0.01048201529667589,0.033593351004230616,0.01831631394682759,0.005133527979970223,0.0060136566252734225,0.01485772935891846
static_margin,0.02022992136113258,0.03040732393444152,0.016055931368607414,0.021181500010173354,0.016660680714913587,0.008629124171344512,0.0,0.024734246210191685,0.025771676942949583,0.01119567507560576,0.022678141471214986,0.006216550324100147,0.0020677693999021935,0.023791530492670156
Cm_alpha,0.016714852250752258,0.025326477322131096,0.02442459086176046,0.014803929069078412,0.027691620721187696,0.028542969208215762,0.024734246210191685,0.0,0.02522953534249045,0.03930868591543655,0.03499200084439604,0.002466869468134053,0.02395481497042203,0.04667096466750237
control_effectiveness,0.016062778168629638,0.012496326905097166,0.009461437608922594,0.019211130715055754,0.01723597380763121,0.01048201529667589,0.025771676942949583,0.02522953534249045,0.0,0.022148404470742584,0.025191212090547022,0.03602328334060479,0.0025787608936366957,0.008706575735022875
thrust,0.014112377672231962,0.023458810489467293,0.048797551989177256,0.03517513905172422,0.08048209065146444,0.033593351004230616,0.01119567507560576,0.03930868591543655,0.022148404470742584,0.0,0.035250794698896165,0.004120736017132762,0.015738871111389708,0.036640662782356705
deadband,0.014231339486634504,0.024210494572398395,0.031707395359195034,0.01818980218338549,0.0705910017832813,0.01831631394682759,0.022678141471214986,0.03499200084439604,0.025191212090547022,0.035250794698896165,0.0,0.0013476830724695474,0.021514664016642458,0.021787993135332515
backlash,0.020470927024608194,0.0052786470005942035,0.002808802959269828,0.0037336781318667994,0.0018574892827853391,0.005133527979970223,0.006216550324100147,0.002466869468134053,0.03602328334060479,0.004120736017132762,0.0013476830724695474,0.0,0.0006696727711480896,0.0015345697276300987
latency_steps,0.0051620012701653825,0.008530157744835417,0.007645910825291822,0.007050001020596113,0.03509977996715134,0.0060136566252734225,0.0020677693999021935,0.02395481497042203,0.0025787608936366957,0.015738871111389708,0.021514664016642458,0.0006696727711480896,0.0,0.03941630203625763
wind_strength,0.00815931377111882,0.032447070123667286,0.02409273366719644,0.037550763607300454,0.0482584550195714,0.01485772935891846,0.023791530492670156,0.04667096466750237,0.008706575735022875,0.036640662782356705,0.021787993135332515,0.0015345697276300987,0.03941630203625763,0.0
