feature,pdp_effect_strength_mean,pdp_effect_strength_max,pdp_rank
backlash,0.5536471616208841,0.7583236444698674,1
control_effectiveness,0.10742899228360643,0.15951390491945888,2
p_unstable,0.06263073994468661,0.07885169422862245,3
static_margin,0.045724583294777583,0.06223344069059045,4
servo_slew_deg_s,0.036429489688556464,0.04913845482629553,5
best_u_max_frac,0.03441569808099434,0.039990104338880395,6
max_gimbal_deg,0.024809214244156153,0.02923331260399631,7
Cm_alpha,0.024667634582184572,0.0350893579623085,8
wind_strength,0.023453406116414093,0.026470079090003706,9
Iyy,0.022251833727021414,0.030191991231696275,10
deadband,0.016675441035037274,0.02343565766984182,11
mass,0.011505060633051059,0.01426458918194487,12
thrust,0.009459100349946894,0.012853057625654807,13
latency_steps,0.007894256815919135,0.010131241044021244,14
