metric,value
pipeline_status,worked
runtime_seconds,18.66
rows_loaded,168
duplicate_numeric_rows,167
unique_numeric_rows,25
embedding_method,PCA
regression_model,RandomForestRegressor
output_exp1_regime_map,ok
output_exp1_boundary_heatmap,ok
output_exp4_missing_physics_map,ok
output_exp4_regime_facets,ok
output_exp5_performance_map,ok
output_exp5_surface_3d,ok
output_exp5_sensitivity,ok
output_exp5_interactive_html,ok
regime_count_infeasible,120
regime_count_fragile,34
regime_count_easy,14
physics_count_deadband_backlash,92
physics_count_sensor_latency_noise,40
physics_count_none,24
physics_count_aero_uncertainty_and_drift,12
