OLD_RANK,NEW_RANK,FEATURE,OLD_SCORE,NEW_SCORE,PERCENT_CHANGE
1,1,backlash,0.7531289514882422,0.7894683855786323,4.825127757813652
2,2,max_gimbal_deg,0.26811652538826625,0.2846895009301928,6.181258509868726
3,7,servo_slew_deg_s,0.2634873422891957,0.19235786806113012,-26.99540464072692
4,3,best_u_max_frac,0.23875058036570843,0.2829623075806604,18.517955913334422
5,8,control_effectiveness,0.21975892238589786,0.16871316509814133,-23.22807043898764
6,9,thrust,0.16546231030902214,0.16739401672831644,1.1674600793900367
7,11,latency_steps,0.15192767403381535,0.12220167873991242,-19.565885861773058
8,12,Cm_alpha,0.11745709076828295,0.1122787260688623,-4.4087288945683385
9,14,wind_strength,0.09202100671448168,0.07825788267762837,-14.956502355551127
10,5,static_margin,0.05416637356051414,0.2479904562034833,357.83101194033384
11,4,p_unstable,0.045971302326495614,0.2698135857972388,486.91742922786733
12,10,mass,0.04118183195619017,0.1322178933137531,221.05879469958603
13,13,deadband,0.023331485067710375,0.10542231207853184,351.84570023119153
14,6,Iyy,0.02095177778349177,0.20689978035555756,887.5046523191799
