rocket_id,regime_label,regime_code,boundary_distance,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,design_id
R0001,EASY,2,2.11819695613465,0.417030851168822,28.2843714006884,11.0490807593903,0.736605383959356,20,32,1,1,1,1,1.3455202105932,0.0282122455181966,0.0814226851027834,-30.2092766842284,12.3960861318965,45.0294333870936,0.0400598275518011,0.0474657159783142,1,0.255834109064031,28.2843714006884,11.0490807593903,1
R0002,INFEASIBLE,0,-1.99107367157892,2.18921071847445,96.5829597032321,11.2968016731227,0.753120111541511,20,32,0,0,0,0,2.06070521989436,0.0318372266075143,0.190998966990991,-55.2320518053731,11.0627020418967,30.0559608504273,0.00881056182885053,0.130247960377034,4,0.376287350660581,96.5829597032321,11.2968016731227,2
R0003,INFEASIBLE,0,-2.02254054476737,0.576005935200122,20.834942330008,13.4722860493184,0.898152403287891,20,32,0,0,0,0,1.06364896011847,0.0164466805553495,0.0643464597250906,-45.8477740367295,5.66192559932626,33.9541814480612,0.117294187374687,0.174734742351388,2,0.133478415484679,20.834942330008,13.4722860493184,3
R0004,INFEASIBLE,0,-2.51687839405766,0.902025133258978,24.3887487401739,8.49041121981922,0.566027414654615,20,32,0,0,0,0,0.911035302056227,0.0266897933207778,0.0723217857192248,-67.5732339620744,11.6944600125768,37.993715830686,0.112313345531099,0.146114277760714,2,0.281325126131685,24.3887487401739,8.49041121981922,4
R0005,INFEASIBLE,0,-2.36269986445624,0.757279643175819,20.2485743007543,13.9192820636948,0.927952137579654,20,32,0,0,0,0,2.07419010563088,0.0370722475214449,0.125041021514937,-32.5675449156735,9.98410630914647,37.430347543899,0.0402129686757989,0.236077645912333,6,0.180802688284461,20.2485743007543,13.9192820636948,5
R0006,EASY,2,2.31899409097101,1.03232555095632,100.426845107948,8.18670234966873,0.545780156644582,20,8,1,1,1,1,1.26772386372769,0.0360607077720019,0.0950176065072407,-62.8969389299716,9.64447560344068,43.3805641827091,0.0733015063046762,0.0250819654491156,5,0.428151532328225,100.426845107948,8.18670234966873,6
R0007,INFEASIBLE,0,-1.95176408463017,2.3102960123854,35.0307226395225,8.73802295882967,0.582534863921978,20,32,0,0,0,0,1.25547867094709,0.0129259840494634,0.182050966784224,-58.3038570397247,13.5828656641125,27.3216328785191,0.105342997479748,0.0825095003049588,1,0.234778212518668,35.0307226395225,8.73802295882967,7
R0008,INFEASIBLE,0,-2.45562128002621,2.68737554866924,69.7214256992232,13.5116089684049,0.900773931226996,20,8,0,0,0,0,1.93147416436114,0.0220577673311965,0.201387765980977,-68.7942416095913,9.82588800608414,34.4013097385949,0.00582613774853891,0.206945358836783,2,0.421576378179622,69.7214256992232,13.5116089684049,8
R0009,EASY,2,2.62604679271244,0.487774320712528,118.79375290557,8.28051967296702,0.552034644864468,20,8,1,1,1,1,1.34664191763444,0.0194177393623503,0.0579053167616226,-50.2383156331079,5.5567379255478,46.0394911757031,0.0801410867343613,0.0577736823078368,1,0.444046164464707,118.79375290557,8.28051967296702,9
R0010,INFEASIBLE,0,-2.08458605293494,1.41502978999373,108.044451192835,8.02401181186181,0.534934120790788,20,32,0,1,0,0.333333333333333,1.96816035196201,0.0312807629724046,0.22092881296634,-30.609445831329,10.3163103798944,29.5628189309942,0.0932137887407869,0.145905138031079,5,0.440961423988927,108.044451192835,8.02401181186181,10
R0011,INFEASIBLE,0,-1.68248640282852,0.262983490340395,113.086430429328,13.7764923843275,0.918432825621832,20,32,0,0,0,0,1.46159969389155,0.015555843589087,0.045252055091403,-34.142800058673,10.5720118039709,44.6765131902724,0.037891971914802,0.158874219675233,4,0.152839447458332,113.086430429328,13.7764923843275,11
R0012,INFEASIBLE,0,-2.27902353169112,0.948241260984356,56.3756802574198,11.2011298215927,0.746741988106178,20,32,0,0,0,0,1.58160421082979,0.0289460219600257,0.163767769409341,-31.0678850278565,8.38001265148117,37.2652385264792,0.0835639582800067,0.205731762295503,1,0.353472500162134,56.3756802574198,11.2011298215927,12
R0013,EASY,2,2.02705158082887,1.15427053024499,91.5514670862098,14.9206868041991,0.994712453613273,20,32,1,1,1,1,1.37438410101674,0.0262171641922288,0.130842155965241,-44.6512853777342,7.80960607319489,33.1596131785566,0.0938620034563696,0.0574739190305206,2,0.0613817688518923,91.5514670862098,14.9206868041991,13
R0014,INFEASIBLE,0,-2.06212303547637,0.961046093772542,21.8176566133505,14.5085084877399,0.967233899182662,45,32,0,0,0,0,1.50347043044639,0.0141040143047768,0.175207654035584,-32.9297741574954,10.5819849141496,46.6505292358247,0.0132808185443911,0.124157934473815,6,0.209049081016236,21.8176566133505,14.5085084877399,14
R0015,EASY,2,1.62071126373818,0.490902732942493,39.7982718013841,12.13640195697,0.809093463797997,20,32,1,1,1,1,1.14349293291121,0.0180616233670148,0.0537621654987067,-55.4049943173862,8.84831048411122,47.6564615809325,0.0958933036796487,0.058083246544704,1,0.242330355642101,39.7982718013841,12.13640195697,15
R0016,INFEASIBLE,0,-2.10328954380191,0.656764488187501,30.3327782633368,8.53904926181689,0.569269950787793,20,32,0,0,0,0,1.24714679447873,0.0152119450479976,0.0763065753679408,-51.3751369780131,7.86829107581895,46.1181570960922,0.0696004862210126,0.249584354823519,4,0.278711543701241,30.3327782633368,8.53904926181689,16
R0017,INFEASIBLE,0,-1.89897261713065,1.23404391780212,49.2889826238961,12.6769530716717,0.84513020477811,20,32,0,1,0,0.333333333333333,1.89171682845702,0.0119139468486143,0.131370950107651,-56.2453592533597,12.3063655966203,46.4057928628757,0.111248481553215,0.0640808780110443,5,0.227060645433479,49.2889826238961,12.6769530716717,17
R0018,INFEASIBLE,0,-2.47645629406845,2.63580257546365,90.9133157575232,11.59389858296,0.772926572197331,20,8,0,0,0,0,1.42500874206613,0.0284917963479638,0.234079803795968,-68.560854911248,11.8902679180621,47.9861535376894,0.0559890453902599,0.242244537032032,3,0.275157331453043,90.9133157575232,11.59389858296,18
R0019,INFEASIBLE,0,-2.02065720072661,1.79474361632511,23.0551668419147,12.9211534997539,0.861410233316927,20,32,0,0,0,0,2.07304889297772,0.0228561740104964,0.199412111039558,-45.3625543335509,8.96073282142678,32.8817245925907,0.123356889278738,0.121697597817326,1,0.259913281206074,23.0551668419147,12.9211534997539,19
R0020,INFEASIBLE,0,-1.71633682917865,1.23168000206886,21.4153538210175,8.90924483626757,0.593949655751171,20,32,0,0,0,0,1.61750470163294,0.0344208786777714,0.19220656558023,-31.3091445407588,5.18607873792236,30.8989994901451,0.0520169276742758,0.0792760322719438,5,0.366397306316589,21.4153538210175,8.90924483626757,20
R0021,INFEASIBLE,0,-2.78531864595691,2.59965983407475,78.068474565935,12.0364320223733,0.802428801491554,20,8,0,0,0,0,1.68858261971733,0.0338365632264659,0.237398256667065,-64.4265698782774,11.6550982605773,44.8036482596917,0.131154621901044,0.224737671413141,4,0.0795404055486029,78.068474565935,12.0364320223733,21
R0022,INFEASIBLE,0,-1.96251400644149,2.01140711005576,86.3389723611305,14.6009432288587,0.973396215257248,20,32,0,0,0,0,1.53866035998079,0.0214374050565994,0.17152345409372,-53.6821943549665,11.8505685495246,27.1249497882439,0.0104258301397847,0.0673907574017638,2,0.395439535357136,86.3389723611305,14.6009432288587,22
R0023,INFEASIBLE,0,-2.15042940883503,1.48949759381235,97.1970323190518,9.61574934202384,0.641049956134922,20,32,0,0,0,0,0.990860736397036,0.0301579195922534,0.210749587022034,-31.5051068918544,10.991627626072,25.7203648311362,0.0934809562917555,0.220749985518777,2,0.443080284466284,97.1970323190518,9.61574934202384,23
R0024,INFEASIBLE,0,-2.27059052547988,0.637374248936154,113.528494077576,8.56370776953461,0.570913851302307,20,32,0,0,0,0,1.41757125527078,0.027809929874978,0.070251746735054,-53.4271356764492,6.00931163496137,44.8859444479402,0.0783310907836555,0.2313325726604,5,0.210931100272955,113.528494077576,8.56370776953461,24
R0025,INFEASIBLE,0,-2.40260981961735,0.874017029324243,38.4659675568394,9.51907117006955,0.634604744671303,20,32,0,0,0,0,1.71820993624303,0.0178132894398635,0.079510907819462,-63.3448065231315,9.79171648547256,42.9830293346224,0.0386916516911912,0.186326793930949,2,0.362705852220388,38.4659675568394,9.51907117006955,25
R0026,EASY,2,1.68248640282852,0.53883404764326,97.3623330293529,13.036324109186,0.869088273945734,20,32,1,1,1,1,1.3990864641408,0.0154972802803394,0.0753295488548741,-36.8292780782222,11.400401175502,34.3137704831529,0.021932304945137,0.050720543836641,4,0.148528972952364,97.3623330293529,13.036324109186,26
R0027,EASY,2,2.17140987472204,1.53876844348596,118.611963039623,10.8173053625319,0.721153690835462,20,8,1,1,1,1,1.69528867644875,0.0336608615078942,0.11600952817505,-68.0175475780973,6.83216338760006,34.0364356225313,0.021464848117395,0.0543641971785159,4,0.248624000241315,118.611963039623,10.8173053625319,27
R0028,EASY,2,2.59431426361947,0.498023525263137,90.0792355528336,9.84508124387508,0.656338749591672,20,8,1,1,1,1,1.2642317752708,0.0184900080428736,0.0423312607479681,-52.6508749617356,7.71626971002056,25.9235952912782,0.140366613237214,0.031922294191188,6,0.137011837270407,90.0792355528336,9.84508124387508,28
R0029,INFEASIBLE,0,-2.56070776347424,1.64601036642191,80.1924705654349,8.14553929533366,0.543035953022244,20,32,0,0,0,0,1.40796199682075,0.0377278673467681,0.229894102361588,-37.0364706703325,13.7106156760337,34.6346716337347,0.0591852209765657,0.142767585870546,4,0.160948125809853,80.1924705654349,8.14553929533366,29
R0030,EASY,2,1.91737894432837,2.35782745282109,35.9848632202777,9.7402310167339,0.649348734448926,20,32,1,1,1,1,0.95478134605971,0.0390280321337195,0.186348598357171,-59.4941673891946,5.2353721386675,28.6179394289254,0.0611479826955082,0.0585734088898415,3,0.181790109183752,35.9848632202777,9.7402310167339,30
R0031,INFEASIBLE,0,-2.6652354758531,2.41840677883712,34.6237511026049,14.1159637606807,0.941064250712046,20,32,0,1,0,0.333333333333333,1.91906852557539,0.0354635740168409,0.199695595376074,-58.8716117314135,9.56772210136601,30.5880278672085,0.147109910425266,0.051887330995747,5,0.225980839901949,34.6237511026049,14.1159637606807,31
R0032,INFEASIBLE,0,-2.07316899449455,1.55029554227374,40.262956507706,13.285309861332,0.885687324088802,20,32,0,0,0,0,1.03746438625058,0.0256077823225262,0.172920651135979,-54.9381047263308,13.6282747653281,48.6041587608357,0.100279071447795,0.136430371689026,1,0.297712929520052,40.262956507706,13.285309861332,32
