test,value,n,group
overall_disagreement_rate,0.5,300,
disagreement_rate_by_regime,0.0,98,EASY
disagreement_rate_by_regime,0.1590909090909091,44,FRAGILE
disagreement_rate_by_regime,0.9050632911392406,158,INFEASIBLE
boundary_abs_distance_shift,0.40316180696182147,300,disagree_minus_agree
mismatch_rate_by_fidelity_level,0.5,300,L0_BASELINE
mismatch_rate_by_fidelity_level,0.5,300,L1_SATURATION
mismatch_rate_by_fidelity_level,0.5,300,L2_SLEW_LIMIT
mismatch_rate_by_fidelity_level,0.20333333333333334,300,L3_ACTUATOR_NONLINEAR
mismatch_rate_by_fidelity_level,0.09666666666666666,300,L4_SENSOR_EFFECTS
mismatch_rate_by_fidelity_level,0.0,300,L5_FULL
