feature,shap_importance,perm_importance,pdp_effect_strength,interaction_strength,composite_score,composite_rank
backlash,0.17943492709486034,0.26914597747931074,0.19814993671843215,0.004902877309738984,0.7894683855786323,1
max_gimbal_deg,0.00998737540694911,0.007919549586216176,0.011176334918737542,0.030970933215876656,0.2846895009301928,2
best_u_max_frac,0.009252597888007669,0.00783475783475777,0.010140190939210161,0.031055724967335253,0.2829623075806604,3
p_unstable,0.019763320260035955,0.009021842355175613,0.0195072707849273,0.025998147186945382,0.2698135857972388,4
static_margin,0.020448950747623817,0.015618640618640545,0.02124997194875136,0.022134239044607117,0.2479904562034833,5
Iyy,0.03889633734895612,0.034188034188034115,0.044314242321642494,0.00807957435242309,0.20689978035555756,6
servo_slew_deg_s,0.01911865915590722,0.016890516890516794,0.017875501897234893,0.015835756415338298,0.19235786806113012,7
control_effectiveness,0.03134764974299368,0.034188034188034115,0.03166749086387629,0.0066245177023877624,0.16871316509814133,8
thrust,0.019083760794188945,0.009801926468593061,0.018691980581737686,0.0134306743796358,0.16739401672831644,9
mass,0.00798649037411377,0.004477004477004433,0.010519200612215519,0.012876985155719712,0.1322178933137531,10
latency_steps,0.0055665636130083984,0.005324921991588599,0.007695518089968091,0.01239628441576095,0.12220167873991242,11
Cm_alpha,0.009500255348098554,0.002950752950752903,0.008140991459918626,0.010686930166870435,0.1122787260688623,12
deadband,0.008382111707803489,0.008173924840591438,0.00872561510144799,0.009334420441417737,0.10542231207853184,13
wind_strength,0.005968083845429644,0.00635938135938129,0.00510028482075998,0.007155349947169653,0.07825788267762837,14
